num_run,name,trace_id,batch_id,latency,status,total_tokens,prompt_tokens,completion_tokens,total_cost,prompt_cost,completion_cost,tags
1,2e9d_model_converter,2e9df0b8,llama3.1_d4dc_mc_batch,1.68,success,552,389,163,0,0,0,"['benchmark', 'llama3.1', 'model_converter']"
2,ee9c_model_converter,ee9c13ba,llama3.1_d4dc_mc_batch,1.42,success,530,389,141,0,0,0,"['benchmark', 'llama3.1', 'model_converter']"
3,b4ee_model_converter,b4ee96ed,llama3.1_d4dc_mc_batch,14.08,failure,6906,5549,1357,0,0,0,"['benchmark', 'llama3.1', 'model_converter']"
4,a4aa_model_converter,a4aaea15,llama3.1_d4dc_mc_batch,1.86,success,588,389,199,0,0,0,"['benchmark', 'llama3.1', 'model_converter']"
5,37e5_model_converter,37e59b26,llama3.1_d4dc_mc_batch,10.82,failure,7064,6064,1000,0,0,0,"['benchmark', 'llama3.1', 'model_converter']"
6,0db1_model_converter,0db1db46,llama3.1_d4dc_mc_batch,14.84,failure,7980,6654,1326,0,0,0,"['benchmark', 'llama3.1', 'model_converter']"
7,df78_model_converter,df78bfb8,llama3.1_d4dc_mc_batch,15.3,success,7933,6489,1444,0,0,0,"['benchmark', 'llama3.1', 'model_converter']"
8,d50b_model_converter,d50b070c,llama3.1_d4dc_mc_batch,12.08,success,6779,5634,1145,0,0,0,"['benchmark', 'llama3.1', 'model_converter']"
9,d04d_model_converter,d04df8d8,llama3.1_d4dc_mc_batch,9.01,success,4301,3419,882,0,0,0,"['benchmark', 'llama3.1', 'model_converter']"
10,1751_model_converter,1751216b,llama3.1_d4dc_mc_batch,4.98,success,2199,1762,437,0,0,0,"['benchmark', 'llama3.1', 'model_converter']"
11,584f_model_converter,584f199d,llama3.1_d4dc_mc_batch,7.39,success,4889,4190,699,0,0,0,"['benchmark', 'llama3.1', 'model_converter']"
12,07b9_model_converter,07b900ad,llama3.1_d4dc_mc_batch,1.28,success,523,389,134,0,0,0,"['benchmark', 'llama3.1', 'model_converter']"
13,4dfa_model_converter,4dfa48db,llama3.1_d4dc_mc_batch,1.99,success,602,389,213,0,0,0,"['benchmark', 'llama3.1', 'model_converter']"
14,08f5_model_converter,08f5cc9b,llama3.1_d4dc_mc_batch,16.66,failure,8555,6960,1595,0,0,0,"['benchmark', 'llama3.1', 'model_converter']"
15,fdb2_model_converter,fdb2b784,llama3.1_d4dc_mc_batch,9.87,failure,6608,5702,906,0,0,0,"['benchmark', 'llama3.1', 'model_converter']"
16,214d_model_converter,214d733e,llama3.1_d4dc_mc_batch,2.82,success,701,389,312,0,0,0,"['benchmark', 'llama3.1', 'model_converter']"
17,000a_model_converter,000ae809,llama3.1_d4dc_mc_batch,9.9,failure,6251,5355,896,0,0,0,"['benchmark', 'llama3.1', 'model_converter']"
18,b3f9_model_converter,b3f93358,llama3.1_d4dc_mc_batch,2.02,success,596,389,207,0,0,0,"['benchmark', 'llama3.1', 'model_converter']"
19,7b3e_model_converter,7b3e975b,llama3.1_d4dc_mc_batch,15.53,failure,7712,6178,1534,0,0,0,"['benchmark', 'llama3.1', 'model_converter']"
20,e9a6_model_converter,e9a68c06,llama3.1_d4dc_mc_batch,1.47,success,546,389,157,0,0,0,"['benchmark', 'llama3.1', 'model_converter']"
21,1f34_model_converter,1f3441d4,llama3.1_d4dc_mc_batch,14.3,failure,7760,6402,1358,0,0,0,"['benchmark', 'llama3.1', 'model_converter']"
22,8534_model_converter,85349573,llama3.1_d4dc_mc_batch,9.9,success,5360,4406,954,0,0,0,"['benchmark', 'llama3.1', 'model_converter']"
23,5fd7_model_converter,5fd7f75e,llama3.1_d4dc_mc_batch,9.27,success,5253,4342,911,0,0,0,"['benchmark', 'llama3.1', 'model_converter']"
24,1572_model_converter,1572b53e,llama3.1_d4dc_mc_batch,11.5,failure,7352,6267,1085,0,0,0,"['benchmark', 'llama3.1', 'model_converter']"
25,929f_model_converter,929f7686,llama3.1_d4dc_mc_batch,15.92,success,8041,6519,1522,0,0,0,"['benchmark', 'llama3.1', 'model_converter']"
26,2490_model_converter,2490ef8d,llama3.1_d4dc_mc_batch,12.49,failure,6842,5648,1194,0,0,0,"['benchmark', 'llama3.1', 'model_converter']"
27,1edb_model_converter,1edbdffe,llama3.1_d4dc_mc_batch,4.6,success,2193,1736,457,0,0,0,"['benchmark', 'llama3.1', 'model_converter']"
28,7e49_model_converter,7e494b75,llama3.1_d4dc_mc_batch,1.55,success,554,389,165,0,0,0,"['benchmark', 'llama3.1', 'model_converter']"
29,11a5_model_converter,11a582ae,llama3.1_d4dc_mc_batch,14.72,success,7128,5741,1387,0,0,0,"['benchmark', 'llama3.1', 'model_converter']"
30,8e4d_model_converter,8e4d104b,llama3.1_d4dc_mc_batch,13.95,failure,6793,5412,1381,0,0,0,"['benchmark', 'llama3.1', 'model_converter']"
