num_run,name,trace_id,batch_id,latency,status,total_tokens,prompt_tokens,completion_tokens,total_cost,prompt_cost,completion_cost,tags
1,c7f2_data_processor,c7f29e09,deepseek-r1:14b_60e0_dp_batch,173.96,success,29221,18494,10727,0,0,0,"['benchmark', 'data_processor', 'deepseek-r1:14b']"
2,566c_data_processor,566c581a,deepseek-r1:14b_60e0_dp_batch,373.34,failure,57981,35044,22937,0,0,0,"['benchmark', 'data_processor', 'deepseek-r1:14b']"
3,284b_data_processor,284b3f61,deepseek-r1:14b_60e0_dp_batch,187.47,failure,25700,14059,11641,0,0,0,"['benchmark', 'data_processor', 'deepseek-r1:14b']"
4,8c01_data_processor,8c01c846,deepseek-r1:14b_60e0_dp_batch,350.49,success,49725,28116,21609,0,0,0,"['benchmark', 'data_processor', 'deepseek-r1:14b']"
5,1c82_data_processor,1c828129,deepseek-r1:14b_60e0_dp_batch,306.37,success,47264,28415,18849,0,0,0,"['benchmark', 'data_processor', 'deepseek-r1:14b']"
6,7154_data_processor,7154d89d,deepseek-r1:14b_60e0_dp_batch,147.31,failure,24447,15453,8994,0,0,0,"['benchmark', 'data_processor', 'deepseek-r1:14b']"
7,dcbc_data_processor,dcbc43d1,deepseek-r1:14b_60e0_dp_batch,197.57,success,29183,16940,12243,0,0,0,"['benchmark', 'data_processor', 'deepseek-r1:14b']"
8,4a67_data_processor,4a679184,deepseek-r1:14b_60e0_dp_batch,233.68,failure,36154,21783,14371,0,0,0,"['benchmark', 'data_processor', 'deepseek-r1:14b']"
9,2c02_data_processor,2c02907e,deepseek-r1:14b_60e0_dp_batch,150.1,failure,20888,11579,9309,0,0,0,"['benchmark', 'data_processor', 'deepseek-r1:14b']"
10,0112_data_processor,011211bb,deepseek-r1:14b_60e0_dp_batch,94.58,failure,13742,7925,5817,0,0,0,"['benchmark', 'data_processor', 'deepseek-r1:14b']"
11,904c_data_processor,904c87ce,deepseek-r1:14b_60e0_dp_batch,96.27,failure,16112,10185,5927,0,0,0,"['benchmark', 'data_processor', 'deepseek-r1:14b']"
12,5c79_data_processor,5c793faf,deepseek-r1:14b_60e0_dp_batch,135.75,failure,18882,10464,8418,0,0,0,"['benchmark', 'data_processor', 'deepseek-r1:14b']"
13,60c4_data_processor,60c4e74f,deepseek-r1:14b_60e0_dp_batch,168.06,failure,25416,15085,10331,0,0,0,"['benchmark', 'data_processor', 'deepseek-r1:14b']"
14,ab78_data_processor,ab78b079,deepseek-r1:14b_60e0_dp_batch,130.78,failure,19357,11562,7795,0,0,0,"['benchmark', 'data_processor', 'deepseek-r1:14b']"
15,3f16_data_processor,3f16f331,deepseek-r1:14b_60e0_dp_batch,351.94,success,49564,27881,21683,0,0,0,"['benchmark', 'data_processor', 'deepseek-r1:14b']"
16,7dd6_data_processor,7dd645cf,deepseek-r1:14b_60e0_dp_batch,181.49,failure,29410,18218,11192,0,0,0,"['benchmark', 'data_processor', 'deepseek-r1:14b']"
17,31fe_data_processor,31fe3d9e,deepseek-r1:14b_60e0_dp_batch,194.6,failure,29912,17943,11969,0,0,0,"['benchmark', 'data_processor', 'deepseek-r1:14b']"
18,e355_data_processor,e355dee3,deepseek-r1:14b_60e0_dp_batch,352.24,success,52534,30945,21589,0,0,0,"['benchmark', 'data_processor', 'deepseek-r1:14b']"
19,687e_data_processor,687e3a2b,deepseek-r1:14b_60e0_dp_batch,87.83,failure,15001,9610,5391,0,0,0,"['benchmark', 'data_processor', 'deepseek-r1:14b']"
20,7f67_data_processor,7f672035,deepseek-r1:14b_60e0_dp_batch,246.63,failure,42870,27871,14999,0,0,0,"['benchmark', 'data_processor', 'deepseek-r1:14b']"
21,66bd_data_processor,66bd4ab8,deepseek-r1:14b_60e0_dp_batch,154.92,success,25971,16431,9540,0,0,0,"['benchmark', 'data_processor', 'deepseek-r1:14b']"
22,a876_data_processor,a876ebd2,deepseek-r1:14b_60e0_dp_batch,97.91,failure,17310,11277,6033,0,0,0,"['benchmark', 'data_processor', 'deepseek-r1:14b']"
23,0e1f_data_processor,0e1f1a3c,deepseek-r1:14b_60e0_dp_batch,288.53,failure,41959,24139,17820,0,0,0,"['benchmark', 'data_processor', 'deepseek-r1:14b']"
24,6ec1_data_processor,6ec1d692,deepseek-r1:14b_60e0_dp_batch,210.02,failure,33794,20900,12894,0,0,0,"['benchmark', 'data_processor', 'deepseek-r1:14b']"
25,345e_data_processor,345e39af,deepseek-r1:14b_60e0_dp_batch,302.92,failure,48201,29649,18552,0,0,0,"['benchmark', 'data_processor', 'deepseek-r1:14b']"
26,ac7b_data_processor,ac7b7e70,deepseek-r1:14b_60e0_dp_batch,119.6,failure,20911,13586,7325,0,0,0,"['benchmark', 'data_processor', 'deepseek-r1:14b']"
27,7442_data_processor,744292ca,deepseek-r1:14b_60e0_dp_batch,141.77,failure,22280,13561,8719,0,0,0,"['benchmark', 'data_processor', 'deepseek-r1:14b']"
28,a63e_data_processor,a63e1ddd,deepseek-r1:14b_60e0_dp_batch,232.75,failure,34605,20345,14260,0,0,0,"['benchmark', 'data_processor', 'deepseek-r1:14b']"
29,fb22_data_processor,fb221a51,deepseek-r1:14b_60e0_dp_batch,309.9,success,42103,23436,18667,0,0,0,"['benchmark', 'data_processor', 'deepseek-r1:14b']"
30,ad78_data_processor,ad781a7e,deepseek-r1:14b_60e0_dp_batch,118.07,failure,18652,11392,7260,0,0,0,"['benchmark', 'data_processor', 'deepseek-r1:14b']"
