num_run,name,trace_id,batch_id,latency,status,total_tokens,prompt_tokens,completion_tokens,total_cost,prompt_cost,completion_cost,tags
1,67ec_sketch_generator,67ecb19a,deepseek-r1:14b_8757_sg_batch,0.0,failure,0,0,0,0,0,0,"['benchmark', 'deepseek-r1:14b', 'sketch_generator']"
2,fd42_sketch_generator,fd42f595,deepseek-r1:14b_8757_sg_batch,0.0,failure,0,0,0,0,0,0,"['benchmark', 'deepseek-r1:14b', 'sketch_generator']"
3,22b8_sketch_generator,22b8f424,deepseek-r1:14b_8757_sg_batch,0.0,failure,0,0,0,0,0,0,"['benchmark', 'deepseek-r1:14b', 'sketch_generator']"
4,fa1a_sketch_generator,fa1a1dd3,deepseek-r1:14b_8757_sg_batch,0.0,failure,0,0,0,0,0,0,"['benchmark', 'deepseek-r1:14b', 'sketch_generator']"
5,73b7_sketch_generator,73b75d4f,deepseek-r1:14b_8757_sg_batch,0.0,failure,0,0,0,0,0,0,"['benchmark', 'deepseek-r1:14b', 'sketch_generator']"
6,ecbf_sketch_generator,ecbf0fa9,deepseek-r1:14b_8757_sg_batch,0.0,failure,0,0,0,0,0,0,"['benchmark', 'deepseek-r1:14b', 'sketch_generator']"
7,5277_sketch_generator,527768de,deepseek-r1:14b_8757_sg_batch,0.0,failure,0,0,0,0,0,0,"['benchmark', 'deepseek-r1:14b', 'sketch_generator']"
8,3d3a_sketch_generator,3d3a288c,deepseek-r1:14b_8757_sg_batch,0.0,failure,0,0,0,0,0,0,"['benchmark', 'deepseek-r1:14b', 'sketch_generator']"
9,2153_sketch_generator,21536fa6,deepseek-r1:14b_8757_sg_batch,0.0,failure,0,0,0,0,0,0,"['benchmark', 'deepseek-r1:14b', 'sketch_generator']"
10,7024_sketch_generator,70243a2e,deepseek-r1:14b_8757_sg_batch,557.0,failure,23087,12891,10196,0,0,0,"['benchmark', 'deepseek-r1:14b', 'sketch_generator']"
11,3d7d_sketch_generator,3d7d3a2b,deepseek-r1:14b_8757_sg_batch,238.15,failure,20173,11341,8832,0,0,0,"['benchmark', 'deepseek-r1:14b', 'sketch_generator']"
12,f001_sketch_generator,f0010ac9,deepseek-r1:14b_8757_sg_batch,225.16,failure,21408,11328,10080,0,0,0,"['benchmark', 'deepseek-r1:14b', 'sketch_generator']"
13,cb40_sketch_generator,cb40e887,deepseek-r1:14b_8757_sg_batch,218.3,failure,19975,11316,8659,0,0,0,"['benchmark', 'deepseek-r1:14b', 'sketch_generator']"
14,5f9c_sketch_generator,5f9c42f7,deepseek-r1:14b_8757_sg_batch,184.17,failure,19755,11314,8441,0,0,0,"['benchmark', 'deepseek-r1:14b', 'sketch_generator']"
16,7ae2_sketch_generator,7ae2e56a,deepseek-r1:14b_8757_sg_batch,164.32,failure,19438,11321,8117,0,0,0,"['benchmark', 'deepseek-r1:14b', 'sketch_generator']"
18,6fc5_sketch_generator,6fc5e679,deepseek-r1:14b_8757_sg_batch,236.36,failure,23179,11338,11841,0,0,0,"['benchmark', 'deepseek-r1:14b', 'sketch_generator']"
19,4f95_sketch_generator,4f95032d,deepseek-r1:14b_8757_sg_batch,198.23,failure,20923,11360,9563,0,0,0,"['benchmark', 'deepseek-r1:14b', 'sketch_generator']"
20,eada_sketch_generator,eada9fcf,deepseek-r1:14b_8757_sg_batch,181.47,failure,20565,11344,9221,0,0,0,"['benchmark', 'deepseek-r1:14b', 'sketch_generator']"
21,2aac_sketch_generator,2aacba75,deepseek-r1:14b_8757_sg_batch,160.11,failure,19461,11315,8146,0,0,0,"['benchmark', 'deepseek-r1:14b', 'sketch_generator']"
