num_run,name,trace_id,batch_id,latency,status,total_tokens,prompt_tokens,completion_tokens,total_cost,prompt_cost,completion_cost,tags
2,5512_sketch_generator,55127c02,llama3.1_02c0_sg_batch,45.11,failure,14874,11012,3862,0,0,0,"['benchmark', 'llama3.1:latest', 'sketch_generator']"
3,0f12_sketch_generator,0f122e8b,llama3.1_02c0_sg_batch,47.11,failure,14815,10754,4061,0,0,0,"['benchmark', 'llama3.1:latest', 'sketch_generator']"
4,bc30_sketch_generator,bc305d30,llama3.1_02c0_sg_batch,43.46,failure,14737,11077,3660,0,0,0,"['benchmark', 'llama3.1:latest', 'sketch_generator']"
5,0689_sketch_generator,0689c22e,llama3.1_02c0_sg_batch,52.36,failure,15219,11025,4194,0,0,0,"['benchmark', 'llama3.1:latest', 'sketch_generator']"
6,9c11_sketch_generator,9c1156a0,llama3.1_02c0_sg_batch,30.98,failure,13579,10781,2798,0,0,0,"['benchmark', 'llama3.1:latest', 'sketch_generator']"
7,c3f6_sketch_generator,c3f69b0c,llama3.1_02c0_sg_batch,61.38,failure,15062,11054,4008,0,0,0,"['benchmark', 'llama3.1:latest', 'sketch_generator']"
8,2a0c_sketch_generator,2a0c6af7,llama3.1_02c0_sg_batch,43.54,failure,15120,11060,4060,0,0,0,"['benchmark', 'llama3.1:latest', 'sketch_generator']"
9,b26c_sketch_generator,b26cae3e,llama3.1_02c0_sg_batch,36.56,failure,14394,11073,3321,0,0,0,"['benchmark', 'llama3.1:latest', 'sketch_generator']"
10,53d4_sketch_generator,53d4a3d3,llama3.1_02c0_sg_batch,50.16,failure,15242,11069,4173,0,0,0,"['benchmark', 'llama3.1:latest', 'sketch_generator']"
11,0453_sketch_generator,0453e8f9,llama3.1_02c0_sg_batch,38.67,failure,14457,11065,3392,0,0,0,"['benchmark', 'llama3.1:latest', 'sketch_generator']"
13,f3db_sketch_generator,f3db014f,llama3.1_02c0_sg_batch,33.3,failure,13965,10912,3053,0,0,0,"['benchmark', 'llama3.1:latest', 'sketch_generator']"
14,e996_sketch_generator,e996b82f,llama3.1_02c0_sg_batch,46.04,failure,16830,12699,4131,0,0,0,"['benchmark', 'llama3.1:latest', 'sketch_generator']"
15,690d_sketch_generator,690d6d6a,llama3.1_02c0_sg_batch,45.46,failure,15185,11068,4117,0,0,0,"['benchmark', 'llama3.1:latest', 'sketch_generator']"
16,9ec2_sketch_generator,9ec217da,llama3.1_02c0_sg_batch,51.27,failure,16833,12715,4118,0,0,0,"['benchmark', 'llama3.1:latest', 'sketch_generator']"
20,bcd1_sketch_generator,bcd13021,llama3.1_02c0_sg_batch,35.27,failure,14079,10906,3173,0,0,0,"['benchmark', 'llama3.1:latest', 'sketch_generator']"
21,cbfb_sketch_generator,cbfb9f22,llama3.1_02c0_sg_batch,53.79,failure,16056,11064,4992,0,0,0,"['benchmark', 'llama3.1:latest', 'sketch_generator']"
22,4608_sketch_generator,4608a891,llama3.1_02c0_sg_batch,43.33,failure,14974,11018,3956,0,0,0,"['benchmark', 'llama3.1:latest', 'sketch_generator']"
23,af9f_sketch_generator,af9ffed3,llama3.1_02c0_sg_batch,41.66,failure,14399,10889,3510,0,0,0,"['benchmark', 'llama3.1:latest', 'sketch_generator']"
24,836e_sketch_generator,836e64cd,llama3.1_02c0_sg_batch,36.9,failure,14454,11070,3384,0,0,0,"['benchmark', 'llama3.1:latest', 'sketch_generator']"
25,a29f_sketch_generator,a29fe7eb,llama3.1_02c0_sg_batch,37.69,failure,14243,11013,3230,0,0,0,"['benchmark', 'llama3.1:latest', 'sketch_generator']"
26,37f8_sketch_generator,37f8cc1d,llama3.1_02c0_sg_batch,50.91,failure,14985,11075,3910,0,0,0,"['benchmark', 'llama3.1:latest', 'sketch_generator']"
27,48a3_sketch_generator,48a3ec86,llama3.1_02c0_sg_batch,59.44,failure,15375,11083,4292,0,0,0,"['benchmark', 'llama3.1:latest', 'sketch_generator']"
29,6fe0_sketch_generator,6fe07646,llama3.1_02c0_sg_batch,55.38,failure,15062,11072,3990,0,0,0,"['benchmark', 'llama3.1:latest', 'sketch_generator']"
30,9337_sketch_generator,93376b09,llama3.1_02c0_sg_batch,48.93,failure,14948,11045,3903,0,0,0,"['benchmark', 'llama3.1:latest', 'sketch_generator']"
31,aee0_sketch_generator,aee0a72f,llama3.1_da8e_sg_batch,92.2,failure,14709,11059,3650,0,0,0,"['benchmark', 'llama3.1:latest', 'sketch_generator']"
33,546d_sketch_generator,546d7629,llama3.1_da8e_sg_batch,38.53,failure,14696,11096,3600,0,0,0,"['benchmark', 'llama3.1:latest', 'sketch_generator']"
34,5cfa_sketch_generator,5cfafece,llama3.1_da8e_sg_batch,32.54,failure,13971,10987,2984,0,0,0,"['benchmark', 'llama3.1:latest', 'sketch_generator']"
35,9b13_sketch_generator,9b138176,llama3.1_da8e_sg_batch,39.58,failure,14386,11058,3328,0,0,0,"['benchmark', 'llama3.1:latest', 'sketch_generator']"
36,870f_sketch_generator,870f1c4a,llama3.1_da8e_sg_batch,42.33,failure,14366,10822,3544,0,0,0,"['benchmark', 'llama3.1:latest', 'sketch_generator']"
37,c616_sketch_generator,c616d926,llama3.1_da8e_sg_batch,19.6,failure,9929,8095,1834,0,0,0,"['benchmark', 'llama3.1:latest', 'sketch_generator']"
