num_run,name,trace_id,batch_id,latency,status,total_tokens,prompt_tokens,completion_tokens,total_cost,prompt_cost,completion_cost,tags
1,aee0_sketch_generator,aee0a72f,llama3.1_da8e_sg_batch,92.2,failure,14709,11059,3650,0,0,0,"['benchmark', 'llama3.1:latest', 'sketch_generator']"
3,546d_sketch_generator,546d7629,llama3.1_da8e_sg_batch,38.53,failure,14696,11096,3600,0,0,0,"['benchmark', 'llama3.1:latest', 'sketch_generator']"
4,5cfa_sketch_generator,5cfafece,llama3.1_da8e_sg_batch,32.54,failure,13971,10987,2984,0,0,0,"['benchmark', 'llama3.1:latest', 'sketch_generator']"
5,9b13_sketch_generator,9b138176,llama3.1_da8e_sg_batch,39.58,failure,14386,11058,3328,0,0,0,"['benchmark', 'llama3.1:latest', 'sketch_generator']"
6,870f_sketch_generator,870f1c4a,llama3.1_da8e_sg_batch,42.33,failure,14366,10822,3544,0,0,0,"['benchmark', 'llama3.1:latest', 'sketch_generator']"
7,c616_sketch_generator,c616d926,llama3.1_da8e_sg_batch,19.6,failure,9929,8095,1834,0,0,0,"['benchmark', 'llama3.1:latest', 'sketch_generator']"
8,4d65_sketch_generator,4d65d6be,llama3.1_da8e_sg_batch,39.99,failure,14352,10857,3495,0,0,0,"['benchmark', 'llama3.1:latest', 'sketch_generator']"
9,da1a_sketch_generator,da1a16d4,llama3.1_da8e_sg_batch,43.29,failure,14430,11083,3347,0,0,0,"['benchmark', 'llama3.1:latest', 'sketch_generator']"
10,f9ff_sketch_generator,f9ff0503,llama3.1_da8e_sg_batch,50.04,failure,15021,11089,3932,0,0,0,"['benchmark', 'llama3.1:latest', 'sketch_generator']"
11,f893_sketch_generator,f893d34f,llama3.1_da8e_sg_batch,17.56,failure,9650,7983,1667,0,0,0,"['benchmark', 'llama3.1:latest', 'sketch_generator']"
12,b70a_sketch_generator,b70ad5fb,llama3.1_da8e_sg_batch,25.26,failure,13196,10878,2318,0,0,0,"['benchmark', 'llama3.1:latest', 'sketch_generator']"
13,c724_sketch_generator,c724ae28,llama3.1_da8e_sg_batch,48.22,failure,15482,11070,4412,0,0,0,"['benchmark', 'llama3.1:latest', 'sketch_generator']"
15,83f5_sketch_generator,83f5b10f,llama3.1_da8e_sg_batch,49.58,failure,15479,11007,4472,0,0,0,"['benchmark', 'llama3.1:latest', 'sketch_generator']"
16,8ef5_sketch_generator,8ef59bf6,llama3.1_da8e_sg_batch,47.34,failure,15075,11065,4010,0,0,0,"['benchmark', 'llama3.1:latest', 'sketch_generator']"
19,79cc_sketch_generator,79cc421e,llama3.1_da8e_sg_batch,38.31,failure,14443,11101,3342,0,0,0,"['benchmark', 'llama3.1:latest', 'sketch_generator']"
20,5b78_sketch_generator,5b780d07,llama3.1_da8e_sg_batch,40.06,failure,14519,11075,3444,0,0,0,"['benchmark', 'llama3.1:latest', 'sketch_generator']"
22,faa8_sketch_generator,faa846c3,llama3.1_da8e_sg_batch,44.78,failure,15326,11072,4254,0,0,0,"['benchmark', 'llama3.1:latest', 'sketch_generator']"
25,c22f_sketch_generator,c22f0b91,llama3.1_da8e_sg_batch,27.62,failure,13255,10717,2538,0,0,0,"['benchmark', 'llama3.1:latest', 'sketch_generator']"
26,c3d0_sketch_generator,c3d0c3e8,llama3.1_da8e_sg_batch,53.88,failure,21295,16182,5113,0,0,0,"['benchmark', 'llama3.1:latest', 'sketch_generator']"
28,f324_sketch_generator,f324cb96,llama3.1_da8e_sg_batch,45.6,failure,15208,11069,4139,0,0,0,"['benchmark', 'llama3.1:latest', 'sketch_generator']"
29,9fcc_sketch_generator,9fccb5fa,llama3.1_da8e_sg_batch,46.55,failure,15511,11070,4441,0,0,0,"['benchmark', 'llama3.1:latest', 'sketch_generator']"
