num_run,name,trace_id,batch_id,latency,status,total_tokens,prompt_tokens,completion_tokens,total_cost,prompt_cost,completion_cost,tags
1,27b2_sketch_generator,27b28cf9,phi4_6886_sg_batch,154.62,failure,17097,11046,6051,0,0,0,"['benchmark', 'phi4:latest', 'sketch_generator']"
2,98f7_sketch_generator,98f72762,phi4_6886_sg_batch,93.55,failure,20328,14162,6166,0,0,0,"['benchmark', 'phi4:latest', 'sketch_generator']"
4,5e02_sketch_generator,5e0277ad,phi4_6886_sg_batch,85.47,failure,16082,11048,5034,0,0,0,"['benchmark', 'phi4:latest', 'sketch_generator']"
5,f240_sketch_generator,f2404e3c,phi4_6886_sg_batch,79.66,failure,17342,12411,4931,0,0,0,"['benchmark', 'phi4:latest', 'sketch_generator']"
6,3ab5_sketch_generator,3ab5a23d,phi4_6886_sg_batch,111.19,failure,16759,11017,5742,0,0,0,"['benchmark', 'phi4:latest', 'sketch_generator']"
7,574d_sketch_generator,574d643a,phi4_6886_sg_batch,93.09,failure,16378,11048,5330,0,0,0,"['benchmark', 'phi4:latest', 'sketch_generator']"
9,a5d4_sketch_generator,a5d48321,phi4_6886_sg_batch,30.36,success,6830,4902,1928,0,0,0,"['benchmark', 'phi4:latest', 'sketch_generator']"
10,e26e_sketch_generator,e26e9d89,phi4_6886_sg_batch,86.03,failure,16328,11036,5292,0,0,0,"['benchmark', 'phi4:latest', 'sketch_generator']"
11,af83_sketch_generator,af83a94a,phi4_6886_sg_batch,87.41,failure,16439,11018,5421,0,0,0,"['benchmark', 'phi4:latest', 'sketch_generator']"
12,78f6_sketch_generator,78f67c73,phi4_6886_sg_batch,91.63,failure,18191,12628,5563,0,0,0,"['benchmark', 'phi4:latest', 'sketch_generator']"
13,772d_sketch_generator,772d5c04,phi4_6886_sg_batch,87.66,failure,16098,11044,5054,0,0,0,"['benchmark', 'phi4:latest', 'sketch_generator']"
15,576e_sketch_generator,576e7a0d,phi4_6886_sg_batch,82.06,failure,17635,12615,5020,0,0,0,"['benchmark', 'phi4:latest', 'sketch_generator']"
17,0da5_sketch_generator,0da5dfbe,phi4_6886_sg_batch,92.46,failure,16271,11029,5242,0,0,0,"['benchmark', 'phi4:latest', 'sketch_generator']"
18,ad66_sketch_generator,ad66fb92,phi4_6886_sg_batch,79.61,failure,17144,12457,4687,0,0,0,"['benchmark', 'phi4:latest', 'sketch_generator']"
19,e229_sketch_generator,e229c965,phi4_6886_sg_batch,90.35,failure,15916,11047,4869,0,0,0,"['benchmark', 'phi4:latest', 'sketch_generator']"
20,08ea_sketch_generator,08ea9a89,phi4_6886_sg_batch,76.67,failure,15967,11039,4928,0,0,0,"['benchmark', 'phi4:latest', 'sketch_generator']"
21,4122_sketch_generator,4122f00b,phi4_6886_sg_batch,80.25,failure,15629,10836,4793,0,0,0,"['benchmark', 'phi4:latest', 'sketch_generator']"
22,49be_sketch_generator,49be46f8,phi4_6886_sg_batch,95.58,failure,18529,12590,5939,0,0,0,"['benchmark', 'phi4:latest', 'sketch_generator']"
23,ece9_sketch_generator,ece944a2,phi4_6886_sg_batch,91.1,failure,16343,11034,5309,0,0,0,"['benchmark', 'phi4:latest', 'sketch_generator']"
24,8187_sketch_generator,8187d6b4,phi4_6886_sg_batch,103.79,failure,17109,11034,6075,0,0,0,"['benchmark', 'phi4:latest', 'sketch_generator']"
26,5bbe_sketch_generator,5bbec586,phi4_6886_sg_batch,88.9,failure,16107,10823,5284,0,0,0,"['benchmark', 'phi4:latest', 'sketch_generator']"
28,21a1_sketch_generator,21a1ae0a,phi4_6886_sg_batch,85.57,failure,15984,10992,4992,0,0,0,"['benchmark', 'phi4:latest', 'sketch_generator']"
29,564c_sketch_generator,564c65c2,phi4_6886_sg_batch,85.47,failure,16266,11108,5158,0,0,0,"['benchmark', 'phi4:latest', 'sketch_generator']"
30,2144_sketch_generator,21444a0a,phi4_6886_sg_batch,260.94,failure,16032,11103,4929,0,0,0,"['benchmark', 'phi4:latest', 'sketch_generator']"
31,2dda_sketch_generator,2dda8814,phi4_6fca_sg_batch,155.49,failure,17002,11076,5926,0,0,0,"['benchmark', 'phi4:latest', 'sketch_generator']"
35,58a0_sketch_generator,58a09e78,phi4_6fca_sg_batch,95.22,failure,16216,11074,5142,0,0,0,"['benchmark', 'phi4:latest', 'sketch_generator']"
37,2a9c_sketch_generator,2a9cf03e,phi4_6fca_sg_batch,89.28,failure,16656,11094,5562,0,0,0,"['benchmark', 'phi4:latest', 'sketch_generator']"
38,18ab_sketch_generator,18ab14b9,phi4_6fca_sg_batch,94.36,failure,16730,11093,5637,0,0,0,"['benchmark', 'phi4:latest', 'sketch_generator']"
32,8b09_sketch_generator,8b09f3f1,phi4_6fca_sg_batch,87.54,failure,16146,10862,5284,0,0,0,"['benchmark', 'phi4:latest', 'sketch_generator']"
34,1093_sketch_generator,10938e15,phi4_6fca_sg_batch,92.74,failure,16355,11033,5322,0,0,0,"['benchmark', 'phi4:latest', 'sketch_generator']"
