num_run,name,trace_id,batch_id,latency,status,total_tokens,prompt_tokens,completion_tokens,total_cost,prompt_cost,completion_cost,tags
1,3c44_data_processor,3c44aca5,qwen2.5-coder:14b_1bb2_dp_batch,138.04,success,27965,22220,5745,0,0,0,"['benchmark', 'data_processor', 'qwen2.5-coder:14b']"
2,fcf9_data_processor,fcf94d3b,qwen2.5-coder:14b_1bb2_dp_batch,41.48,success,14108,11698,2410,0,0,0,"['benchmark', 'data_processor', 'qwen2.5-coder:14b']"
3,cc4a_data_processor,cc4a6501,qwen2.5-coder:14b_1bb2_dp_batch,40.39,success,12479,10098,2381,0,0,0,"['benchmark', 'data_processor', 'qwen2.5-coder:14b']"
4,6a3e_data_processor,6a3e41df,qwen2.5-coder:14b_1bb2_dp_batch,48.02,failure,16554,13843,2711,0,0,0,"['benchmark', 'data_processor', 'qwen2.5-coder:14b']"
5,9cdb_data_processor,9cdbc1e8,qwen2.5-coder:14b_1bb2_dp_batch,40.66,failure,16451,14157,2294,0,0,0,"['benchmark', 'data_processor', 'qwen2.5-coder:14b']"
6,1f91_data_processor,1f917c06,qwen2.5-coder:14b_1bb2_dp_batch,32.36,failure,14004,12187,1817,0,0,0,"['benchmark', 'data_processor', 'qwen2.5-coder:14b']"
7,a978_data_processor,a978ef92,qwen2.5-coder:14b_1bb2_dp_batch,46.62,failure,16562,13942,2620,0,0,0,"['benchmark', 'data_processor', 'qwen2.5-coder:14b']"
8,8126_data_processor,81265a69,qwen2.5-coder:14b_1bb2_dp_batch,48.79,failure,16846,14012,2834,0,0,0,"['benchmark', 'data_processor', 'qwen2.5-coder:14b']"
9,0e9d_data_processor,0e9d6e51,qwen2.5-coder:14b_1bb2_dp_batch,75.37,failure,26533,22244,4289,0,0,0,"['benchmark', 'data_processor', 'qwen2.5-coder:14b']"
10,84db_data_processor,84db0954,qwen2.5-coder:14b_1bb2_dp_batch,70.65,failure,22320,18284,4036,0,0,0,"['benchmark', 'data_processor', 'qwen2.5-coder:14b']"
11,4dbe_data_processor,4dbef5de,qwen2.5-coder:14b_1bb2_dp_batch,71.22,failure,20967,16868,4099,0,0,0,"['benchmark', 'data_processor', 'qwen2.5-coder:14b']"
12,3a0e_data_processor,3a0ee165,qwen2.5-coder:14b_1bb2_dp_batch,39.38,success,13751,11472,2279,0,0,0,"['benchmark', 'data_processor', 'qwen2.5-coder:14b']"
