num_run,name,trace_id,batch_id,latency,status,total_tokens,prompt_tokens,completion_tokens,total_cost,prompt_cost,completion_cost,tags
1,7f4f_sketch_generator,7f4f4cd8,qwen2.5-coder:14b_b154_sg_batch,148.85,failure,17353,11407,5946,0,0,0,"['benchmark', 'qwen2.5-coder:14b', 'sketch_generator']"
2,6826_sketch_generator,6826f7b4,qwen2.5-coder:14b_b154_sg_batch,98.23,failure,17032,11378,5654,0,0,0,"['benchmark', 'qwen2.5-coder:14b', 'sketch_generator']"
3,ef97_sketch_generator,ef978a23,qwen2.5-coder:14b_b154_sg_batch,119.19,failure,17988,11413,6575,0,0,0,"['benchmark', 'qwen2.5-coder:14b', 'sketch_generator']"
4,3dba_sketch_generator,3dba8847,qwen2.5-coder:14b_b154_sg_batch,125.19,failure,17499,11392,6107,0,0,0,"['benchmark', 'qwen2.5-coder:14b', 'sketch_generator']"
5,c75b_sketch_generator,c75b602f,qwen2.5-coder:14b_b154_sg_batch,102.85,failure,16993,11389,5604,0,0,0,"['benchmark', 'qwen2.5-coder:14b', 'sketch_generator']"
6,9ed7_sketch_generator,9ed7bcdc,qwen2.5-coder:14b_b154_sg_batch,109.47,failure,17563,11388,6175,0,0,0,"['benchmark', 'qwen2.5-coder:14b', 'sketch_generator']"
7,fefc_sketch_generator,fefc7f6e,qwen2.5-coder:14b_b154_sg_batch,99.97,failure,16894,11398,5496,0,0,0,"['benchmark', 'qwen2.5-coder:14b', 'sketch_generator']"
8,b862_sketch_generator,b8627466,qwen2.5-coder:14b_b154_sg_batch,117.33,failure,17823,11411,6412,0,0,0,"['benchmark', 'qwen2.5-coder:14b', 'sketch_generator']"
10,eb8a_sketch_generator,eb8aaccc,qwen2.5-coder:14b_b154_sg_batch,115.78,failure,17820,11416,6404,0,0,0,"['benchmark', 'qwen2.5-coder:14b', 'sketch_generator']"
11,97e7_sketch_generator,97e7d109,qwen2.5-coder:14b_b154_sg_batch,104.81,failure,16910,11411,5499,0,0,0,"['benchmark', 'qwen2.5-coder:14b', 'sketch_generator']"
12,f680_sketch_generator,f6802dfa,qwen2.5-coder:14b_b154_sg_batch,121.25,failure,18194,11417,6777,0,0,0,"['benchmark', 'qwen2.5-coder:14b', 'sketch_generator']"
13,c10a_sketch_generator,c10a3813,qwen2.5-coder:14b_b154_sg_batch,120.39,failure,17243,11411,5832,0,0,0,"['benchmark', 'qwen2.5-coder:14b', 'sketch_generator']"
