num_run,name,trace_id,batch_id,latency,status,total_tokens,prompt_tokens,completion_tokens,total_cost,prompt_cost,completion_cost,tags
1,ba69_sketch_generator,ba6939ce,qwen2.5-coder:14b_da7d_sg_batch,299.85,failure,18333,11413,6920,0,0,0,"['benchmark', 'qwen2.5-coder:14b', 'sketch_generator']"
3,3b3e_sketch_generator,3b3ec5b7,qwen2.5-coder:14b_da7d_sg_batch,107.82,failure,16701,11413,5288,0,0,0,"['benchmark', 'qwen2.5-coder:14b', 'sketch_generator']"
6,3264_sketch_generator,32641341,qwen2.5-coder:14b_da7d_sg_batch,133.47,failure,17790,11388,6402,0,0,0,"['benchmark', 'qwen2.5-coder:14b', 'sketch_generator']"
7,c135_sketch_generator,c135e8a6,qwen2.5-coder:14b_da7d_sg_batch,117.8,failure,17603,11388,6215,0,0,0,"['benchmark', 'qwen2.5-coder:14b', 'sketch_generator']"
8,f507_sketch_generator,f507d0dc,qwen2.5-coder:14b_da7d_sg_batch,117.04,failure,17441,11412,6029,0,0,0,"['benchmark', 'qwen2.5-coder:14b', 'sketch_generator']"
9,6169_sketch_generator,6169cf53,qwen2.5-coder:14b_da7d_sg_batch,113.51,failure,17001,11389,5612,0,0,0,"['benchmark', 'qwen2.5-coder:14b', 'sketch_generator']"
11,4f52_sketch_generator,4f524b6f,qwen2.5-coder:14b_da7d_sg_batch,95.15,failure,16299,11377,4922,0,0,0,"['benchmark', 'qwen2.5-coder:14b', 'sketch_generator']"
12,07a0_sketch_generator,07a06ef9,qwen2.5-coder:14b_da7d_sg_batch,137.87,failure,18252,11414,6838,0,0,0,"['benchmark', 'qwen2.5-coder:14b', 'sketch_generator']"
13,6a51_sketch_generator,6a51549c,qwen2.5-coder:14b_da7d_sg_batch,119.05,failure,17251,11390,5861,0,0,0,"['benchmark', 'qwen2.5-coder:14b', 'sketch_generator']"
14,f971_sketch_generator,f9715093,qwen2.5-coder:14b_da7d_sg_batch,100.6,failure,16550,11413,5137,0,0,0,"['benchmark', 'qwen2.5-coder:14b', 'sketch_generator']"
16,7476_sketch_generator,7476426d,qwen2.5-coder:14b_da7d_sg_batch,122.16,failure,17540,11387,6153,0,0,0,"['benchmark', 'qwen2.5-coder:14b', 'sketch_generator']"
17,a594_sketch_generator,a594e9e8,qwen2.5-coder:14b_da7d_sg_batch,106.74,failure,17381,11388,5993,0,0,0,"['benchmark', 'qwen2.5-coder:14b', 'sketch_generator']"
18,7b72_sketch_generator,7b723b87,qwen2.5-coder:14b_da7d_sg_batch,108.42,failure,16887,11389,5498,0,0,0,"['benchmark', 'qwen2.5-coder:14b', 'sketch_generator']"
20,29e7_sketch_generator,29e79313,qwen2.5-coder:14b_da7d_sg_batch,116.4,failure,17661,11387,6274,0,0,0,"['benchmark', 'qwen2.5-coder:14b', 'sketch_generator']"
21,b5d8_sketch_generator,b5d8face,qwen2.5-coder:14b_da7d_sg_batch,127.42,failure,18067,11414,6653,0,0,0,"['benchmark', 'qwen2.5-coder:14b', 'sketch_generator']"
22,8e1a_sketch_generator,8e1a0e5b,qwen2.5-coder:14b_da7d_sg_batch,89.42,failure,15683,11275,4408,0,0,0,"['benchmark', 'qwen2.5-coder:14b', 'sketch_generator']"
23,cf85_sketch_generator,cf8559d8,qwen2.5-coder:14b_da7d_sg_batch,113.43,failure,17172,11417,5755,0,0,0,"['benchmark', 'qwen2.5-coder:14b', 'sketch_generator']"
24,5b28_sketch_generator,5b288e64,qwen2.5-coder:14b_da7d_sg_batch,106.36,failure,17063,11386,5677,0,0,0,"['benchmark', 'qwen2.5-coder:14b', 'sketch_generator']"
25,6dd4_sketch_generator,6dd49f2e,qwen2.5-coder:14b_da7d_sg_batch,115.1,failure,17193,11414,5779,0,0,0,"['benchmark', 'qwen2.5-coder:14b', 'sketch_generator']"
26,bf7a_sketch_generator,bf7ae457,qwen2.5-coder:14b_da7d_sg_batch,109.06,failure,16996,11394,5602,0,0,0,"['benchmark', 'qwen2.5-coder:14b', 'sketch_generator']"
27,7d83_sketch_generator,7d8356dd,qwen2.5-coder:14b_da7d_sg_batch,109.17,failure,17557,11392,6165,0,0,0,"['benchmark', 'qwen2.5-coder:14b', 'sketch_generator']"
28,402a_sketch_generator,402adedf,qwen2.5-coder:14b_da7d_sg_batch,114.67,failure,17376,11411,5965,0,0,0,"['benchmark', 'qwen2.5-coder:14b', 'sketch_generator']"
29,313b_sketch_generator,313ba3f0,qwen2.5-coder:14b_da7d_sg_batch,106.25,failure,17023,11391,5632,0,0,0,"['benchmark', 'qwen2.5-coder:14b', 'sketch_generator']"
