num_run,name,trace_id,batch_id,status,latency,total_tokens,prompt_tokens,completion_tokens,total_cost,parameters,prompt_cost,completion_cost,tags
1,e4f6_model_converter,e4f6b12c,codestral_87c9_mc_batch,failure,38.85,8122,6233,1889,0,N/A,0,0,"['benchmark', 'codestral:latest', 'model_converter']"
2,c2b6_model_converter,c2b62b3b,codestral_87c9_mc_batch,failure,41.63,8036,6084,1952,0,N/A,0,0,"['benchmark', 'codestral:latest', 'model_converter']"
3,5734_model_converter,5734c493,codestral_87c9_mc_batch,success,32.02,5929,4371,1558,0,N/A,0,0,"['benchmark', 'codestral:latest', 'model_converter']"
4,2d54_model_converter,2d5403f7,codestral_87c9_mc_batch,success,32.64,7511,6155,1356,0,N/A,0,0,"['benchmark', 'codestral:latest', 'model_converter']"
5,a1c8_model_converter,a1c816d1,codestral_87c9_mc_batch,success,30.03,5953,4468,1485,0,N/A,0,0,"['benchmark', 'codestral:latest', 'model_converter']"
6,0608_model_converter,0608a284,codestral_87c9_mc_batch,failure,51.59,8269,6663,1606,0,N/A,0,0,"['benchmark', 'codestral:latest', 'model_converter']"
7,65ae_model_converter,65ae3410,codestral_87c9_mc_batch,failure,37.38,8886,7157,1729,0,N/A,0,0,"['benchmark', 'codestral:latest', 'model_converter']"
8,f8e0_model_converter,f8e00f25,codestral_87c9_mc_batch,success,42.01,6854,5164,1690,0,N/A,0,0,"['benchmark', 'codestral:latest', 'model_converter']"
9,0f7e_model_converter,0f7ef079,codestral_87c9_mc_batch,failure,44.97,9170,6994,2176,0,N/A,0,0,"['benchmark', 'codestral:latest', 'model_converter']"
10,aedb_model_converter,aedb8cdd,codestral_87c9_mc_batch,failure,35.29,8657,7090,1567,0,N/A,0,0,"['benchmark', 'codestral:latest', 'model_converter']"
11,b95b_model_converter,b95b6575,codestral_87c9_mc_batch,failure,42.25,8981,6923,2058,0,N/A,0,0,"['benchmark', 'codestral:latest', 'model_converter']"
12,caf2_model_converter,caf2bd9d,codestral_87c9_mc_batch,success,26.53,5845,4495,1350,0,N/A,0,0,"['benchmark', 'codestral:latest', 'model_converter']"
13,33eb_model_converter,33eb88ac,codestral_87c9_mc_batch,failure,34.95,8708,6996,1712,0,N/A,0,0,"['benchmark', 'codestral:latest', 'model_converter']"
14,cc9a_model_converter,cc9ab658,codestral_87c9_mc_batch,success,41.98,6904,5181,1723,0,N/A,0,0,"['benchmark', 'codestral:latest', 'model_converter']"
15,065a_model_converter,065a06e4,codestral_87c9_mc_batch,failure,43.67,8609,6892,1717,0,N/A,0,0,"['benchmark', 'codestral:latest', 'model_converter']"
16,796d_model_converter,796dc540,codestral_87c9_mc_batch,success,26.5,3561,2464,1097,0,N/A,0,0,"['benchmark', 'codestral:latest', 'model_converter']"
17,0c60_model_converter,0c60954e,codestral_87c9_mc_batch,success,23.45,4508,3340,1168,0,N/A,0,0,"['benchmark', 'codestral:latest', 'model_converter']"
18,1ed4_model_converter,1ed44032,codestral_87c9_mc_batch,success,26.72,6767,5505,1262,0,N/A,0,0,"['benchmark', 'codestral:latest', 'model_converter']"
19,119e_model_converter,119e7091,codestral_87c9_mc_batch,success,46.74,8350,6463,1887,0,N/A,0,0,"['benchmark', 'codestral:latest', 'model_converter']"
20,0140_model_converter,01405fec,codestral_87c9_mc_batch,failure,45.64,9970,7942,2028,0,N/A,0,0,"['benchmark', 'codestral:latest', 'model_converter']"
21,a46d_model_converter,a46da530,codestral_87c9_mc_batch,success,42.56,8216,6308,1908,0,N/A,0,0,"['benchmark', 'codestral:latest', 'model_converter']"
22,86f4_model_converter,86f4d049,codestral_87c9_mc_batch,failure,39.17,7202,5503,1699,0,N/A,0,0,"['benchmark', 'codestral:latest', 'model_converter']"
23,6fba_model_converter,6fba5559,codestral_87c9_mc_batch,success,9.77,1027,484,543,0,N/A,0,0,"['benchmark', 'codestral:latest', 'model_converter']"
24,c79b_model_converter,c79be5b8,codestral_87c9_mc_batch,failure,50.99,8955,6876,2079,0,N/A,0,0,"['benchmark', 'codestral:latest', 'model_converter']"
25,7217_model_converter,7217c38d,codestral_87c9_mc_batch,failure,39.06,9696,8031,1665,0,N/A,0,0,"['benchmark', 'codestral:latest', 'model_converter']"
26,d218_model_converter,d2189f8e,codestral_87c9_mc_batch,failure,42.56,8301,6258,2043,0,N/A,0,0,"['benchmark', 'codestral:latest', 'model_converter']"
27,2889_model_converter,28895b87,codestral_87c9_mc_batch,failure,54.64,10071,7745,2326,0,N/A,0,0,"['benchmark', 'codestral:latest', 'model_converter']"
28,761e_model_converter,761e79a4,codestral_87c9_mc_batch,failure,33.96,8046,6392,1654,0,N/A,0,0,"['benchmark', 'codestral:latest', 'model_converter']"
29,fac5_model_converter,fac56e65,codestral_87c9_mc_batch,failure,36.91,7269,5355,1914,0,N/A,0,0,"['benchmark', 'codestral:latest', 'model_converter']"
30,559a_model_converter,559a5477,codestral_87c9_mc_batch,failure,36.47,8459,6847,1612,0,N/A,0,0,"['benchmark', 'codestral:latest', 'model_converter']"
