num_run,name,trace_id,batch_id,status,latency,total_tokens,prompt_tokens,completion_tokens,total_cost,parameters,prompt_cost,completion_cost,tags
1,8136_data_processor,81368fba,codestral_a190_dp_batch,success,99.43,22755,17744,5011,0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'codestral:latest', 'data_processor']"
2,d505_data_processor,d505f5df,codestral_a190_dp_batch,success,80.28,21430,17448,3982,0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'codestral:latest', 'data_processor']"
3,0f32_data_processor,0f32ffc5,codestral_a190_dp_batch,success,54.74,14435,11654,2781,0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'codestral:latest', 'data_processor']"
4,43e4_data_processor,43e45cd7,codestral_a190_dp_batch,success,54.37,14161,11381,2780,0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'codestral:latest', 'data_processor']"
5,3b2e_data_processor,3b2e9eb6,codestral_a190_dp_batch,failure,114.59,28951,23298,5653,0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'codestral:latest', 'data_processor']"
6,eb86_data_processor,eb866750,codestral_a190_dp_batch,success,89.96,23600,19131,4469,0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'codestral:latest', 'data_processor']"
7,af2f_data_processor,af2f366a,codestral_a190_dp_batch,success,82.73,19935,15756,4179,0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'codestral:latest', 'data_processor']"
8,deab_data_processor,deab84ad,codestral_a190_dp_batch,failure,120.87,29338,23336,6002,0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'codestral:latest', 'data_processor']"
9,7d33_data_processor,7d3393e1,codestral_a190_dp_batch,success,91.41,22397,17816,4581,0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'codestral:latest', 'data_processor']"
10,7ffd_data_processor,7ffdf3db,codestral_a190_dp_batch,failure,93.05,27264,22836,4428,0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'codestral:latest', 'data_processor']"
11,0123_data_processor,01239cc8,codestral_a190_dp_batch,success,66.66,16783,13387,3396,0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'codestral:latest', 'data_processor']"
