num_run,name,trace_id,batch_id,status,latency,total_tokens,prompt_tokens,completion_tokens,total_cost,parameters,prompt_cost,completion_cost,tags,timestamp
1,e2ed_py_sketch_generator,e2ed04dc,codestral_366b_psg_batch,failure,120.98,13246,10014,3232,0.0,N/A,0,0,"['benchmark', 'codestral:latest', 'py_sketch_generator']",1747820861
2,0e33_py_sketch_generator,0e330145,codestral_366b_psg_batch,failure,68.67,13510,10014,3496,0.0,N/A,0,0,"['benchmark', 'codestral:latest', 'py_sketch_generator']",1747820990
3,6d9d_py_sketch_generator,6d9dc3a8,codestral_366b_psg_batch,failure,66.5,13390,10014,3376,0.0,N/A,0,0,"['benchmark', 'codestral:latest', 'py_sketch_generator']",1747821066
4,f7fc_py_sketch_generator,f7fc5802,codestral_366b_psg_batch,failure,60.45,13049,10014,3035,0.0,N/A,0,0,"['benchmark', 'codestral:latest', 'py_sketch_generator']",1747821140
5,3ca6_py_sketch_generator,3ca6be5a,codestral_366b_psg_batch,failure,73.94,13607,9803,3804,0.0,N/A,0,0,"['benchmark', 'codestral:latest', 'py_sketch_generator']",1747821216
6,fb90_py_sketch_generator,fb90bc0a,codestral_366b_psg_batch,failure,74.58,13846,10014,3832,0.0,N/A,0,0,"['benchmark', 'codestral:latest', 'py_sketch_generator']",1747821296
7,d812_py_sketch_generator,d812e9cf,codestral_366b_psg_batch,success,19.61,2855,1822,1033,0.0,N/A,0,0,"['benchmark', 'codestral:latest', 'py_sketch_generator']",1747821378
8,ed54_py_sketch_generator,ed542738,codestral_366b_psg_batch,failure,64.47,13274,10014,3260,0.0,N/A,0,0,"['benchmark', 'codestral:latest', 'py_sketch_generator']",1747821444
9,8366_py_sketch_generator,836693ab,codestral_366b_psg_batch,success,18.78,2808,1822,986,0.0,N/A,0,0,"['benchmark', 'codestral:latest', 'py_sketch_generator']",1747821516
10,c5fe_py_sketch_generator,c5fe6051,codestral_366b_psg_batch,failure,88.63,14632,10014,4618,0.0,N/A,0,0,"['benchmark', 'codestral:latest', 'py_sketch_generator']",1747821585
11,6d46_py_sketch_generator,6d466738,codestral_366b_psg_batch,failure,71.51,13499,10014,3485,0.0,N/A,0,0,"['benchmark', 'codestral:latest', 'py_sketch_generator']",1747821682
12,7961_py_sketch_generator,79612c05,codestral_366b_psg_batch,failure,73.19,13765,10014,3751,0.0,N/A,0,0,"['benchmark', 'codestral:latest', 'py_sketch_generator']",1747821761
13,50f4_py_sketch_generator,50f45e1b,codestral_366b_psg_batch,failure,74.47,13702,9894,3808,0.0,N/A,0,0,"['benchmark', 'codestral:latest', 'py_sketch_generator']",1747821842
14,557b_py_sketch_generator,557bed05,codestral_366b_psg_batch,failure,76.47,13942,10014,3928,0.0,N/A,0,0,"['benchmark', 'codestral:latest', 'py_sketch_generator']",1747821923
15,6bc4_py_sketch_generator,6bc4d710,codestral_366b_psg_batch,success,18.83,2810,1822,988,0.0,N/A,0,0,"['benchmark', 'codestral:latest', 'py_sketch_generator']",1747822007
16,321a_py_sketch_generator,321a673b,codestral_366b_psg_batch,failure,96.17,15053,10014,5039,0.0,N/A,0,0,"['benchmark', 'codestral:latest', 'py_sketch_generator']",1747822079
17,9ec1_py_sketch_generator,9ec12a51,codestral_366b_psg_batch,failure,83.38,14242,9913,4329,0.0,N/A,0,0,"['benchmark', 'codestral:latest', 'py_sketch_generator']",1747822183
18,d736_py_sketch_generator,d73637f5,codestral_366b_psg_batch,failure,92.08,14836,10014,4822,0.0,N/A,0,0,"['benchmark', 'codestral:latest', 'py_sketch_generator']",1747822274
19,f9bd_py_sketch_generator,f9bdaa97,codestral_366b_psg_batch,success,16.96,2706,1822,884,0.0,N/A,0,0,"['benchmark', 'codestral:latest', 'py_sketch_generator']",1747822374
20,7802_py_sketch_generator,78021fd5,codestral_366b_psg_batch,failure,78.32,14059,10014,4045,0.0,N/A,0,0,"['benchmark', 'codestral:latest', 'py_sketch_generator']",1747822441
21,e65e_py_sketch_generator,e65e79aa,codestral_366b_psg_batch,failure,80.19,14115,10014,4101,0.0,N/A,0,0,"['benchmark', 'codestral:latest', 'py_sketch_generator']",1747822527
22,2108_py_sketch_generator,2108a391,codestral_366b_psg_batch,failure,71.33,13659,10014,3645,0.0,N/A,0,0,"['benchmark', 'codestral:latest', 'py_sketch_generator']",1747822615
23,88ff_py_sketch_generator,88ff7225,codestral_366b_psg_batch,failure,76.68,13394,9770,3624,0.0,N/A,0,0,"['benchmark', 'codestral:latest', 'py_sketch_generator']",1747822693
24,5e1c_py_sketch_generator,5e1cb19a,codestral_366b_psg_batch,failure,94.0,14918,10014,4904,0.0,N/A,0,0,"['benchmark', 'codestral:latest', 'py_sketch_generator']",1747822777
25,3aee_py_sketch_generator,3aee4b86,codestral_366b_psg_batch,failure,70.46,13612,10014,3598,0.0,N/A,0,0,"['benchmark', 'codestral:latest', 'py_sketch_generator']",1747822878
26,e522_py_sketch_generator,e522092d,codestral_366b_psg_batch,failure,68.27,13474,10014,3460,0.0,N/A,0,0,"['benchmark', 'codestral:latest', 'py_sketch_generator']",1747822956
27,c26e_py_sketch_generator,c26ef6fe,codestral_366b_psg_batch,success,76.05,13877,10014,3863,0.0,N/A,0,0,"['benchmark', 'codestral:latest', 'py_sketch_generator']",1747823032
28,9681_py_sketch_generator,96813076,codestral_366b_psg_batch,success,16.17,2645,1822,823,0.0,N/A,0,0,"['benchmark', 'codestral:latest', 'py_sketch_generator']",1747823116
29,3cd8_py_sketch_generator,3cd83090,codestral_366b_psg_batch,success,25.29,2775,1822,953,0.0,N/A,0,0,"['benchmark', 'codestral:latest', 'py_sketch_generator']",1747823178
30,ce43_py_sketch_generator,ce43a9fa,codestral_366b_psg_batch,success,18.29,2769,1822,947,0.0,N/A,0,0,"['benchmark', 'codestral:latest', 'py_sketch_generator']",1747823250
