num_run,name,trace_id,batch_id,status,latency,total_tokens,prompt_tokens,completion_tokens,total_cost,parameters,prompt_cost,completion_cost,tags,timestamp
1,52ca_tpu_sketch_generator,52ca7e6c,codestral_c8f6_tpusg_batch,failure,108.0,14034,10240,3794,0.0,N/A,0,0,"['benchmark', 'codestral:latest', 'tpu_sketch_generator']",1753797395
2,7727_tpu_sketch_generator,7727f0c0,codestral_c8f6_tpusg_batch,failure,147.42,15483,10240,5243,0.0,N/A,0,0,"['benchmark', 'codestral:latest', 'tpu_sketch_generator']",1753797539
3,3f29_tpu_sketch_generator,3f29855c,codestral_c8f6_tpusg_batch,success,135.22,13021,8192,4829,0.0,N/A,0,0,"['benchmark', 'codestral:latest', 'tpu_sketch_generator']",1753797810
4,8765_tpu_sketch_generator,87658264,codestral_c8f6_tpusg_batch,failure,66.13,12347,10240,2107,0.0,N/A,0,0,"['benchmark', 'codestral:latest', 'tpu_sketch_generator']",1753798026
5,d7f9_tpu_sketch_generator,d7f970f5,codestral_c8f6_tpusg_batch,success,61.25,8245,6144,2101,0.0,N/A,0,0,"['benchmark', 'codestral:latest', 'tpu_sketch_generator']",1753798107
6,3a70_tpu_sketch_generator,3a700efb,codestral_c8f6_tpusg_batch,failure,113.75,14195,10240,3955,0.0,N/A,0,0,"['benchmark', 'codestral:latest', 'tpu_sketch_generator']",1753798235
7,6820_tpu_sketch_generator,6820a937,codestral_c8f6_tpusg_batch,success,25.13,2927,2048,879,0.0,N/A,0,0,"['benchmark', 'codestral:latest', 'tpu_sketch_generator']",1753798386
8,6536_tpu_sketch_generator,6536d7f7,codestral_c8f6_tpusg_batch,success,123.47,12619,8192,4427,0.0,N/A,0,0,"['benchmark', 'codestral:latest', 'tpu_sketch_generator']",1753798467
9,c524_tpu_sketch_generator,c524f104,codestral_c8f6_tpusg_batch,success,65.52,10317,8192,2125,0.0,N/A,0,0,"['benchmark', 'codestral:latest', 'tpu_sketch_generator']",1753798670
10,ce24_tpu_sketch_generator,ce243473,codestral_c8f6_tpusg_batch,success,135.27,15018,10240,4778,0.0,N/A,0,0,"['benchmark', 'codestral:latest', 'tpu_sketch_generator']",1753798757
11,09cb_tpu_sketch_generator,09cb2e13,codestral_c8f6_tpusg_batch,success,123.79,12600,8192,4408,0.0,N/A,0,0,"['benchmark', 'codestral:latest', 'tpu_sketch_generator']",1753798986
12,f09a_tpu_sketch_generator,f09a5309,codestral_c8f6_tpusg_batch,failure,149.09,15565,10240,5325,0.0,N/A,0,0,"['benchmark', 'codestral:latest', 'tpu_sketch_generator']",1753799190
13,224a_tpu_sketch_generator,224a7f41,codestral_c8f6_tpusg_batch,failure,112.63,14141,10240,3901,0.0,N/A,0,0,"['benchmark', 'codestral:latest', 'tpu_sketch_generator']",1753799369
14,b112_tpu_sketch_generator,b1122113,codestral_c8f6_tpusg_batch,failure,103.66,13790,10240,3550,0.0,N/A,0,0,"['benchmark', 'codestral:latest', 'tpu_sketch_generator']",1753799511
15,c202_tpu_sketch_generator,c202cbd1,codestral_c8f6_tpusg_batch,success,123.86,12613,8192,4421,0.0,N/A,0,0,"['benchmark', 'codestral:latest', 'tpu_sketch_generator']",1753799637
16,1624_tpu_sketch_generator,1624f58b,codestral_c8f6_tpusg_batch,failure,109.97,14051,10240,3811,0.0,N/A,0,0,"['benchmark', 'codestral:latest', 'tpu_sketch_generator']",1753799842
17,fad7_tpu_sketch_generator,fad7d0d0,codestral_c8f6_tpusg_batch,failure,90.53,13274,10240,3034,0.0,N/A,0,0,"['benchmark', 'codestral:latest', 'tpu_sketch_generator']",1753799983
18,7524_tpu_sketch_generator,75247e17,codestral_c8f6_tpusg_batch,failure,121.39,14481,10240,4241,0.0,N/A,0,0,"['benchmark', 'codestral:latest', 'tpu_sketch_generator']",1753800099
19,c57d_tpu_sketch_generator,c57dce34,codestral_c8f6_tpusg_batch,failure,137.25,15050,10240,4810,0.0,N/A,0,0,"['benchmark', 'codestral:latest', 'tpu_sketch_generator']",1753800257
20,c19b_tpu_sketch_generator,c19bde97,codestral_c8f6_tpusg_batch,failure,127.14,14694,10240,4454,0.0,N/A,0,0,"['benchmark', 'codestral:latest', 'tpu_sketch_generator']",1753800443
21,5778_tpu_sketch_generator,5778f53f,codestral_c8f6_tpusg_batch,success,59.14,8160,6144,2016,0.0,N/A,0,0,"['benchmark', 'codestral:latest', 'tpu_sketch_generator']",1753800611
22,978a_tpu_sketch_generator,978a4360,codestral_c8f6_tpusg_batch,failure,108.95,14004,10240,3764,0.0,N/A,0,0,"['benchmark', 'codestral:latest', 'tpu_sketch_generator']",1753800690
23,1c76_tpu_sketch_generator,1c76e46c,codestral_c8f6_tpusg_batch,failure,105.37,13869,10240,3629,0.0,N/A,0,0,"['benchmark', 'codestral:latest', 'tpu_sketch_generator']",1753800839
