name,latency,time,num_run,total_tokens,input_tokens,output_tokens,total_cost,input_cost,output_cost,pass,task
,6.668049,2024-10-25 09:59:11.030426,29,534,299,235,0.00502,0.001495,0.003525,yes,model_convert
,8.055834,2024-10-25 09:58:41.358911,28,579,299,280,0.005695,0.001495,0.0042,yes,model_convert
,7.412674,2024-10-25 09:58:12.321626,27,565,299,266,0.005485,0.001495,0.00399,yes,model_convert
,9.365214,2024-10-25 09:57:41.361465,26,569,299,270,0.005545,0.001495,0.00405,yes,model_convert
,7.134073,2024-10-25 09:57:12.584632,25,567,299,268,0.005515,0.001495,0.00402,yes,model_convert
,8.129305,2024-10-25 09:56:42.824518,24,564,299,265,0.00547,0.001495,0.003975,yes,model_convert
,8.028175,2024-10-25 09:56:13.181859,23,587,299,288,0.005815,0.001495,0.00432,yes,model_convert
,7.921221,2024-10-25 09:55:43.639047,22,578,299,279,0.00568,0.001495,0.004185,yes,model_convert
,7.285811,2024-10-25 09:55:14.762782,21,572,299,273,0.00559,0.001495,0.004095,yes,model_convert
,7.396425,2024-10-25 09:54:45.667176,20,566,299,267,0.0055,0.001495,0.004005,yes,model_convert
,7.928856,2024-10-25 09:54:16.123676,19,582,299,283,0.00574,0.001495,0.004245,yes,model_convert
,8.251973,2024-10-25 09:53:46.270897,18,571,299,272,0.005575,0.001495,0.00408,yes,model_convert
,8.189609,2024-10-25 09:53:16.449006,17,541,299,242,0.005125,0.001495,0.00363,yes,model_convert
,16.266516,2024-10-25 09:52:38.487540,16,4035,3463,572,0.025895,0.017315,0.00858,yes,model_convert
,8.044791,2024-10-25 09:52:08.829563,15,589,299,290,0.005845,0.001495,0.00435,yes,model_convert
,9.424235,2024-10-25 09:51:37.827527,14,551,299,252,0.005275,0.001495,0.00378,yes,model_convert
,7.847118,2024-10-25 09:51:08.394155,13,576,299,277,0.00565,0.001495,0.004155,yes,model_convert
,22.080277,2024-10-25 09:50:24.655268,12,551,299,252,0.005275,0.001495,0.00378,yes,model_convert
,6.862968,2024-10-25 09:49:56.188070,11,545,299,246,0.005185,0.001495,0.00369,yes,model_convert
,7.491614,2024-10-25 09:49:27.089524,10,536,299,237,0.00505,0.001495,0.003555,yes,model_convert
,7.635577,2024-10-25 09:48:57.861363,9,567,299,268,0.005515,0.001495,0.00402,yes,model_convert
,8.438721,2024-10-25 09:48:27.855208,8,580,299,281,0.00571,0.001495,0.004215,yes,model_convert
,7.197322,2024-10-25 09:47:58.790065,7,549,299,250,0.005245,0.001495,0.00375,yes,model_convert
,9.385153,2024-10-25 09:47:27.832762,6,594,299,295,0.00592,0.001495,0.004425,yes,model_convert
,7.153188,2024-10-25 09:46:59.082434,5,558,299,259,0.00538,0.001495,0.003885,yes,model_convert
,8.614857,2024-10-25 09:46:28.828584,4,551,299,252,0.005275,0.001495,0.00378,yes,model_convert
,7.82339,2024-10-25 09:45:59.360221,3,572,299,273,0.00559,0.001495,0.004095,yes,model_convert
,8.739404,2024-10-25 09:45:28.995665,2,560,299,261,0.00541,0.001495,0.003915,yes,model_convert
,14.778786,2024-10-25 09:44:52.593037,1,3952,3424,528,0.02504,0.01712,0.00792,yes,model_convert
,6.663255,2024-10-25 09:44:24.358976,0,558,299,259,0.00538,0.001495,0.003885,yes,model_convert
