num_run,name,trace_id,latency,total_tokens,total_cost,status,batch_id,tags,prompt_tokens,completion_tokens,prompt_cost,completion_cost
0,f5_mc,f56464f9,4.9030436044311525,604,0.00607,success,7121_batch,"benchmark,gpt-4o,model_converter",299,305,0.001495,0.004575
1,0f_mc,0f28a10a,4.719018008636475,613,0.006205,success,7121_batch,"benchmark,gpt-4o,model_converter",299,314,0.001495,0.00471
2,07_mc,075d390d,4.709442402618408,571,0.005575,success,7121_batch,"benchmark,gpt-4o,model_converter",299,272,0.001495,0.00408
3,81_mc,81fcfa5b,3.65172467980957,548,0.00523,success,7121_batch,"benchmark,gpt-4o,model_converter",299,249,0.001495,0.003735
4,f9_mc,f9db7936,6.49102264767456,545,0.005185,success,7121_batch,"benchmark,gpt-4o,model_converter",299,246,0.001495,0.00369
5,df_mc,df6b046a,6.903663328979492,581,0.005725,success,7121_batch,"benchmark,gpt-4o,model_converter",299,282,0.001495,0.00423
6,be_mc,bef7fd15,7.1282159993591305,606,0.0061,success,7121_batch,"benchmark,gpt-4o,model_converter",299,307,0.001495,0.004605
7,6b_mc,6bdee8fe,5.245444335235596,565,0.005485,success,7121_batch,"benchmark,gpt-4o,model_converter",299,266,0.001495,0.00399
8,6c_mc,6ce14bcf,4.048330252349854,559,0.005395,success,7121_batch,"benchmark,gpt-4o,model_converter",299,260,0.001495,0.0039
9,6a_mc,6acc5ae6,5.138309217712402,592,0.00589,success,7121_batch,"benchmark,gpt-4o,model_converter",299,293,0.001495,0.004395
10,0c_mc,0c0bf152,8.742768294128417,3949,0.024905000000000004,success,7121_batch,"benchmark,gpt-4o,model_converter",3433,516,0.017165,0.00774
11,f0_mc,f073942d,10.21236815625,564,0.00547,success,7121_batch,"benchmark,gpt-4o,model_converter",299,265,0.001495,0.003975
12,5e_mc,5ef4951b,6.0407116493225095,594,0.00592,success,7121_batch,"benchmark,gpt-4o,model_converter",299,295,0.001495,0.004425
13,28_mc,288d9f29,4.575785527984619,584,0.00577,success,7121_batch,"benchmark,gpt-4o,model_converter",299,285,0.001495,0.004275
14,3d_mc,3db64ce8,7.664649759765625,564,0.00547,success,7121_batch,"benchmark,gpt-4o,model_converter",299,265,0.001495,0.003975
15,29_mc,29f621d0,5.345459002746582,571,0.005575,success,7121_batch,"benchmark,gpt-4o,model_converter",299,272,0.001495,0.00408
16,25_mc,25c13392,5.797906509094238,551,0.005275,success,7121_batch,"benchmark,gpt-4o,model_converter",299,252,0.001495,0.00378
17,d9_mc,d945a143,6.165386154296875,587,0.005815,success,7121_batch,"benchmark,gpt-4o,model_converter",299,288,0.001495,0.00432
18,18_mc,18071451,5.5840123673706055,556,0.00535,success,7121_batch,"benchmark,gpt-4o,model_converter",299,257,0.001495,0.003855
19,7e_mc,7e48dfe6,7.1750324617004395,569,0.005545,success,7121_batch,"benchmark,gpt-4o,model_converter",299,270,0.001495,0.00405
20,5b_mc,5b3c7ea7,6.549876478912354,590,0.00586,success,7121_batch,"benchmark,gpt-4o,model_converter",299,291,0.001495,0.004365
21,a5_mc,a548c1f2,5.668741026062012,606,0.0061,success,7121_batch,"benchmark,gpt-4o,model_converter",299,307,0.001495,0.004605
22,8a_mc,8a0332e4,6.9080700668334964,564,0.00547,success,7121_batch,"benchmark,gpt-4o,model_converter",299,265,0.001495,0.003975
23,49_mc,49ae9567,6.291970506622315,560,0.00541,success,7121_batch,"benchmark,gpt-4o,model_converter",299,261,0.001495,0.003915
24,70_mc,70af3961,6.729789530487061,600,0.00601,success,7121_batch,"benchmark,gpt-4o,model_converter",299,301,0.001495,0.004515
25,7e_mc,7ee01614,4.581627128051758,564,0.00547,success,7121_batch,"benchmark,gpt-4o,model_converter",299,265,0.001495,0.003975
26,44_mc,447b62ec,8.751745727539063,575,0.005635,success,7121_batch,"benchmark,gpt-4o,model_converter",299,276,0.001495,0.00414
27,fe_mc,fe05af47,4.392583285644531,567,0.005515,success,7121_batch,"benchmark,gpt-4o,model_converter",299,268,0.001495,0.00402
28,e5_mc,e5f3cd88,4.515454382476807,575,0.005635,success,7121_batch,"benchmark,gpt-4o,model_converter",299,276,0.001495,0.00414
29,3f_mc,3f2ed1e4,8.116725063415528,595,0.005935,success,7121_batch,"benchmark,gpt-4o,model_converter",299,296,0.001495,0.00444
