num_run,name,trace_id,latency,total_tokens,total_cost,status,batch_id,tags,prompt_tokens,completion_tokens,prompt_cost,completion_cost,start_time
0,95_sg,95d90ce2,75.13239800000001,13552,0.06577,error,3683_sg_batch,"benchmark,gpt-4o,sketch_generator",9300,4252,0.02325,0.04252,2024-11-14 14:22:09.693882
1,f8_sg,f8b67211,92.504549,16231,0.072205,error,3683_sg_batch,"benchmark,gpt-4o,sketch_generator",12014,4217,0.030035,0.04217,2024-11-14 14:25:37.892071
2,20_sg,20e91c78,64.713641,12205,0.0655375,error,3683_sg_batch,"benchmark,gpt-4o,sketch_generator",7535,4670,0.0188375,0.0467,2024-11-14 14:30:02.379328
3,d0_sg,d0febfcb,65.29360600000001,15795,0.0718725,error,3683_sg_batch,"benchmark,gpt-4o,sketch_generator",11477,4318,0.0286925,0.04318000000000001,2024-11-14 14:30:25.003796
4,44_sg,443f31ba,64.624392,13385,0.06137,success,3683_sg_batch,"benchmark,gpt-4o,sketch_generator",9664,3721,0.02416,0.03721,2024-11-14 14:35:18.145243
5,c4_sg,c4144c73,44.496467,10018,0.04822,success,3683_sg_batch,"benchmark,gpt-4o,sketch_generator",6928,3090,0.017320000000000002,0.0309,2024-11-14 14:37:24.930612
6,3c_sg,3c8a2606,62.665561999999994,16706,0.0724925,error,3683_sg_batch,"benchmark,gpt-4o,sketch_generator",12609,4097,0.0315225,0.04097,2024-11-14 14:38:35.605666
7,0a_sg,0ac0c21d,79.66994999999999,15842,0.0778175,error,3683_sg_batch,"benchmark,gpt-4o,sketch_generator",10747,5095,0.026867500000000002,0.05095,2024-11-14 14:43:48.809450
8,e8_sg,e8d1ecb4,58.740213000000004,15624,0.0672825,error,3683_sg_batch,"benchmark,gpt-4o,sketch_generator",11861,3763,0.0296525,0.037630000000000004,2024-11-14 14:44:53.109807
9,5f_sg,5fe1dc2b,78.291203,14326,0.07036,error,3683_sg_batch,"benchmark,gpt-4o,sketch_generator",9720,4606,0.024300000000000002,0.046060000000000004,2024-11-14 14:50:20.460850
10,e0_sg,e0e6ec7c,66.55177599999999,16032,0.07089000000000001,error,3683_sg_batch,"benchmark,gpt-4o,sketch_generator",11924,4108,0.029810000000000003,0.04108,2024-11-14 14:51:31.106899
11,51_sg,515bd2f1,76.61203,16953,0.07999500000000001,error,3683_sg_batch,"benchmark,gpt-4o,sketch_generator",11938,5015,0.029844999999999997,0.05015,2024-11-14 14:58:36.124233
12,4e_sg,4ead2fbf,55.985569,12723,0.057645,error,3683_sg_batch,"benchmark,gpt-4o,sketch_generator",9278,3445,0.023195000000000004,0.03445,2024-11-14 15:00:38.680647
13,60_sg,60087cca,66.37736799999999,12368,0.0574925,success,3683_sg_batch,"benchmark,gpt-4o,sketch_generator",8825,3543,0.0220625,0.03543,2024-11-14 15:01:39.157744
14,bd_sg,bd915b99,174.54858800000002,16052,0.0776675,error,3683_sg_batch,"benchmark,gpt-4o,sketch_generator",11047,5005,0.0276175,0.05005,2024-11-14 15:08:56.089997
15,3b_sg,3bf02926,111.518125,16018,0.075655,success,3683_sg_batch,"benchmark,gpt-4o,sketch_generator",11270,4748,0.028175000000000002,0.04748,2024-11-14 15:10:20.637704
16,46_sg,467e0792,138.10807599999998,9991,0.0468325,success,3683_sg_batch,"benchmark,gpt-4o,sketch_generator",7077,2914,0.0176925,0.02914,2024-11-14 15:14:25.114039
17,65_sg,652a629e,168.85699599999998,16228,0.076195,error,3683_sg_batch,"benchmark,gpt-4o,sketch_generator",11478,4750,0.028695,0.0475,2024-11-14 15:23:05.965408
18,eb_sg,eb4b23b9,132.33552300000002,16569,0.0708825,error,3683_sg_batch,"benchmark,gpt-4o,sketch_generator",12641,3928,0.0316025,0.03928,2024-11-14 15:26:36.741579
19,b0_sg,b08b93c4,71.36814,12087,0.0614775,error,3683_sg_batch,"benchmark,gpt-4o,sketch_generator",7919,4168,0.0197975,0.041679999999999995,2024-11-14 15:27:07.663037
