name,latency,time,num_run,total_tokens,input_tokens,output_tokens,total_cost,input_cost,output_cost,pass,task
main,16.413455,2024-08-09 09:37:16.262064,32,3867,3137,730,0.2523750000010095,0.13070833333385617,0.12166666666715334,yes,model_convert
main,23.237622,2024-08-09 09:36:49.724087,31,7803,6748,1055,0.457000000001828,0.28116666666779133,0.17583333333403667,yes,model_convert
main,14.494572,2024-08-09 09:36:31.933674,30,3688,3020,668,0.23716666666761532,0.12583333333383667,0.11133333333377865,yes,model_convert
main,6.335037,2024-08-09 09:36:22.297360,29,582,333,249,0.0553750000002215,0.0138750000000555,0.041500000000166,yes,model_convert
main,30.663225,2024-08-09 09:35:48.351887,28,8953,7583,1370,0.5442916666688438,0.3159583333345971,0.22833333333424666,yes,model_convert
main,6.652535,2024-08-09 09:35:38.408130,27,635,333,302,0.06420833333359016,0.0138750000000555,0.050333333333534666,yes,model_convert
main,27.236349,2024-08-09 09:35:07.853541,26,3985,3160,825,0.2691666666677433,0.13166666666719332,0.13750000000055,yes,model_convert
main,11.76514,2024-08-09 09:34:52.781959,25,628,333,295,0.06304166666691882,0.0138750000000555,0.049166666666863326,yes,model_convert
main,12.686704,2024-08-09 09:34:36.752527,24,3474,2911,563,0.2151250000008605,0.12129166666715184,0.09383333333370868,yes,model_convert
main,39.440505,2024-08-09 09:33:53.895646,23,10176,8712,1464,0.6070000000024279,0.363000000001452,0.24400000000097596,yes,model_convert
main,6.680442,2024-08-09 09:33:43.833834,22,587,333,254,0.056208333333558166,0.0138750000000555,0.042333333333502664,yes,model_convert
main,8.545855,2024-08-09 09:33:31.933042,21,664,333,331,0.06904166666694282,0.0138750000000555,0.055166666666887326,yes,model_convert
main,48.329224,2024-08-09 09:32:40.290765,20,16224,13790,2434,0.980250000003921,0.5745833333356316,0.40566666666828927,no,model_convert
main,14.294794,2024-08-09 09:32:22.608494,19,3858,3133,725,0.2513750000010055,0.13054166666718883,0.12083333333381667,yes,model_convert
main,34.421821,2024-08-09 09:31:44.770365,18,11167,9654,1513,0.6544166666692843,0.40225000000160893,0.2521666666676753,yes,model_convert
main,18.862726,2024-08-09 09:31:22.524403,17,5503,4552,951,0.3481666666680593,0.18966666666742532,0.15850000000063397,yes,model_convert
main,18.279627,2024-08-09 09:31:00.769624,16,4227,3238,989,0.29975000000119895,0.13491666666720634,0.16483333333399267,yes,model_convert
main,14.993355,2024-08-09 09:30:42.464175,15,3771,3084,687,0.243000000000972,0.12850000000051398,0.11450000000045799,yes,model_convert
main,7.325103,2024-08-09 09:30:31.790352,14,627,333,294,0.0628750000002515,0.0138750000000555,0.049000000000196,yes,model_convert
main,27.029758,2024-08-09 09:30:01.395712,13,7671,6686,985,0.44275000000177095,0.2785833333344476,0.16416666666732332,yes,model_convert
main,17.705432,2024-08-09 09:29:40.304049,12,3709,3056,653,0.2361666666676113,0.12733333333384264,0.10883333333376866,yes,model_convert
main,27.668333,2024-08-09 09:29:09.294417,11,8866,7770,1096,0.5064166666686923,0.323750000001295,0.18266666666739734,yes,model_convert
main,8.071867,2024-08-09 09:28:51.805537,8,615,333,282,0.0608750000002435,0.0138750000000555,0.04700000000018799,yes,model_convert
main,44.829381,2024-08-09 09:28:03.643109,7,17020,14927,2093,0.9707916666705497,0.6219583333358211,0.34883333333472866,no,model_convert
main,14.573302,2024-08-09 09:27:45.701476,6,3648,3031,617,0.22912500000091648,0.12629166666717184,0.10283333333374467,yes,model_convert
main,8.277381,2024-08-09 09:27:34.055939,5,611,333,278,0.060208333333574164,0.0138750000000555,0.04633333333351866,yes,model_convert
main,12.06088,2024-08-09 09:27:18.694552,4,613,333,280,0.06054166666690883,0.0138750000000555,0.046666666666853325,yes,model_convert
main,6.890946,2024-08-09 09:27:08.476337,3,604,333,271,0.059041666666902824,0.0138750000000555,0.04516666666684733,yes,model_convert
main,16.410399,2024-08-09 09:26:48.710086,2,3641,2985,656,0.23370833333426816,0.12437500000049749,0.10933333333377067,yes,model_convert
main,14.549256,2024-08-09 09:26:30.749438,1,3611,2989,622,0.22820833333424614,0.12454166666716482,0.10366666666708134,yes,model_convert
