num_run,name,trace_id,latency,total_tokens,total_cost,status,batch_id,tags,prompt_tokens,completion_tokens,prompt_cost,completion_cost
0,d3_dp,d3fcb51a,48.27920368225097,12095,0.09027500000000001,success,2117_batch,"benchmark,data_processor,gpt-4o",9115,2980,0.045575,0.044700000000000004
1,b3_dp,b378e170,44.26379259234619,9866,0.07665999999999999,success,2117_batch,"benchmark,data_processor,gpt-4o",7133,2733,0.035665,0.040995
2,5a_dp,5a473f8e,38.004623788665775,11106,0.07957,success,2117_batch,"benchmark,data_processor,gpt-4o",8702,2404,0.04351,0.03606
3,db_dp,db4ece9f,57.39259021554565,16783,0.11922500000000001,error,2117_batch,"benchmark,data_processor,gpt-4o",13252,3531,0.06626,0.052965000000000005
4,95_dp,95b97723,34.23037281729126,9434,0.07163,success,2117_batch,"benchmark,data_processor,gpt-4o",6988,2446,0.03493999999999999,0.03669
5,64_dp,64f03fe2,37.28404789752197,9135,0.067925,success,2117_batch,"benchmark,data_processor,gpt-4o",6910,2225,0.03455,0.033375
6,5f_dp,5fb0222f,46.3824152385254,12951,0.092695,success,2117_batch,"benchmark,data_processor,gpt-4o",10157,2794,0.050785000000000004,0.04191
7,c8_dp,c8504d34,38.711491094512944,9296,0.06921,success,2117_batch,"benchmark,data_processor,gpt-4o",7023,2273,0.035115,0.034095
8,49_dp,49c2b79d,51.7234850451355,9431,0.071965,success,2117_batch,"benchmark,data_processor,gpt-4o",6950,2481,0.034749999999999996,0.037215
9,2b_dp,2bdb844a,99.73810345849608,25086,0.18677000000000002,error,2117_batch,"benchmark,data_processor,gpt-4o",18952,6134,0.09476,0.09201000000000001
10,07_dp,07529acb,38.02345526040649,10766,0.07719000000000001,success,2117_batch,"benchmark,data_processor,gpt-4o",8430,2336,0.04215,0.03504
11,0e_dp,0e3c243d,35.304368298522945,9432,0.07174,success,2117_batch,"benchmark,data_processor,gpt-4o",6974,2458,0.03487,0.03687
12,32_dp,32b428e1,40.973478656249995,9443,0.07127499999999999,success,2117_batch,"benchmark,data_processor,gpt-4o",7037,2406,0.035185,0.03609
13,cf_dp,cfeeca5e,36.72420898513794,10234,0.07179,success,2117_batch,"benchmark,data_processor,gpt-4o",8172,2062,0.04086,0.03093
14,6f_dp,6f529b61,155.92570077206423,9007,0.064915,success,2117_batch,"benchmark,data_processor,gpt-4o",7019,1988,0.035095,0.02982
15,a4_dp,a4eceee3,37.75733726904297,9293,0.068845,success,2117_batch,"benchmark,data_processor,gpt-4o",7055,2238,0.035275,0.03357
16,ac_dp,acc70e38,37.25117387164306,10907,0.077155,success,2117_batch,"benchmark,data_processor,gpt-4o",8645,2262,0.043225,0.03393
17,90_dp,90542937,33.498056226684575,8930,0.06688,success,2117_batch,"benchmark,data_processor,gpt-4o",6707,2223,0.033535,0.033345
18,7c_dp,7cf1c582,32.579207692596434,9674,0.07408000000000001,success,2117_batch,"benchmark,data_processor,gpt-4o",7103,2571,0.035515,0.038565
19,data_failure,d9f7d017,67.33163140768433,20365,0.14607499999999998,error,2117_batch,"benchmark,data_processor,gpt-4o",15940,4425,0.0797,0.066375
20,4a_dp,4a3e2008,41.06016542626953,8989,0.067275,success,2117_batch,"benchmark,data_processor,gpt-4o",6756,2233,0.033780000000000004,0.033495
21,0a_dp,0aecc406,35.685015053710934,8881,0.065335,success,2117_batch,"benchmark,data_processor,gpt-4o",6788,2093,0.03394,0.031395
22,65_dp,65f3a69c,35.35378749615479,8875,0.066105,success,2117_batch,"benchmark,data_processor,gpt-4o",6702,2173,0.033510000000000005,0.032595000000000006
23,49_dp,494251dd,52.936901937347415,8950,0.0654,success,2117_batch,"benchmark,data_processor,gpt-4o",6885,2065,0.034425,0.030975000000000003
24,1d_dp,1dd00784,40.38877197140503,8560,0.06278,success,2117_batch,"benchmark,data_processor,gpt-4o",6562,1998,0.03281,0.02997
25,95_dp,95b4a937,52.98887287814331,9187,0.068965,success,2117_batch,"benchmark,data_processor,gpt-4o",6884,2303,0.03442,0.034545
26,db_dp,dbdab234,38.724857005523674,10554,0.07382999999999999,success,2117_batch,"benchmark,data_processor,gpt-4o",8448,2106,0.04224000000000001,0.03159
27,51_dp,517e9b66,39.00023630462646,9300,0.0701,success,2117_batch,"benchmark,data_processor,gpt-4o",6940,2360,0.0347,0.0354
28,71_dp,719f4dd0,43.71643800527954,9572,0.07287,success,2117_batch,"benchmark,data_processor,gpt-4o",7071,2501,0.035355,0.037515
29,ae_dp,aec55b16,41.481400521698,8869,0.06387499999999999,success,2117_batch,"benchmark,data_processor,gpt-4o",6916,1953,0.03458000000000001,0.029294999999999998
