num_run,name,trace_id,latency,total_tokens,total_cost,status,batch_id,tags,prompt_tokens,completion_tokens,prompt_cost,completion_cost
0,0c_mc,0cda415f,20.260347023193358,9068,0.0018858,error,1128_mc_batch,"benchmark,gpt-4o-mini,model_converter",7900,1168,0.0011849999999999999,0.0007008
1,2e_mc,2e36eabc,14.01117447290039,11228,0.00220395,success,1128_mc_batch,"benchmark,gpt-4o-mini,model_converter",10073,1155,0.0015109499999999998,0.000693
2,87_mc,8772aab0,8.425782573669434,3947,0.0008193,success,1128_mc_batch,"benchmark,gpt-4o-mini,model_converter",3442,505,0.0005163,0.000303
3,ef_mc,ef88b426,6.395492321075439,2615,0.0005925,success,1128_mc_batch,"benchmark,gpt-4o-mini,model_converter",2170,445,0.0003255,0.000267
4,b4_mc,b4da759c,3.0881626898498533,519,0.00017685,success,1128_mc_batch,"benchmark,gpt-4o-mini,model_converter",299,220,4.485e-05,0.000132
5,b2_mc,b2accd73,9.053193888885499,3823,0.0007574999999999999,success,1128_mc_batch,"benchmark,gpt-4o-mini,model_converter",3414,409,0.0005121,0.0002454
6,66_mc,66ee9921,4.962651286193848,2555,0.00056685,success,1128_mc_batch,"benchmark,gpt-4o-mini,model_converter",2147,408,0.00032205,0.0002448
7,66_mc,663a6462,34.664507687683106,9487,0.0020584500000000003,error,1128_mc_batch,"benchmark,gpt-4o-mini,model_converter",8075,1412,0.0012112499999999999,0.0008472000000000001
8,36_mc,368d2a3f,8.730250643554687,3951,0.0008244000000000001,success,1128_mc_batch,"benchmark,gpt-4o-mini,model_converter",3436,515,0.0005154000000000001,0.00030900000000000003
9,b0_mc,b09483a7,12.839235083343507,6328,0.00134835,success,1128_mc_batch,"benchmark,gpt-4o-mini,model_converter",5441,887,0.00081615,0.0005322
10,c3_mc,c3d2d929,3.0206099649047853,533,0.00018525,success,1128_mc_batch,"benchmark,gpt-4o-mini,model_converter",299,234,4.485e-05,0.0001404
11,2a_mc,2aeb5359,17.931787210754393,9322,0.00199455,error,1128_mc_batch,"benchmark,gpt-4o-mini,model_converter",7997,1325,0.0011995499999999997,0.0007949999999999999
12,37_mc,376100b6,22.265292884887696,9800,0.0021963,success,1128_mc_batch,"benchmark,gpt-4o-mini,model_converter",8186,1614,0.0012279,0.0009684000000000001
13,91_mc,913c0209,18.555740223663328,9945,0.0022347,success,1128_mc_batch,"benchmark,gpt-4o-mini,model_converter",8294,1651,0.0012441,0.0009906000000000001
14,0d_mc,0d492976,4.4974993395385745,533,0.00018525,success,1128_mc_batch,"benchmark,gpt-4o-mini,model_converter",299,234,4.485e-05,0.0001404
15,09_mc,0909b7ef,18.35904758544922,12801,0.00249615,error,1128_mc_batch,"benchmark,gpt-4o-mini,model_converter",11521,1280,0.00172815,0.000768
16,fe_mc,fe030253,7.401046801849365,3926,0.0008139,success,1128_mc_batch,"benchmark,gpt-4o-mini,model_converter",3426,500,0.0005139,0.00030000000000000003
17,67_mc,6700fe59,5.960560640838622,3854,0.00078375,success,1128_mc_batch,"benchmark,gpt-4o-mini,model_converter",3397,457,0.00050955,0.0002742
18,20_mc,20e1a021,6.979644398712158,2652,0.0006048,success,1128_mc_batch,"benchmark,gpt-4o-mini,model_converter",2192,460,0.00032879999999999997,0.000276
19,98_mc,9836a0cb,23.94450998626709,9981,0.0022581,error,1128_mc_batch,"benchmark,gpt-4o-mini,model_converter",8290,1691,0.0012435,0.0010146
