num_run,name,trace_id,batch_id,latency,status,total_tokens,prompt_tokens,completion_tokens,total_cost,prompt_cost,completion_cost,tags
1,f1aa_data_processor,f1aacf28,llama3.1_d4dc_dp_batch,21.64,failure,11172,9064,2108,0,0,0,"['benchmark', 'data_processor', 'llama3.1']"
2,cc90_data_processor,cc908fd4,llama3.1_d4dc_dp_batch,43.78,success,22759,18652,4107,0,0,0,"['benchmark', 'data_processor', 'llama3.1']"
3,5823_data_processor,5823e27c,llama3.1_d4dc_dp_batch,34.49,success,15719,12388,3331,0,0,0,"['benchmark', 'data_processor', 'llama3.1']"
4,58e8_data_processor,58e89d89,llama3.1_d4dc_dp_batch,21.88,failure,11692,9602,2090,0,0,0,"['benchmark', 'data_processor', 'llama3.1']"
5,4cf6_data_processor,4cf676b8,llama3.1_d4dc_dp_batch,16.11,failure,9340,7820,1520,0,0,0,"['benchmark', 'data_processor', 'llama3.1']"
6,4ce6_data_processor,4ce6452c,llama3.1_d4dc_dp_batch,33.28,failure,14864,11631,3233,0,0,0,"['benchmark', 'data_processor', 'llama3.1']"
7,d828_data_processor,d828314b,llama3.1_d4dc_dp_batch,37.53,failure,18433,14832,3601,0,0,0,"['benchmark', 'data_processor', 'llama3.1']"
8,cfa9_data_processor,cfa96342,llama3.1_d4dc_dp_batch,36.33,failure,17408,13898,3510,0,0,0,"['benchmark', 'data_processor', 'llama3.1']"
9,e46e_data_processor,e46e8d18,llama3.1_d4dc_dp_batch,54.9,failure,26731,21441,5290,0,0,0,"['benchmark', 'data_processor', 'llama3.1']"
10,9bab_data_processor,9babd8ed,llama3.1_d4dc_dp_batch,23.94,failure,13009,10715,2294,0,0,0,"['benchmark', 'data_processor', 'llama3.1']"
11,d1ad_data_processor,d1ad6d82,llama3.1_d4dc_dp_batch,48.53,success,23517,18817,4700,0,0,0,"['benchmark', 'data_processor', 'llama3.1']"
12,d0a7_data_processor,d0a7dc2e,llama3.1_d4dc_dp_batch,11.38,failure,6540,5496,1044,0,0,0,"['benchmark', 'data_processor', 'llama3.1']"
13,330c_data_processor,330c8daf,llama3.1_d4dc_dp_batch,24.21,failure,10726,8415,2311,0,0,0,"['benchmark', 'data_processor', 'llama3.1']"
14,c05b_data_processor,c05bf030,llama3.1_d4dc_dp_batch,31.0,failure,13555,10563,2992,0,0,0,"['benchmark', 'data_processor', 'llama3.1']"
15,6580_data_processor,65804ec5,llama3.1_d4dc_dp_batch,49.89,failure,21661,16968,4693,0,0,0,"['benchmark', 'data_processor', 'llama3.1']"
16,144e_data_processor,144e6d3b,llama3.1_d4dc_dp_batch,42.59,success,20362,16240,4122,0,0,0,"['benchmark', 'data_processor', 'llama3.1']"
17,c333_data_processor,c3333c5e,llama3.1_d4dc_dp_batch,3.11,success,2076,1782,294,0,0,0,"['benchmark', 'data_processor', 'llama3.1']"
18,f9fa_data_processor,f9fa3d40,llama3.1_d4dc_dp_batch,24.68,failure,13588,11215,2373,0,0,0,"['benchmark', 'data_processor', 'llama3.1']"
19,ce07_data_processor,ce0722cd,llama3.1_d4dc_dp_batch,71.36,failure,29918,23051,6867,0,0,0,"['benchmark', 'data_processor', 'llama3.1']"
20,a49e_data_processor,a49e3a30,llama3.1_d4dc_dp_batch,18.34,failure,10874,9139,1735,0,0,0,"['benchmark', 'data_processor', 'llama3.1']"
21,17e8_data_processor,17e8cbca,llama3.1_d4dc_dp_batch,47.47,failure,20255,15696,4559,0,0,0,"['benchmark', 'data_processor', 'llama3.1']"
22,86b2_data_processor,86b210ed,llama3.1_d4dc_dp_batch,20.48,failure,10401,8452,1949,0,0,0,"['benchmark', 'data_processor', 'llama3.1']"
23,d388_data_processor,d3881ab6,llama3.1_d4dc_dp_batch,44.25,failure,22593,18405,4188,0,0,0,"['benchmark', 'data_processor', 'llama3.1']"
24,3fa8_data_processor,3fa8acd6,llama3.1_d4dc_dp_batch,46.8,failure,22278,17807,4471,0,0,0,"['benchmark', 'data_processor', 'llama3.1']"
25,a440_data_processor,a440c9ec,llama3.1_d4dc_dp_batch,45.31,success,21293,16910,4383,0,0,0,"['benchmark', 'data_processor', 'llama3.1']"
26,6491_data_processor,64911866,llama3.1_d4dc_dp_batch,92.65,failure,35068,26029,9039,0,0,0,"['benchmark', 'data_processor', 'llama3.1']"
27,1440_data_processor,1440b859,llama3.1_d4dc_dp_batch,38.36,failure,20050,16387,3663,0,0,0,"['benchmark', 'data_processor', 'llama3.1']"
28,9d03_data_processor,9d039f91,llama3.1_d4dc_dp_batch,18.11,failure,10456,8745,1711,0,0,0,"['benchmark', 'data_processor', 'llama3.1']"
29,e9fb_data_processor,e9fba893,llama3.1_d4dc_dp_batch,41.75,failure,19760,15778,3982,0,0,0,"['benchmark', 'data_processor', 'llama3.1']"
30,24c5_data_processor,24c52087,llama3.1_d4dc_dp_batch,19.16,failure,9976,8132,1844,0,0,0,"['benchmark', 'data_processor', 'llama3.1']"
