num_run,name,trace_id,batch_id,latency,status,total_tokens,prompt_tokens,completion_tokens,total_cost,prompt_cost,completion_cost,tags
1,2005_model_converter,20054660,qwen2.5-coder:14b_1bb2_mc_batch,34.24,failure,9488,7545,1943,0,0,0,"['benchmark', 'model_converter', 'qwen2.5-coder:14b']"
2,a475_model_converter,a475e0b8,qwen2.5-coder:14b_1bb2_mc_batch,28.26,failure,8820,7239,1581,0,0,0,"['benchmark', 'model_converter', 'qwen2.5-coder:14b']"
3,92e8_model_converter,92e8e063,qwen2.5-coder:14b_1bb2_mc_batch,8.71,success,2946,2455,491,0,0,0,"['benchmark', 'model_converter', 'qwen2.5-coder:14b']"
4,cbf4_model_converter,cbf48a24,qwen2.5-coder:14b_1bb2_mc_batch,25.61,failure,8249,6819,1430,0,0,0,"['benchmark', 'model_converter', 'qwen2.5-coder:14b']"
5,3f24_model_converter,3f24c0e4,qwen2.5-coder:14b_1bb2_mc_batch,25.49,success,7494,6056,1438,0,0,0,"['benchmark', 'model_converter', 'qwen2.5-coder:14b']"
6,90d6_model_converter,90d65079,qwen2.5-coder:14b_1bb2_mc_batch,7.23,success,2846,2455,391,0,0,0,"['benchmark', 'model_converter', 'qwen2.5-coder:14b']"
7,2918_model_converter,2918a434,qwen2.5-coder:14b_1bb2_mc_batch,27.73,success,6377,4746,1631,0,0,0,"['benchmark', 'model_converter', 'qwen2.5-coder:14b']"
8,2684_model_converter,2684775e,qwen2.5-coder:14b_1bb2_mc_batch,31.59,failure,8077,6251,1826,0,0,0,"['benchmark', 'model_converter', 'qwen2.5-coder:14b']"
9,4fa9_model_converter,4fa9be9e,qwen2.5-coder:14b_1bb2_mc_batch,31.08,failure,8093,6302,1791,0,0,0,"['benchmark', 'model_converter', 'qwen2.5-coder:14b']"
10,967c_model_converter,967c5373,qwen2.5-coder:14b_1bb2_mc_batch,27.51,success,6830,5225,1605,0,0,0,"['benchmark', 'model_converter', 'qwen2.5-coder:14b']"
11,96d8_model_converter,96d8654c,qwen2.5-coder:14b_1bb2_mc_batch,10.18,success,2534,1942,592,0,0,0,"['benchmark', 'model_converter', 'qwen2.5-coder:14b']"
12,d897_model_converter,d89776b8,qwen2.5-coder:14b_1bb2_mc_batch,36.77,success,8269,6591,1678,0,0,0,"['benchmark', 'model_converter', 'qwen2.5-coder:14b']"
13,7ecf_model_converter,7ecfc4fd,qwen2.5-coder:14b_1bb2_mc_batch,21.68,failure,7839,6635,1204,0,0,0,"['benchmark', 'model_converter', 'qwen2.5-coder:14b']"
14,6101_model_converter,610100aa,qwen2.5-coder:14b_1bb2_mc_batch,8.84,success,2948,2455,493,0,0,0,"['benchmark', 'model_converter', 'qwen2.5-coder:14b']"
15,06f4_model_converter,06f4aaa1,qwen2.5-coder:14b_1bb2_mc_batch,29.09,failure,9078,7442,1636,0,0,0,"['benchmark', 'model_converter', 'qwen2.5-coder:14b']"
16,9ebb_model_converter,9ebb52c7,qwen2.5-coder:14b_1bb2_mc_batch,33.89,failure,8503,6526,1977,0,0,0,"['benchmark', 'model_converter', 'qwen2.5-coder:14b']"
17,f12a_model_converter,f12a8549,qwen2.5-coder:14b_1bb2_mc_batch,17.21,success,4603,3620,983,0,0,0,"['benchmark', 'model_converter', 'qwen2.5-coder:14b']"
18,aef2_model_converter,aef253f3,qwen2.5-coder:14b_1bb2_mc_batch,29.53,failure,8599,6927,1672,0,0,0,"['benchmark', 'model_converter', 'qwen2.5-coder:14b']"
19,e9e1_model_converter,e9e1a476,qwen2.5-coder:14b_1bb2_mc_batch,9.09,success,2956,2455,501,0,0,0,"['benchmark', 'model_converter', 'qwen2.5-coder:14b']"
20,493a_model_converter,493a6185,qwen2.5-coder:14b_1bb2_mc_batch,11.18,success,3090,2455,635,0,0,0,"['benchmark', 'model_converter', 'qwen2.5-coder:14b']"
21,4fb7_model_converter,4fb717e0,qwen2.5-coder:14b_1bb2_mc_batch,19.78,success,3625,2455,1170,0,0,0,"['benchmark', 'model_converter', 'qwen2.5-coder:14b']"
22,5964_model_converter,59644a2a,qwen2.5-coder:14b_1bb2_mc_batch,15.02,success,4877,4038,839,0,0,0,"['benchmark', 'model_converter', 'qwen2.5-coder:14b']"
23,59e6_model_converter,59e66f30,qwen2.5-coder:14b_1bb2_mc_batch,27.56,failure,8241,6669,1572,0,0,0,"['benchmark', 'model_converter', 'qwen2.5-coder:14b']"
24,c62e_model_converter,c62e38ba,qwen2.5-coder:14b_1bb2_mc_batch,25.37,failure,5425,3823,1602,0,0,0,"['benchmark', 'model_converter', 'qwen2.5-coder:14b']"
25,329c_model_converter,329c0a80,qwen2.5-coder:14b_1bb2_mc_batch,10.68,success,2656,2025,631,0,0,0,"['benchmark', 'model_converter', 'qwen2.5-coder:14b']"
26,abb8_model_converter,abb883ad,qwen2.5-coder:14b_1bb2_mc_batch,8.29,success,2919,2455,464,0,0,0,"['benchmark', 'model_converter', 'qwen2.5-coder:14b']"
27,b42c_model_converter,b42c158a,qwen2.5-coder:14b_1bb2_mc_batch,31.79,success,8468,6645,1823,0,0,0,"['benchmark', 'model_converter', 'qwen2.5-coder:14b']"
28,9620_model_converter,9620199e,qwen2.5-coder:14b_1bb2_mc_batch,34.97,failure,8309,6251,2058,0,0,0,"['benchmark', 'model_converter', 'qwen2.5-coder:14b']"
29,e695_model_converter,e695f14d,qwen2.5-coder:14b_1bb2_mc_batch,7.94,success,2420,1959,461,0,0,0,"['benchmark', 'model_converter', 'qwen2.5-coder:14b']"
30,f056_model_converter,f05600aa,qwen2.5-coder:14b_1bb2_mc_batch,28.56,failure,8625,6998,1627,0,0,0,"['benchmark', 'model_converter', 'qwen2.5-coder:14b']"
