num_run,name,trace_id,batch_id,latency,status,total_tokens,prompt_tokens,completion_tokens,total_cost,prompt_cost,completion_cost,tags
1,f079_sketch_generator,f079943f,deepseek-r1:14b_7a02_sg_batch,449.23,failure,20040,11358,8682,0,0,0,"['benchmark', 'deepseek-r1:14b', 'sketch_generator']"
4,c97f_sketch_generator,c97f3684,deepseek-r1:14b_7a02_sg_batch,193.96,failure,21340,11315,10025,0,0,0,"['benchmark', 'deepseek-r1:14b', 'sketch_generator']"
5,a840_sketch_generator,a84003c5,deepseek-r1:14b_7a02_sg_batch,162.09,failure,19976,11278,8698,0,0,0,"['benchmark', 'deepseek-r1:14b', 'sketch_generator']"
8,a129_sketch_generator,a1295dcf,deepseek-r1:14b_7a02_sg_batch,155.2,failure,19213,11167,8046,0,0,0,"['benchmark', 'deepseek-r1:14b', 'sketch_generator']"
9,18cd_sketch_generator,18cdd73f,deepseek-r1:14b_7a02_sg_batch,194.24,failure,21011,11340,9671,0,0,0,"['benchmark', 'deepseek-r1:14b', 'sketch_generator']"
12,5265_sketch_generator,52658cb5,deepseek-r1:14b_7a02_sg_batch,175.85,failure,19979,11316,8663,0,0,0,"['benchmark', 'deepseek-r1:14b', 'sketch_generator']"
14,fda9_sketch_generator,fda90b2f,deepseek-r1:14b_7a02_sg_batch,169.31,failure,19993,11343,8650,0,0,0,"['benchmark', 'deepseek-r1:14b', 'sketch_generator']"
16,b9e7_sketch_generator,b9e7e7cc,deepseek-r1:14b_7a02_sg_batch,180.3,failure,19856,11336,8520,0,0,0,"['benchmark', 'deepseek-r1:14b', 'sketch_generator']"
17,89b7_sketch_generator,89b7bf2d,deepseek-r1:14b_7a02_sg_batch,164.99,failure,19489,11256,8233,0,0,0,"['benchmark', 'deepseek-r1:14b', 'sketch_generator']"
19,ce9f_sketch_generator,ce9fa765,deepseek-r1:14b_7a02_sg_batch,228.63,failure,22447,11314,11133,0,0,0,"['benchmark', 'deepseek-r1:14b', 'sketch_generator']"
20,f128_sketch_generator,f1280202,deepseek-r1:14b_7a02_sg_batch,145.21,failure,19143,11213,7930,0,0,0,"['benchmark', 'deepseek-r1:14b', 'sketch_generator']"
21,eb2a_sketch_generator,eb2abe43,deepseek-r1:14b_7a02_sg_batch,178.43,failure,20145,11313,8832,0,0,0,"['benchmark', 'deepseek-r1:14b', 'sketch_generator']"
22,e6a6_sketch_generator,e6a6fe45,deepseek-r1:14b_7a02_sg_batch,126.79,failure,18171,11252,6919,0,0,0,"['benchmark', 'deepseek-r1:14b', 'sketch_generator']"
26,48fb_sketch_generator,48fb57ee,deepseek-r1:14b_7a02_sg_batch,178.32,failure,20516,11329,9187,0,0,0,"['benchmark', 'deepseek-r1:14b', 'sketch_generator']"
27,68a0_sketch_generator,68a050d1,deepseek-r1:14b_7a02_sg_batch,172.97,failure,20486,11324,9162,0,0,0,"['benchmark', 'deepseek-r1:14b', 'sketch_generator']"
28,d8ac_sketch_generator,d8ac16aa,deepseek-r1:14b_7a02_sg_batch,127.48,failure,18405,11306,7099,0,0,0,"['benchmark', 'deepseek-r1:14b', 'sketch_generator']"
29,22ca_sketch_generator,22ca5456,deepseek-r1:14b_7a02_sg_batch,147.38,failure,18824,11329,7495,0,0,0,"['benchmark', 'deepseek-r1:14b', 'sketch_generator']"
33,d9a4_sketch_generator,d9a4697d,deepseek-r1:14b_7a02_sg_batch,192.0,failure,20748,11339,9409,0,0,0,"['benchmark', 'deepseek-r1:14b', 'sketch_generator']"
37,de17_sketch_generator,de17ef5a,deepseek-r1:14b_7a02_sg_batch,149.1,failure,18959,11123,7836,0,0,0,"['benchmark', 'deepseek-r1:14b', 'sketch_generator']"
38,75bd_sketch_generator,75bd098e,deepseek-r1:14b_7a02_sg_batch,184.03,failure,21105,11340,9765,0,0,0,"['benchmark', 'deepseek-r1:14b', 'sketch_generator']"
39,7024_sketch_generator,70243a2e,deepseek-r1:14b_8757_sg_batch,557.0,failure,23087,12891,10196,0,0,0,"['benchmark', 'deepseek-r1:14b', 'sketch_generator']"
40,3d7d_sketch_generator,3d7d3a2b,deepseek-r1:14b_8757_sg_batch,238.15,failure,20173,11341,8832,0,0,0,"['benchmark', 'deepseek-r1:14b', 'sketch_generator']"
41,f001_sketch_generator,f0010ac9,deepseek-r1:14b_8757_sg_batch,225.16,failure,21408,11328,10080,0,0,0,"['benchmark', 'deepseek-r1:14b', 'sketch_generator']"
42,cb40_sketch_generator,cb40e887,deepseek-r1:14b_8757_sg_batch,218.3,failure,19975,11316,8659,0,0,0,"['benchmark', 'deepseek-r1:14b', 'sketch_generator']"
