num_run,name,trace_id,batch_id,latency,status,total_tokens,prompt_tokens,completion_tokens,total_cost,prompt_cost,completion_cost,tags
1,21a7_data_processor,21a71240,da0a_dp_batch,59.2,failure,18385,14463,3922,0,0,0,"['benchmark', 'data_processor', 'phi4']"
2,0022_data_processor,00220b8a,da0a_dp_batch,64.04,failure,20112,15859,4253,0,0,0,"['benchmark', 'data_processor', 'phi4']"
3,421b_data_processor,421b575f,da0a_dp_batch,98.57,failure,28556,22110,6446,0,0,0,"['benchmark', 'data_processor', 'phi4']"
4,c865_data_processor,c86526c0,da0a_dp_batch,36.88,success,12323,9869,2454,0,0,0,"['benchmark', 'data_processor', 'phi4']"
5,60a0_data_processor,60a0aeb6,da0a_dp_batch,32.09,failure,11404,9273,2131,0,0,0,"['benchmark', 'data_processor', 'phi4']"
6,fc75_data_processor,fc751c33,da0a_dp_batch,38.45,success,14696,12163,2533,0,0,0,"['benchmark', 'data_processor', 'phi4']"
7,732d_data_processor,732d8792,da0a_dp_batch,57.61,failure,18051,14252,3799,0,0,0,"['benchmark', 'data_processor', 'phi4']"
8,d0a4_data_processor,d0a4bc0d,da0a_dp_batch,43.52,success,13817,10899,2918,0,0,0,"['benchmark', 'data_processor', 'phi4']"
9,19da_data_processor,19da2fcd,da0a_dp_batch,63.49,failure,19764,15593,4171,0,0,0,"['benchmark', 'data_processor', 'phi4']"
10,4a6d_data_processor,4a6dea11,da0a_dp_batch,59.91,failure,14841,10824,4017,0,0,0,"['benchmark', 'data_processor', 'phi4']"
11,8298_data_processor,829859d3,da0a_dp_batch,35.88,success,12917,10547,2370,0,0,0,"['benchmark', 'data_processor', 'phi4']"
12,aaf6_data_processor,aaf6fed3,da0a_dp_batch,52.98,failure,18579,15136,3443,0,0,0,"['benchmark', 'data_processor', 'phi4']"
13,f29a_data_processor,f29a4202,da0a_dp_batch,44.19,failure,12961,10022,2939,0,0,0,"['benchmark', 'data_processor', 'phi4']"
14,faf5_data_processor,faf54ebe,da0a_dp_batch,36.03,success,11485,9047,2438,0,0,0,"['benchmark', 'data_processor', 'phi4']"
15,870a_data_processor,870a2401,da0a_dp_batch,42.85,success,15071,12210,2861,0,0,0,"['benchmark', 'data_processor', 'phi4']"
16,8d3a_data_processor,8d3a6ffd,da0a_dp_batch,44.1,failure,14743,11801,2942,0,0,0,"['benchmark', 'data_processor', 'phi4']"
17,803d_data_processor,803d2635,da0a_dp_batch,34.49,success,11361,9025,2336,0,0,0,"['benchmark', 'data_processor', 'phi4']"
18,bb00_data_processor,bb0045ef,da0a_dp_batch,47.23,failure,15818,12749,3069,0,0,0,"['benchmark', 'data_processor', 'phi4']"
19,b57e_data_processor,b57ecccf,da0a_dp_batch,69.41,failure,17963,13333,4630,0,0,0,"['benchmark', 'data_processor', 'phi4']"
20,1728_data_processor,1728277d,da0a_dp_batch,34.67,success,11309,8967,2342,0,0,0,"['benchmark', 'data_processor', 'phi4']"
21,fb53_data_processor,fb5317d5,da0a_dp_batch,32.06,success,11467,9318,2149,0,0,0,"['benchmark', 'data_processor', 'phi4']"
22,30c5_data_processor,30c53cfd,da0a_dp_batch,36.49,success,12918,10479,2439,0,0,0,"['benchmark', 'data_processor', 'phi4']"
23,27bf_data_processor,27bf65de,da0a_dp_batch,63.26,success,16860,12545,4315,0,0,0,"['benchmark', 'data_processor', 'phi4']"
24,49f5_data_processor,49f5dc63,da0a_dp_batch,37.26,success,12183,9675,2508,0,0,0,"['benchmark', 'data_processor', 'phi4']"
25,ce44_data_processor,ce44a697,da0a_dp_batch,37.92,success,13179,10675,2504,0,0,0,"['benchmark', 'data_processor', 'phi4']"
26,114a_data_processor,114a3cab,da0a_dp_batch,51.57,failure,18039,14624,3415,0,0,0,"['benchmark', 'data_processor', 'phi4']"
27,fd74_data_processor,fd74d669,da0a_dp_batch,35.53,success,11413,9001,2412,0,0,0,"['benchmark', 'data_processor', 'phi4']"
28,138b_data_processor,138b5c3c,da0a_dp_batch,57.81,failure,16951,13107,3844,0,0,0,"['benchmark', 'data_processor', 'phi4']"
29,049d_data_processor,049dfc1b,da0a_dp_batch,51.39,failure,17441,14086,3355,0,0,0,"['benchmark', 'data_processor', 'phi4']"
30,1a7d_data_processor,1a7de615,da0a_dp_batch,40.12,success,12014,9280,2734,0,0,0,"['benchmark', 'data_processor', 'phi4']"
