num_run,name,trace_id,batch_id,latency,status,total_tokens,prompt_tokens,completion_tokens,total_cost,prompt_cost,completion_cost,tags
1,6b45_model_converter,6b45d579,da0a_mc_batch,41.03,success,4244,3042,1202,0,0,0,"['benchmark', 'model_converter', 'phi4']"
2,2f94_model_converter,2f9442e1,da0a_mc_batch,13.53,success,2705,1744,961,0,0,0,"['benchmark', 'model_converter', 'phi4']"
3,205b_model_converter,205b46a9,da0a_mc_batch,3.83,success,676,389,287,0,0,0,"['benchmark', 'model_converter', 'phi4']"
4,9902_model_converter,99022409,da0a_mc_batch,4.44,success,724,389,335,0,0,0,"['benchmark', 'model_converter', 'phi4']"
5,587f_model_converter,587fb2d7,da0a_mc_batch,5.18,success,784,389,395,0,0,0,"['benchmark', 'model_converter', 'phi4']"
6,d175_model_converter,d17539e7,da0a_mc_batch,4.35,success,720,389,331,0,0,0,"['benchmark', 'model_converter', 'phi4']"
7,50ad_model_converter,50ad74bd,da0a_mc_batch,4.87,success,758,389,369,0,0,0,"['benchmark', 'model_converter', 'phi4']"
8,946d_model_converter,946dadfc,da0a_mc_batch,17.78,success,4403,3185,1218,0,0,0,"['benchmark', 'model_converter', 'phi4']"
9,2274_model_converter,22746f2e,da0a_mc_batch,32.57,failure,8731,6561,2170,0,0,0,"['benchmark', 'model_converter', 'phi4']"
10,5fbd_model_converter,5fbd12ea,da0a_mc_batch,5.22,success,781,389,392,0,0,0,"['benchmark', 'model_converter', 'phi4']"
11,6e70_model_converter,6e706969,da0a_mc_batch,5.08,success,776,389,387,0,0,0,"['benchmark', 'model_converter', 'phi4']"
12,5d5c_model_converter,5d5c56ad,da0a_mc_batch,4.04,success,694,389,305,0,0,0,"['benchmark', 'model_converter', 'phi4']"
13,04a2_model_converter,04a2c735,da0a_mc_batch,4.54,success,735,389,346,0,0,0,"['benchmark', 'model_converter', 'phi4']"
14,361d_model_converter,361dd059,da0a_mc_batch,12.21,success,3262,2437,825,0,0,0,"['benchmark', 'model_converter', 'phi4']"
15,8551_model_converter,8551bdcd,da0a_mc_batch,4.7,success,733,389,344,0,0,0,"['benchmark', 'model_converter', 'phi4']"
16,cc52_model_converter,cc52a19a,da0a_mc_batch,4.3,success,716,389,327,0,0,0,"['benchmark', 'model_converter', 'phi4']"
17,207e_model_converter,207e87e3,da0a_mc_batch,18.84,success,4878,3607,1271,0,0,0,"['benchmark', 'model_converter', 'phi4']"
18,94f4_model_converter,94f4180a,da0a_mc_batch,12.59,success,3284,2437,847,0,0,0,"['benchmark', 'model_converter', 'phi4']"
19,0c13_model_converter,0c135c97,da0a_mc_batch,15.94,success,2930,1806,1124,0,0,0,"['benchmark', 'model_converter', 'phi4']"
20,e857_model_converter,e857a090,da0a_mc_batch,27.62,success,6653,4755,1898,0,0,0,"['benchmark', 'model_converter', 'phi4']"
21,a90c_model_converter,a90c2499,da0a_mc_batch,18.41,success,4788,3558,1230,0,0,0,"['benchmark', 'model_converter', 'phi4']"
22,0c57_model_converter,0c57db49,da0a_mc_batch,4.24,success,707,389,318,0,0,0,"['benchmark', 'model_converter', 'phi4']"
23,453a_model_converter,453a8ac1,da0a_mc_batch,4.22,success,710,389,321,0,0,0,"['benchmark', 'model_converter', 'phi4']"
24,fc44_model_converter,fc44f7aa,da0a_mc_batch,11.02,success,2763,1997,766,0,0,0,"['benchmark', 'model_converter', 'phi4']"
25,8525_model_converter,8525750c,da0a_mc_batch,4.36,success,717,389,328,0,0,0,"['benchmark', 'model_converter', 'phi4']"
26,dd11_model_converter,dd116c9e,da0a_mc_batch,4.79,success,754,389,365,0,0,0,"['benchmark', 'model_converter', 'phi4']"
27,f1b5_model_converter,f1b59ea3,da0a_mc_batch,4.4,success,724,389,335,0,0,0,"['benchmark', 'model_converter', 'phi4']"
28,bce2_model_converter,bce2c629,da0a_mc_batch,40.01,success,683,389,294,0,0,0,"['benchmark', 'model_converter', 'phi4']"
29,f118_model_converter,f1189779,da0a_mc_batch,3.85,success,674,389,285,0,0,0,"['benchmark', 'model_converter', 'phi4']"
30,5730_model_converter,573033a7,da0a_mc_batch,18.28,success,2789,1765,1024,0,0,0,"['benchmark', 'model_converter', 'phi4']"
