num_run,name,trace_id,batch_id,latency,status,total_tokens,prompt_tokens,completion_tokens,total_cost,prompt_cost,completion_cost,tags
31,2dda_sketch_generator,2dda8814,phi4_6fca_sg_batch,155.49,failure,17002,11076,5926,0,0,0,"['benchmark', 'phi4:latest', 'sketch_generator']"
35,58a0_sketch_generator,58a09e78,phi4_6fca_sg_batch,95.22,failure,16216,11074,5142,0,0,0,"['benchmark', 'phi4:latest', 'sketch_generator']"
37,2a9c_sketch_generator,2a9cf03e,phi4_6fca_sg_batch,89.28,failure,16656,11094,5562,0,0,0,"['benchmark', 'phi4:latest', 'sketch_generator']"
38,18ab_sketch_generator,18ab14b9,phi4_6fca_sg_batch,94.36,failure,16730,11093,5637,0,0,0,"['benchmark', 'phi4:latest', 'sketch_generator']"
32,8b09_sketch_generator,8b09f3f1,phi4_6fca_sg_batch,87.54,failure,16146,10862,5284,0,0,0,"['benchmark', 'phi4:latest', 'sketch_generator']"
34,1093_sketch_generator,10938e15,phi4_6fca_sg_batch,92.74,failure,16355,11033,5322,0,0,0,"['benchmark', 'phi4:latest', 'sketch_generator']"
15,fd52_sketch_generator,fd526246,phi4_6fca_sg_batch,94.9,failure,16627,11089,5538,0,0,0,"['benchmark', 'phi4:latest', 'sketch_generator']"
16,a7e2_sketch_generator,a7e245cc,phi4_6fca_sg_batch,86.84,failure,16502,11075,5427,0,0,0,"['benchmark', 'phi4:latest', 'sketch_generator']"
17,01c4_sketch_generator,01c47d81,phi4_6fca_sg_batch,90.21,failure,15859,10923,4936,0,0,0,"['benchmark', 'phi4:latest', 'sketch_generator']"
18,e7d1_sketch_generator,e7d17208,phi4_6fca_sg_batch,95.59,failure,16644,11075,5569,0,0,0,"['benchmark', 'phi4:latest', 'sketch_generator']"
19,a36d_sketch_generator,a36d2ec2,phi4_6fca_sg_batch,104.35,failure,16976,11125,5851,0,0,0,"['benchmark', 'phi4:latest', 'sketch_generator']"
20,7ae6_sketch_generator,7ae628ce,phi4_6fca_sg_batch,99.71,failure,16854,11073,5781,0,0,0,"['benchmark', 'phi4:latest', 'sketch_generator']"
21,f2b4_sketch_generator,f2b43e62,phi4_6fca_sg_batch,81.67,failure,15820,11213,4607,0,0,0,"['benchmark', 'phi4:latest', 'sketch_generator']"
23,bfa2_sketch_generator,bfa27927,phi4_6fca_sg_batch,87.45,failure,16288,11117,5171,0,0,0,"['benchmark', 'phi4:latest', 'sketch_generator']"
24,f735_sketch_generator,f735a55b,phi4_6fca_sg_batch,57.04,failure,14248,10638,3610,0,0,0,"['benchmark', 'phi4:latest', 'sketch_generator']"
25,a5a4_sketch_generator,a5a4f960,phi4_6fca_sg_batch,96.76,failure,16799,11077,5722,0,0,0,"['benchmark', 'phi4:latest', 'sketch_generator']"
26,1489_sketch_generator,14898877,phi4_6fca_sg_batch,96.87,failure,16352,11088,5264,0,0,0,"['benchmark', 'phi4:latest', 'sketch_generator']"
27,6cdc_sketch_generator,6cdcf3e1,phi4_6fca_sg_batch,86.26,failure,15862,11078,4784,0,0,0,"['benchmark', 'phi4:latest', 'sketch_generator']"
28,8c17_sketch_generator,8c174adb,phi4_6fca_sg_batch,95.71,failure,16680,11072,5608,0,0,0,"['benchmark', 'phi4:latest', 'sketch_generator']"
29,2b38_sketch_generator,2b38c7d1,phi4_6fca_sg_batch,91.68,failure,16625,11074,5551,0,0,0,"['benchmark', 'phi4:latest', 'sketch_generator']"
