num_run,name,trace_id,batch_id,status,latency,total_tokens,prompt_tokens,completion_tokens,total_cost,parameters,prompt_cost,completion_cost,tags
1,232f_data_processor,232f913b,codestral_87c9_dp_batch,failure,140.02,31038,24799,6239,0,N/A,0,0,"['benchmark', 'codestral:latest', 'data_processor']"
2,e60f_data_processor,e60fdf84,codestral_87c9_dp_batch,failure,127.39,30213,25115,5098,0,N/A,0,0,"['benchmark', 'codestral:latest', 'data_processor']"
3,86ad_data_processor,86ad7919,codestral_87c9_dp_batch,failure,145.08,25187,19420,5767,0,N/A,0,0,"['benchmark', 'codestral:latest', 'data_processor']"
4,f23d_data_processor,f23d3483,codestral_87c9_dp_batch,success,74.77,15691,12528,3163,0,N/A,0,0,"['benchmark', 'codestral:latest', 'data_processor']"
5,11d9_data_processor,11d98e2c,codestral_87c9_dp_batch,success,61.7,13801,11267,2534,0,N/A,0,0,"['benchmark', 'codestral:latest', 'data_processor']"
6,67fd_data_processor,67fd510b,codestral_87c9_dp_batch,failure,63.12,15278,12429,2849,0,N/A,0,0,"['benchmark', 'codestral:latest', 'data_processor']"
7,e912_data_processor,e912a2f2,codestral_87c9_dp_batch,failure,107.29,23345,18261,5084,0,N/A,0,0,"['benchmark', 'codestral:latest', 'data_processor']"
8,ec90_data_processor,ec909bb5,codestral_87c9_dp_batch,success,100.06,20732,16332,4400,0,N/A,0,0,"['benchmark', 'codestral:latest', 'data_processor']"
9,a147_data_processor,a1475703,codestral_87c9_dp_batch,success,86.2,22854,18737,4117,0,N/A,0,0,"['benchmark', 'codestral:latest', 'data_processor']"
10,c12b_data_processor,c12b2bf2,codestral_87c9_dp_batch,failure,102.44,23926,19412,4514,0,N/A,0,0,"['benchmark', 'codestral:latest', 'data_processor']"
11,c5f3_data_processor,c5f35477,codestral_87c9_dp_batch,failure,74.46,20026,16697,3329,0,N/A,0,0,"['benchmark', 'codestral:latest', 'data_processor']"
12,79c7_data_processor,79c7242c,codestral_87c9_dp_batch,failure,94.28,20561,16762,3799,0,N/A,0,0,"['benchmark', 'codestral:latest', 'data_processor']"
13,9f84_data_processor,9f840004,codestral_87c9_dp_batch,success,67.02,16432,13292,3140,0,N/A,0,0,"['benchmark', 'codestral:latest', 'data_processor']"
14,f398_data_processor,f398351b,codestral_87c9_dp_batch,failure,87.79,17254,13871,3383,0,N/A,0,0,"['benchmark', 'codestral:latest', 'data_processor']"
15,64b5_data_processor,64b59421,codestral_87c9_dp_batch,failure,104.43,26027,21627,4400,0,N/A,0,0,"['benchmark', 'codestral:latest', 'data_processor']"
16,28a5_data_processor,28a5a522,codestral_87c9_dp_batch,failure,109.57,22164,17248,4916,0,N/A,0,0,"['benchmark', 'codestral:latest', 'data_processor']"
17,cd51_data_processor,cd51bc81,codestral_87c9_dp_batch,success,143.02,31119,24704,6415,0,N/A,0,0,"['benchmark', 'codestral:latest', 'data_processor']"
18,b570_data_processor,b5702cf6,codestral_87c9_dp_batch,failure,117.64,29346,24566,4780,0,N/A,0,0,"['benchmark', 'codestral:latest', 'data_processor']"
19,c4a7_data_processor,c4a79582,codestral_87c9_dp_batch,failure,81.39,18428,15145,3283,0,N/A,0,0,"['benchmark', 'codestral:latest', 'data_processor']"
20,b3c1_data_processor,b3c1bde0,codestral_87c9_dp_batch,failure,93.42,19641,15394,4247,0,N/A,0,0,"['benchmark', 'codestral:latest', 'data_processor']"
21,09f8_data_processor,09f8db8a,codestral_87c9_dp_batch,failure,62.52,16647,13936,2711,0,N/A,0,0,"['benchmark', 'codestral:latest', 'data_processor']"
22,850a_data_processor,850a1967,codestral_87c9_dp_batch,failure,110.32,24192,19284,4908,0,N/A,0,0,"['benchmark', 'codestral:latest', 'data_processor']"
23,2506_data_processor,25063a5d,codestral_87c9_dp_batch,failure,142.49,35413,29326,6087,0,N/A,0,0,"['benchmark', 'codestral:latest', 'data_processor']"
24,628d_data_processor,628dc8ed,codestral_87c9_dp_batch,failure,90.27,22590,18273,4317,0,N/A,0,0,"['benchmark', 'codestral:latest', 'data_processor']"
25,34d3_data_processor,34d33340,codestral_87c9_dp_batch,failure,137.68,28004,22736,5268,0,N/A,0,0,"['benchmark', 'codestral:latest', 'data_processor']"
26,86d8_data_processor,86d8088f,codestral_87c9_dp_batch,failure,76.47,19031,15698,3333,0,N/A,0,0,"['benchmark', 'codestral:latest', 'data_processor']"
27,3a57_data_processor,3a5715b7,codestral_87c9_dp_batch,success,109.45,25286,20478,4808,0,N/A,0,0,"['benchmark', 'codestral:latest', 'data_processor']"
28,322e_data_processor,322e388b,codestral_87c9_dp_batch,failure,103.3,20759,15850,4909,0,N/A,0,0,"['benchmark', 'codestral:latest', 'data_processor']"
29,c1a3_data_processor,c1a3f6ca,codestral_87c9_dp_batch,success,106.67,20352,15518,4834,0,N/A,0,0,"['benchmark', 'codestral:latest', 'data_processor']"
30,30db_data_processor,30db99e5,codestral_87c9_dp_batch,failure,153.41,28177,22199,5978,0,N/A,0,0,"['benchmark', 'codestral:latest', 'data_processor']"
