num_run,name,trace_id,batch_id,status,latency,total_tokens,prompt_tokens,completion_tokens,total_cost,parameters,prompt_cost,completion_cost,tags
2,f39e_sketch_generator,f39e11e0,codestral_87c9_sg_batch,failure,101.87,18049,14011,4038,0,N/A,0,0,"['benchmark', 'codestral:latest', 'sketch_generator']"
3,e2a3_sketch_generator,e2a3f410,codestral_87c9_sg_batch,failure,92.92,18149,14011,4138,0,N/A,0,0,"['benchmark', 'codestral:latest', 'sketch_generator']"
4,db7b_sketch_generator,db7ba0c7,codestral_87c9_sg_batch,failure,120.41,19936,14011,5925,0,N/A,0,0,"['benchmark', 'codestral:latest', 'sketch_generator']"
6,751d_sketch_generator,751d75d4,codestral_87c9_sg_batch,success,70.39,12901,9719,3182,0,N/A,0,0,"['benchmark', 'codestral:latest', 'sketch_generator']"
7,8176_sketch_generator,817619cc,codestral_87c9_sg_batch,failure,79.74,17655,14011,3644,0,N/A,0,0,"['benchmark', 'codestral:latest', 'sketch_generator']"
11,635e_sketch_generator,635e484d,codestral_87c9_sg_batch,failure,112.05,19153,13986,5167,0,N/A,0,0,"['benchmark', 'codestral:latest', 'sketch_generator']"
12,f078_sketch_generator,f078a9f4,codestral_87c9_sg_batch,failure,80.51,15135,11736,3399,0,N/A,0,0,"['benchmark', 'codestral:latest', 'sketch_generator']"
14,9208_sketch_generator,9208efa5,codestral_87c9_sg_batch,failure,122.63,23470,18107,5363,0,N/A,0,0,"['benchmark', 'codestral:latest', 'sketch_generator']"
16,72fe_sketch_generator,72fe79f4,codestral_87c9_sg_batch,success,46.18,9753,7864,1889,0,N/A,0,0,"['benchmark', 'codestral:latest', 'sketch_generator']"
17,e252_sketch_generator,e252f9cd,codestral_87c9_sg_batch,failure,87.67,18097,14011,4086,0,N/A,0,0,"['benchmark', 'codestral:latest', 'sketch_generator']"
18,97fa_sketch_generator,97fa342b,codestral_87c9_sg_batch,failure,108.04,18844,13993,4851,0,N/A,0,0,"['benchmark', 'codestral:latest', 'sketch_generator']"
21,acdd_sketch_generator,acdddd12,codestral_87c9_sg_batch,failure,136.06,21675,16059,5616,0,N/A,0,0,"['benchmark', 'codestral:latest', 'sketch_generator']"
22,265d_sketch_generator,265d5d85,codestral_87c9_sg_batch,failure,84.68,17627,14011,3616,0,N/A,0,0,"['benchmark', 'codestral:latest', 'sketch_generator']"
23,f793_sketch_generator,f79334b2,codestral_87c9_sg_batch,failure,148.94,24046,18107,5939,0,N/A,0,0,"['benchmark', 'codestral:latest', 'sketch_generator']"
25,0f92_sketch_generator,0f923d27,codestral_87c9_sg_batch,failure,116.01,21439,16044,5395,0,N/A,0,0,"['benchmark', 'codestral:latest', 'sketch_generator']"
28,e809_sketch_generator,e80917e2,codestral_87c9_sg_batch,failure,108.8,18629,14004,4625,0,N/A,0,0,"['benchmark', 'codestral:latest', 'sketch_generator']"
29,3aa6_sketch_generator,3aa6462c,codestral_87c9_sg_batch,failure,117.09,20097,15876,4221,0,N/A,0,0,"['benchmark', 'codestral:latest', 'sketch_generator']"
