num_run,name,trace_id,batch_id,status,latency,total_tokens,prompt_tokens,completion_tokens,total_cost,parameters,prompt_cost,completion_cost,tags
1,dc2a_model_converter,dc2a339e,codestral_a190_mc_batch,success,28.82,5909,4406,1503,0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'codestral:latest', 'model_converter']"
2,f305_model_converter,f3053246,codestral_a190_mc_batch,failure,31.1,8010,6442,1568,0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'codestral:latest', 'model_converter']"
3,afe1_model_converter,afe1ef28,codestral_a190_mc_batch,success,28.09,5879,4406,1473,0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'codestral:latest', 'model_converter']"
4,b3f4_model_converter,b3f4ac8b,codestral_a190_mc_batch,success,27.94,5882,4406,1476,0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'codestral:latest', 'model_converter']"
5,3f91_model_converter,3f91f25b,codestral_a190_mc_batch,success,27.73,5871,4406,1465,0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'codestral:latest', 'model_converter']"
6,d94b_model_converter,d94bbd29,codestral_a190_mc_batch,success,28.11,5890,4406,1484,0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'codestral:latest', 'model_converter']"
7,28c7_model_converter,28c7c5fa,codestral_a190_mc_batch,failure,30.31,7962,6433,1529,0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'codestral:latest', 'model_converter']"
8,ab2b_model_converter,ab2bc88f,codestral_a190_mc_batch,success,28.05,5880,4406,1474,0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'codestral:latest', 'model_converter']"
9,10da_model_converter,10da14de,codestral_a190_mc_batch,success,28.32,5902,4406,1496,0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'codestral:latest', 'model_converter']"
10,cc73_model_converter,cc734dc1,codestral_a190_mc_batch,success,27.64,5864,4406,1458,0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'codestral:latest', 'model_converter']"
11,c24f_model_converter,c24f8582,codestral_a190_mc_batch,success,27.85,5878,4406,1472,0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'codestral:latest', 'model_converter']"
12,9d69_model_converter,9d6953bd,codestral_a190_mc_batch,success,27.63,5865,4406,1459,0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'codestral:latest', 'model_converter']"
13,b8c4_model_converter,b8c4d8ea,codestral_a190_mc_batch,success,27.01,5812,4389,1423,0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'codestral:latest', 'model_converter']"
14,2911_model_converter,29110f90,codestral_a190_mc_batch,success,27.69,5864,4406,1458,0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'codestral:latest', 'model_converter']"
15,a46b_model_converter,a46b8191,codestral_a190_mc_batch,success,27.6,5864,4406,1458,0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'codestral:latest', 'model_converter']"
16,25ed_model_converter,25ed62bc,codestral_a190_mc_batch,success,28.0,5894,4416,1478,0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'codestral:latest', 'model_converter']"
