num_run,name,trace_id,batch_id,status,latency,total_tokens,prompt_tokens,completion_tokens,total_cost,parameters,prompt_cost,completion_cost,tags
1,42d6_sketch_generator,42d67a18,codestral_a190_sg_batch,success,85.38,12558,9889,2669,0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'codestral:latest', 'sketch_generator']"
2,e1d7_sketch_generator,e1d7574d,codestral_a190_sg_batch,failure,73.1,17518,14011,3507,0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'codestral:latest', 'sketch_generator']"
3,d30d_sketch_generator,d30dc3a7,codestral_a190_sg_batch,failure,73.22,17527,14011,3516,0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'codestral:latest', 'sketch_generator']"
4,9a0f_sketch_generator,9a0f7956,codestral_a190_sg_batch,failure,87.84,18329,14011,4318,0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'codestral:latest', 'sketch_generator']"
5,081f_sketch_generator,081fd0e4,codestral_a190_sg_batch,failure,99.04,22868,18080,4788,0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'codestral:latest', 'sketch_generator']"
6,0c45_sketch_generator,0c4525ea,codestral_a190_sg_batch,failure,75.93,17665,14011,3654,0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'codestral:latest', 'sketch_generator']"
7,609b_sketch_generator,609b91ba,codestral_a190_sg_batch,failure,73.13,17521,14011,3510,0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'codestral:latest', 'sketch_generator']"
8,3150_sketch_generator,3150ef6e,codestral_a190_sg_batch,failure,86.53,18255,14011,4244,0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'codestral:latest', 'sketch_generator']"
9,bf99_sketch_generator,bf99f842,codestral_a190_sg_batch,failure,82.71,18045,14011,4034,0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'codestral:latest', 'sketch_generator']"
10,a0c6_sketch_generator,a0c68fe9,codestral_a190_sg_batch,failure,92.76,18595,14011,4584,0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'codestral:latest', 'sketch_generator']"
11,c1ea_sketch_generator,c1ea1ca0,codestral_a190_sg_batch,failure,88.4,18344,14011,4333,0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'codestral:latest', 'sketch_generator']"
12,682c_sketch_generator,682c15fc,codestral_a190_sg_batch,failure,76.3,17690,14011,3679,0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'codestral:latest', 'sketch_generator']"
13,0b30_sketch_generator,0b30f556,codestral_a190_sg_batch,failure,71.97,17459,14011,3448,0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'codestral:latest', 'sketch_generator']"
14,0b1b_sketch_generator,0b1b3c6b,codestral_a190_sg_batch,failure,89.78,18439,14011,4428,0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'codestral:latest', 'sketch_generator']"
15,d960_sketch_generator,d960bce1,codestral_a190_sg_batch,failure,89.71,18427,14011,4416,0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'codestral:latest', 'sketch_generator']"
16,ca24_sketch_generator,ca249fc8,codestral_a190_sg_batch,failure,86.54,18245,14011,4234,0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'codestral:latest', 'sketch_generator']"
17,2ecb_sketch_generator,2ecb63c8,codestral_a190_sg_batch,failure,74.04,17572,14011,3561,0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'codestral:latest', 'sketch_generator']"
18,5476_sketch_generator,5476d253,codestral_a190_sg_batch,failure,73.43,17536,14011,3525,0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'codestral:latest', 'sketch_generator']"
19,06f2_sketch_generator,06f2b6e5,codestral_a190_sg_batch,failure,74.12,17579,14011,3568,0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'codestral:latest', 'sketch_generator']"
20,7e84_sketch_generator,7e84f6e2,codestral_a190_sg_batch,failure,73.83,17561,14011,3550,0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'codestral:latest', 'sketch_generator']"
21,6cc6_sketch_generator,6cc639eb,codestral_a190_sg_batch,failure,74.26,17586,14011,3575,0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'codestral:latest', 'sketch_generator']"
22,f6d9_sketch_generator,f6d9a31b,codestral_a190_sg_batch,failure,87.59,18299,14011,4288,0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'codestral:latest', 'sketch_generator']"
23,6fe1_sketch_generator,6fe15b2b,codestral_a190_sg_batch,failure,74.38,17582,14011,3571,0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'codestral:latest', 'sketch_generator']"
24,8315_sketch_generator,8315e08e,codestral_a190_sg_batch,failure,80.67,17927,14011,3916,0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'codestral:latest', 'sketch_generator']"
25,f72a_sketch_generator,f72a5281,codestral_a190_sg_batch,failure,84.62,18154,14011,4143,0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'codestral:latest', 'sketch_generator']"
26,e09b_sketch_generator,e09bc820,codestral_a190_sg_batch,failure,83.79,18107,14011,4096,0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'codestral:latest', 'sketch_generator']"
27,d2b3_sketch_generator,d2b3b9c3,codestral_a190_sg_batch,failure,74.52,17595,14011,3584,0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'codestral:latest', 'sketch_generator']"
28,5baf_sketch_generator,5baf6a74,codestral_a190_sg_batch,failure,82.27,18020,14011,4009,0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'codestral:latest', 'sketch_generator']"
29,2b14_sketch_generator,2b14ec54,codestral_a190_sg_batch,failure,73.9,17566,14011,3555,0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'codestral:latest', 'sketch_generator']"
30,8ec1_sketch_generator,8ec1a733,codestral_a190_sg_batch,failure,73.91,17565,14011,3554,0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'codestral:latest', 'sketch_generator']"
