num_run,name,trace_id,batch_id,status,latency,total_tokens,prompt_tokens,completion_tokens,total_cost,parameters,prompt_cost,completion_cost,tags
1,fba2_data_processor,fba2d7d6,codestral_b4ca_dp_batch,success,123.76,34219,28198,6021,0,N/A,0,0,"['benchmark', 'codestral:latest', 'data_processor']"
2,fd98_data_processor,fd989a6b,codestral_b4ca_dp_batch,success,56.62,14395,11498,2897,0,N/A,0,0,"['benchmark', 'codestral:latest', 'data_processor']"
3,663f_data_processor,663fa7c4,codestral_b4ca_dp_batch,failure,98.28,26272,21448,4824,0,N/A,0,0,"['benchmark', 'codestral:latest', 'data_processor']"
4,e5f6_data_processor,e5f69ca4,codestral_b4ca_dp_batch,failure,124.71,26883,20557,6326,0,N/A,0,0,"['benchmark', 'codestral:latest', 'data_processor']"
5,af40_data_processor,af40f791,codestral_b4ca_dp_batch,success,91.94,20128,15413,4715,0,N/A,0,0,"['benchmark', 'codestral:latest', 'data_processor']"
6,3d7d_data_processor,3d7d292a,codestral_b4ca_dp_batch,success,118.42,27079,21128,5951,0,N/A,0,0,"['benchmark', 'codestral:latest', 'data_processor']"
7,4e84_data_processor,4e84d5fb,codestral_b4ca_dp_batch,failure,74.16,18827,15171,3656,0,N/A,0,0,"['benchmark', 'codestral:latest', 'data_processor']"
8,e0ac_data_processor,e0acfa1a,codestral_b4ca_dp_batch,success,93.93,19921,15092,4829,0,N/A,0,0,"['benchmark', 'codestral:latest', 'data_processor']"
9,da42_data_processor,da428519,codestral_b4ca_dp_batch,failure,112.16,23777,18115,5662,0,N/A,0,0,"['benchmark', 'codestral:latest', 'data_processor']"
10,7c67_data_processor,7c67954e,codestral_b4ca_dp_batch,failure,83.26,18577,14371,4206,0,N/A,0,0,"['benchmark', 'codestral:latest', 'data_processor']"
11,1386_data_processor,1386a462,codestral_b4ca_dp_batch,failure,120.92,30982,25053,5929,0,N/A,0,0,"['benchmark', 'codestral:latest', 'data_processor']"
12,4fe3_data_processor,4fe392a1,codestral_b4ca_dp_batch,failure,27.48,8177,6823,1354,0,N/A,0,0,"['benchmark', 'codestral:latest', 'data_processor']"
13,bea2_data_processor,bea277b7,codestral_b4ca_dp_batch,success,108.33,24139,18636,5503,0,N/A,0,0,"['benchmark', 'codestral:latest', 'data_processor']"
14,c609_data_processor,c609e5aa,codestral_b4ca_dp_batch,success,108.34,25077,19627,5450,0,N/A,0,0,"['benchmark', 'codestral:latest', 'data_processor']"
15,bccb_data_processor,bccb74ab,codestral_b4ca_dp_batch,failure,122.51,32410,26428,5982,0,N/A,0,0,"['benchmark', 'codestral:latest', 'data_processor']"
16,891c_data_processor,891c1870,codestral_b4ca_dp_batch,success,80.51,20466,16429,4037,0,N/A,0,0,"['benchmark', 'codestral:latest', 'data_processor']"
17,8b71_data_processor,8b715501,codestral_b4ca_dp_batch,success,98.09,20506,15458,5048,0,N/A,0,0,"['benchmark', 'codestral:latest', 'data_processor']"
18,e610_data_processor,e6107bee,codestral_b4ca_dp_batch,failure,100.55,20140,15008,5132,0,N/A,0,0,"['benchmark', 'codestral:latest', 'data_processor']"
19,15b1_data_processor,15b13424,codestral_b4ca_dp_batch,failure,101.58,26607,21596,5011,0,N/A,0,0,"['benchmark', 'codestral:latest', 'data_processor']"
20,c9b8_data_processor,c9b8b4be,codestral_b4ca_dp_batch,failure,104.6,27663,22491,5172,0,N/A,0,0,"['benchmark', 'codestral:latest', 'data_processor']"
21,ee23_data_processor,ee23d647,codestral_b4ca_dp_batch,success,78.15,18492,14489,4003,0,N/A,0,0,"['benchmark', 'codestral:latest', 'data_processor']"
22,4fc8_data_processor,4fc806e6,codestral_b4ca_dp_batch,failure,93.44,20570,15852,4718,0,N/A,0,0,"['benchmark', 'codestral:latest', 'data_processor']"
23,f808_data_processor,f8084957,codestral_b4ca_dp_batch,failure,66.26,15021,11693,3328,0,N/A,0,0,"['benchmark', 'codestral:latest', 'data_processor']"
24,9915_data_processor,991567e9,codestral_b4ca_dp_batch,failure,98.22,28035,23287,4748,0,N/A,0,0,"['benchmark', 'codestral:latest', 'data_processor']"
25,a990_data_processor,a99011f2,codestral_b4ca_dp_batch,failure,72.0,18407,14876,3531,0,N/A,0,0,"['benchmark', 'codestral:latest', 'data_processor']"
26,469a_data_processor,469a8555,codestral_b4ca_dp_batch,failure,104.0,26707,21596,5111,0,N/A,0,0,"['benchmark', 'codestral:latest', 'data_processor']"
27,5824_data_processor,5824ace7,codestral_b4ca_dp_batch,failure,105.6,22196,16803,5393,0,N/A,0,0,"['benchmark', 'codestral:latest', 'data_processor']"
28,b16e_data_processor,b16ecfa9,codestral_b4ca_dp_batch,success,105.78,29738,24591,5147,0,N/A,0,0,"['benchmark', 'codestral:latest', 'data_processor']"
29,640e_data_processor,640ecd16,codestral_b4ca_dp_batch,failure,95.23,24499,19811,4688,0,N/A,0,0,"['benchmark', 'codestral:latest', 'data_processor']"
30,ebe3_data_processor,ebe339ef,codestral_b4ca_dp_batch,failure,118.52,27343,21302,6041,0,N/A,0,0,"['benchmark', 'codestral:latest', 'data_processor']"
