num_run,name,trace_id,batch_id,status,latency,total_tokens,prompt_tokens,completion_tokens,total_cost,parameters,generation_count,prompt_cost,completion_cost,tags,timestamp
1,2514_py_sketch_generator,25149142,qwen2.5-coder:32b_6eca_psg_batch,success,418.85,2533,1580,953,0.0,"{'temperature:0.1', 'top_p:0.3'}",1,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1747696487
2,9ca0_py_sketch_generator,9ca08c4a,qwen2.5-coder:32b_6eca_psg_batch,success,37.13,2533,1580,953,0.0,"{'temperature:0.1', 'top_p:0.3'}",1,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1747696957
3,7ba8_py_sketch_generator,7ba86c30,qwen2.5-coder:32b_6eca_psg_batch,success,30.53,2515,1580,935,0.0,"{'temperature:0.1', 'top_p:0.3'}",1,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1747697043
4,224f_py_sketch_generator,224f543b,qwen2.5-coder:32b_6eca_psg_batch,success,30.41,2512,1580,932,0.0,"{'temperature:0.1', 'top_p:0.3'}",1,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1747697123
5,8631_py_sketch_generator,86311f26,qwen2.5-coder:32b_6eca_psg_batch,success,26.82,2515,1580,935,0.0,"{'temperature:0.1', 'top_p:0.3'}",1,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1747697202
6,6c84_py_sketch_generator,6c8474cb,qwen2.5-coder:32b_6eca_psg_batch,success,26.36,2503,1580,923,0.0,"{'temperature:0.1', 'top_p:0.3'}",1,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1747697279
7,b2cc_py_sketch_generator,b2cc4032,qwen2.5-coder:32b_6eca_psg_batch,success,26.66,2515,1580,935,0.0,"{'temperature:0.1', 'top_p:0.3'}",1,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1747697354
8,09f8_py_sketch_generator,09f8c9a2,qwen2.5-coder:32b_6eca_psg_batch,success,26.4,2503,1580,923,0.0,"{'temperature:0.1', 'top_p:0.3'}",1,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1747697430
9,c283_py_sketch_generator,c283e110,qwen2.5-coder:32b_6eca_psg_batch,success,26.38,2503,1580,923,0.0,"{'temperature:0.1', 'top_p:0.3'}",1,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1747697506
10,5429_py_sketch_generator,54299392,qwen2.5-coder:32b_6eca_psg_batch,success,26.68,2515,1580,935,0.0,"{'temperature:0.1', 'top_p:0.3'}",1,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1747697581
11,1846_py_sketch_generator,1846299b,qwen2.5-coder:32b_6eca_psg_batch,success,26.79,2515,1580,935,0.0,"{'temperature:0.1', 'top_p:0.3'}",1,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1747697658
12,b3de_py_sketch_generator,b3dee6db,qwen2.5-coder:32b_6eca_psg_batch,success,36.84,2533,1580,953,0.0,"{'temperature:0.1', 'top_p:0.3'}",1,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1747697734
13,af9a_py_sketch_generator,af9a40c6,qwen2.5-coder:32b_6eca_psg_batch,success,26.8,2515,1580,935,0.0,"{'temperature:0.1', 'top_p:0.3'}",1,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1747697821
14,64fa_py_sketch_generator,64faa38f,qwen2.5-coder:32b_6eca_psg_batch,success,27.04,2515,1580,935,0.0,"{'temperature:0.1', 'top_p:0.3'}",1,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1747697897
15,d062_py_sketch_generator,d0624c41,qwen2.5-coder:32b_6eca_psg_batch,success,29.23,2503,1580,923,0.0,"{'temperature:0.1', 'top_p:0.3'}",1,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1747697975
16,c2ea_py_sketch_generator,c2eab9c7,qwen2.5-coder:32b_6eca_psg_batch,success,26.81,2515,1580,935,0.0,"{'temperature:0.1', 'top_p:0.3'}",1,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1747698054
17,60a1_py_sketch_generator,60a1de7d,qwen2.5-coder:32b_6eca_psg_batch,success,26.79,2515,1580,935,0.0,"{'temperature:0.1', 'top_p:0.3'}",1,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1747698130
18,cb6c_py_sketch_generator,cb6c242e,qwen2.5-coder:32b_6eca_psg_batch,success,26.69,2515,1580,935,0.0,"{'temperature:0.1', 'top_p:0.3'}",1,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1747698207
19,7c8c_py_sketch_generator,7c8ce682,qwen2.5-coder:32b_6eca_psg_batch,success,26.8,2515,1580,935,0.0,"{'temperature:0.1', 'top_p:0.3'}",1,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1747698283
20,7f19_py_sketch_generator,7f199541,qwen2.5-coder:32b_6eca_psg_batch,success,27.18,2533,1580,953,0.0,"{'temperature:0.1', 'top_p:0.3'}",1,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1747698360
