num_run,name,trace_id,batch_id,status,latency,total_tokens,prompt_tokens,completion_tokens,total_cost,parameters,generation_count,prompt_cost,completion_cost,tags,timestamp
1,75ee_py_sketch_generator,75eef14c,qwen2.5-coder:32b_aabd_psg_batch,failure,208.11,13976,9727,4249,0.0,N/A,5,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1747222581
2,ff1f_py_sketch_generator,ff1f1df5,qwen2.5-coder:32b_aabd_psg_batch,success,119.33,8460,5631,2829,0.0,N/A,3,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1747222796
3,ff81_py_sketch_generator,ff81d0e1,qwen2.5-coder:32b_aabd_psg_batch,success,70.81,5244,3583,1661,0.0,N/A,2,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1747222965
4,68c8_py_sketch_generator,68c86b6e,qwen2.5-coder:32b_aabd_psg_batch,success,33.25,2350,1580,770,0.0,N/A,1,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1747223091
5,8d20_py_sketch_generator,8d20a149,qwen2.5-coder:32b_aabd_psg_batch,success,33.32,2381,1580,801,0.0,N/A,1,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1747223175
6,b1cb_py_sketch_generator,b1cbea08,qwen2.5-coder:32b_aabd_psg_batch,success,36.83,2441,1580,861,0.0,N/A,1,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1747223259
7,dba7_py_sketch_generator,dba737ec,qwen2.5-coder:32b_aabd_psg_batch,failure,190.82,14242,9772,4470,0.0,N/A,5,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1747223345
8,7e3a_py_sketch_generator,7e3a12db,qwen2.5-coder:32b_aabd_psg_batch,success,39.55,2513,1580,933,0.0,N/A,1,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1747223544
9,7c1c_py_sketch_generator,7c1c710d,qwen2.5-coder:32b_aabd_psg_batch,success,31.89,2324,1580,744,0.0,N/A,1,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1747223633
10,2f55_py_sketch_generator,2f55f01f,qwen2.5-coder:32b_aabd_psg_batch,success,31.53,2313,1580,733,0.0,N/A,1,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1747223716
11,0b63_py_sketch_generator,0b636edf,qwen2.5-coder:32b_aabd_psg_batch,success,38.73,2494,1580,914,0.0,N/A,1,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1747223800
12,605c_py_sketch_generator,605ca03d,qwen2.5-coder:32b_aabd_psg_batch,success,36.84,2448,1580,868,0.0,N/A,1,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1747223889
13,5e44_py_sketch_generator,5e44fa85,qwen2.5-coder:32b_aabd_psg_batch,success,35.51,2415,1580,835,0.0,N/A,1,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1747223977
14,4841_py_sketch_generator,48415a2b,qwen2.5-coder:32b_aabd_psg_batch,success,40.91,2544,1580,964,0.0,N/A,1,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1747224063
15,5730_py_sketch_generator,5730ee86,qwen2.5-coder:32b_aabd_psg_batch,failure,198.62,14434,9772,4662,0.0,N/A,5,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1747224157
16,8510_py_sketch_generator,85109012,qwen2.5-coder:32b_aabd_psg_batch,success,31.81,2320,1580,740,0.0,N/A,1,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1747224364
17,fb9e_py_sketch_generator,fb9ec555,qwen2.5-coder:32b_aabd_psg_batch,failure,208.93,14681,9772,4909,0.0,N/A,5,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1747224445
18,583b_py_sketch_generator,583bdb61,qwen2.5-coder:32b_aabd_psg_batch,success,33.46,2363,1580,783,0.0,N/A,1,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1747224661
19,522d_py_sketch_generator,522da58b,qwen2.5-coder:32b_aabd_psg_batch,failure,215.41,14860,9772,5088,0.0,N/A,5,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1747224745
20,6c2a_py_sketch_generator,6c2a84b2,qwen2.5-coder:32b_aabd_psg_batch,failure,200.51,14472,9772,4700,0.0,N/A,5,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1747224969
21,1eaa_py_sketch_generator,1eaaf086,qwen2.5-coder:32b_aabd_psg_batch,success,31.42,2312,1580,732,0.0,N/A,1,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1747225176
22,c5e4_py_sketch_generator,c5e42aa1,qwen2.5-coder:32b_aabd_psg_batch,success,34.0,2365,1580,785,0.0,N/A,1,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1747225258
23,8dc1_py_sketch_generator,8dc108f5,qwen2.5-coder:32b_aabd_psg_batch,success,30.7,2293,1580,713,0.0,N/A,1,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1747225342
24,1236_py_sketch_generator,1236ce41,qwen2.5-coder:32b_aabd_psg_batch,success,34.76,2398,1580,818,0.0,N/A,1,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1747225423
25,cca9_py_sketch_generator,cca9d576,qwen2.5-coder:32b_aabd_psg_batch,success,32.88,2348,1580,768,0.0,N/A,1,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1747225508
26,a247_py_sketch_generator,a2470017,qwen2.5-coder:32b_aabd_psg_batch,success,30.74,2291,1580,711,0.0,N/A,1,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1747225591
27,c069_py_sketch_generator,c069c654,qwen2.5-coder:32b_aabd_psg_batch,success,32.91,2348,1580,768,0.0,N/A,1,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1747225673
28,9b8b_py_sketch_generator,9b8b41ee,qwen2.5-coder:32b_aabd_psg_batch,failure,203.22,14544,9772,4772,0.0,N/A,5,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1747225756
29,75bb_py_sketch_generator,75bb75f1,qwen2.5-coder:32b_aabd_psg_batch,success,36.83,2432,1580,852,0.0,N/A,1,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1747225967
30,21d7_py_sketch_generator,21d7a942,qwen2.5-coder:32b_aabd_psg_batch,failure,206.6,14629,9772,4857,0.0,N/A,5,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1747226053
