num_run,name,trace_id,batch_id,status,latency,total_tokens,prompt_tokens,completion_tokens,total_cost,parameters,prompt_cost,completion_cost,tags,timestamp
1,aa29_py_sketch_generator,aa29da09,codestral_4b06_psg_batch,failure,95.37,13836,10014,3822,0.0,"{'top_p:0.3', 'temperature:0.1'}",0,0,"['benchmark', 'codestral:latest', 'py_sketch_generator']",1747781763
2,20eb_py_sketch_generator,20ebeff3,codestral_4b06_psg_batch,failure,64.49,13210,10014,3196,0.0,"{'top_p:0.3', 'temperature:0.1'}",0,0,"['benchmark', 'codestral:latest', 'py_sketch_generator']",1747781866
3,c070_py_sketch_generator,c0709a6b,codestral_4b06_psg_batch,failure,77.1,13914,10014,3900,0.0,"{'top_p:0.3', 'temperature:0.1'}",0,0,"['benchmark', 'codestral:latest', 'py_sketch_generator']",1747781937
4,6e0e_py_sketch_generator,6e0eca63,codestral_4b06_psg_batch,failure,74.05,13747,10014,3733,0.0,"{'top_p:0.3', 'temperature:0.1'}",0,0,"['benchmark', 'codestral:latest', 'py_sketch_generator']",1747782022
5,95cc_py_sketch_generator,95cce868,codestral_4b06_psg_batch,failure,68.19,13391,10014,3377,0.0,"{'top_p:0.3', 'temperature:0.1'}",0,0,"['benchmark', 'codestral:latest', 'py_sketch_generator']",1747782103
6,6f24_py_sketch_generator,6f24f08c,codestral_4b06_psg_batch,failure,76.17,13860,10014,3846,0.0,"{'top_p:0.3', 'temperature:0.1'}",0,0,"['benchmark', 'codestral:latest', 'py_sketch_generator']",1747782179
7,3299_py_sketch_generator,329996fc,codestral_4b06_psg_batch,failure,75.59,13831,10014,3817,0.0,"{'top_p:0.3', 'temperature:0.1'}",0,0,"['benchmark', 'codestral:latest', 'py_sketch_generator']",1747782262
8,1941_py_sketch_generator,19410379,codestral_4b06_psg_batch,failure,77.27,13924,10014,3910,0.0,"{'top_p:0.3', 'temperature:0.1'}",0,0,"['benchmark', 'codestral:latest', 'py_sketch_generator']",1747782345
9,a55e_py_sketch_generator,a55eebdb,codestral_4b06_psg_batch,failure,81.33,14149,10014,4135,0.0,"{'top_p:0.3', 'temperature:0.1'}",0,0,"['benchmark', 'codestral:latest', 'py_sketch_generator']",1747782433
10,0249_py_sketch_generator,0249b8fc,codestral_4b06_psg_batch,failure,76.42,13878,10014,3864,0.0,"{'top_p:0.3', 'temperature:0.1'}",0,0,"['benchmark', 'codestral:latest', 'py_sketch_generator']",1747782521
11,6d4d_py_sketch_generator,6d4d87e4,codestral_4b06_psg_batch,failure,82.47,14205,10014,4191,0.0,"{'top_p:0.3', 'temperature:0.1'}",0,0,"['benchmark', 'codestral:latest', 'py_sketch_generator']",1747782605
12,7683_py_sketch_generator,7683c488,codestral_4b06_psg_batch,failure,84.2,14289,10014,4275,0.0,"{'top_p:0.3', 'temperature:0.1'}",0,0,"['benchmark', 'codestral:latest', 'py_sketch_generator']",1747782695
13,fc52_py_sketch_generator,fc5245fc,codestral_4b06_psg_batch,failure,76.18,13845,10014,3831,0.0,"{'top_p:0.3', 'temperature:0.1'}",0,0,"['benchmark', 'codestral:latest', 'py_sketch_generator']",1747782787
14,252e_py_sketch_generator,252ee339,codestral_4b06_psg_batch,failure,60.69,13007,10014,2993,0.0,"{'top_p:0.3', 'temperature:0.1'}",0,0,"['benchmark', 'codestral:latest', 'py_sketch_generator']",1747782871
15,ae0f_py_sketch_generator,ae0f80cc,codestral_4b06_psg_batch,failure,76.42,13874,10014,3860,0.0,"{'top_p:0.3', 'temperature:0.1'}",0,0,"['benchmark', 'codestral:latest', 'py_sketch_generator']",1747782938
16,3fac_py_sketch_generator,3fac76b9,codestral_4b06_psg_batch,failure,78.99,14018,10014,4004,0.0,"{'top_p:0.3', 'temperature:0.1'}",0,0,"['benchmark', 'codestral:latest', 'py_sketch_generator']",1747783022
17,b41f_py_sketch_generator,b41f5fc6,codestral_4b06_psg_batch,failure,74.48,13772,10014,3758,0.0,"{'top_p:0.3', 'temperature:0.1'}",0,0,"['benchmark', 'codestral:latest', 'py_sketch_generator']",1747783109
18,6298_py_sketch_generator,62985924,codestral_4b06_psg_batch,failure,71.25,13588,10014,3574,0.0,"{'top_p:0.3', 'temperature:0.1'}",0,0,"['benchmark', 'codestral:latest', 'py_sketch_generator']",1747783190
19,80e7_py_sketch_generator,80e7ea75,codestral_4b06_psg_batch,failure,82.47,14212,10014,4198,0.0,"{'top_p:0.3', 'temperature:0.1'}",0,0,"['benchmark', 'codestral:latest', 'py_sketch_generator']",1747783269
20,2493_py_sketch_generator,2493ef24,codestral_4b06_psg_batch,failure,79.52,14048,10014,4034,0.0,"{'top_p:0.3', 'temperature:0.1'}",0,0,"['benchmark', 'codestral:latest', 'py_sketch_generator']",1747783359
21,de89_py_sketch_generator,de89a3fe,codestral_4b06_psg_batch,failure,78.31,13982,10014,3968,0.0,"{'top_p:0.3', 'temperature:0.1'}",0,0,"['benchmark', 'codestral:latest', 'py_sketch_generator']",1747783446
22,269a_py_sketch_generator,269ae8ea,codestral_4b06_psg_batch,failure,71.38,13583,10014,3569,0.0,"{'top_p:0.3', 'temperature:0.1'}",0,0,"['benchmark', 'codestral:latest', 'py_sketch_generator']",1747783532
23,fec1_py_sketch_generator,fec19047,codestral_4b06_psg_batch,failure,86.04,14401,10014,4387,0.0,"{'top_p:0.3', 'temperature:0.1'}",0,0,"['benchmark', 'codestral:latest', 'py_sketch_generator']",1747783610
24,71fd_py_sketch_generator,71fd42f3,codestral_4b06_psg_batch,failure,71.75,13575,10014,3561,0.0,"{'top_p:0.3', 'temperature:0.1'}",0,0,"['benchmark', 'codestral:latest', 'py_sketch_generator']",1747783704
25,5d97_py_sketch_generator,5d97c561,codestral_4b06_psg_batch,failure,63.38,13142,10014,3128,0.0,"{'top_p:0.3', 'temperature:0.1'}",0,0,"['benchmark', 'codestral:latest', 'py_sketch_generator']",1747783784
26,1e41_py_sketch_generator,1e41a5b3,codestral_4b06_psg_batch,failure,78.44,13983,10014,3969,0.0,"{'top_p:0.3', 'temperature:0.1'}",0,0,"['benchmark', 'codestral:latest', 'py_sketch_generator']",1747783855
27,b3b2_py_sketch_generator,b3b2618c,codestral_4b06_psg_batch,failure,91.44,14707,10014,4693,0.0,"{'top_p:0.3', 'temperature:0.1'}",0,0,"['benchmark', 'codestral:latest', 'py_sketch_generator']",1747783940
28,7e49_py_sketch_generator,7e49b174,codestral_4b06_psg_batch,failure,73.48,13715,10014,3701,0.0,"{'top_p:0.3', 'temperature:0.1'}",0,0,"['benchmark', 'codestral:latest', 'py_sketch_generator']",1747784039
29,ba41_py_sketch_generator,ba41aae8,codestral_4b06_psg_batch,failure,83.87,14132,10014,4118,0.0,"{'top_p:0.3', 'temperature:0.1'}",0,0,"['benchmark', 'codestral:latest', 'py_sketch_generator']",1747784123
30,15f3_py_sketch_generator,15f30ba8,codestral_4b06_psg_batch,failure,75.38,13783,10014,3769,0.0,"{'top_p:0.3', 'temperature:0.1'}",0,0,"['benchmark', 'codestral:latest', 'py_sketch_generator']",1747784214
