num_run,name,trace_id,batch_id,status,latency,total_tokens,prompt_tokens,completion_tokens,total_cost,parameters,generation_count,prompt_cost,completion_cost,tags,timestamp
1,208e_py_sketch_generator,208e7ef4,qwen2.5-coder:14b_85a9_psg_batch,failure,67.89,12506,9810,2696,0.0,N/A,5,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:14b']",1753890470
2,6725_py_sketch_generator,6725cd88,qwen2.5-coder:14b_85a9_psg_batch,failure,73.14,12753,9810,2943,0.0,N/A,5,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:14b']",1753890548
3,8a31_py_sketch_generator,8a31e009,qwen2.5-coder:14b_85a9_psg_batch,success,15.15,2235,1618,617,0.0,N/A,1,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:14b']",1753890629
4,19d9_py_sketch_generator,19d977d5,qwen2.5-coder:14b_85a9_psg_batch,success,40.08,7315,5714,1601,0.0,N/A,3,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:14b']",1753890681
5,34b5_py_sketch_generator,34b51525,qwen2.5-coder:14b_85a9_psg_batch,failure,66.19,12436,9810,2626,0.0,N/A,5,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:14b']",1753890733
6,ccb9_py_sketch_generator,ccb99b81,qwen2.5-coder:14b_85a9_psg_batch,failure,72.9,12752,9810,2942,0.0,N/A,5,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:14b']",1753890809
7,781e_py_sketch_generator,781e2b13,qwen2.5-coder:14b_85a9_psg_batch,success,60.43,12197,9810,2387,0.0,N/A,5,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:14b']",1753890890
8,4e52_py_sketch_generator,4e520e59,qwen2.5-coder:14b_85a9_psg_batch,failure,69.0,12546,9810,2736,0.0,N/A,5,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:14b']",1753890963
9,41d5_py_sketch_generator,41d573c4,qwen2.5-coder:14b_85a9_psg_batch,failure,62.32,12236,9810,2426,0.0,N/A,5,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:14b']",1753891040
10,6cc9_py_sketch_generator,6cc91b6a,qwen2.5-coder:14b_85a9_psg_batch,success,16.84,2309,1618,691,0.0,N/A,1,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:14b']",1753891109
11,2e07_py_sketch_generator,2e0775e0,qwen2.5-coder:14b_85a9_psg_batch,failure,57.01,12038,9810,2228,0.0,N/A,5,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:14b']",1753891164
12,32f7_py_sketch_generator,32f74972,qwen2.5-coder:14b_85a9_psg_batch,failure,67.31,12483,9810,2673,0.0,N/A,5,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:14b']",1753891228
13,2df7_py_sketch_generator,2df76500,qwen2.5-coder:14b_85a9_psg_batch,failure,60.77,12190,9810,2380,0.0,N/A,5,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:14b']",1753891303
14,8c9c_py_sketch_generator,8c9c54a3,qwen2.5-coder:14b_85a9_psg_batch,failure,71.33,12668,9810,2858,0.0,N/A,5,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:14b']",1753891371
15,223a_py_sketch_generator,223a2db3,qwen2.5-coder:14b_85a9_psg_batch,failure,62.64,12283,9810,2473,0.0,N/A,5,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:14b']",1753891449
16,6d09_py_sketch_generator,6d09a433,qwen2.5-coder:14b_85a9_psg_batch,success,16.37,2289,1618,671,0.0,N/A,1,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:14b']",1753891520
17,722d_py_sketch_generator,722dea9d,qwen2.5-coder:14b_85a9_psg_batch,success,41.47,7375,5714,1661,0.0,N/A,3,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:14b']",1753891573
18,65e7_py_sketch_generator,65e7f629,qwen2.5-coder:14b_85a9_psg_batch,failure,71.11,12652,9810,2842,0.0,N/A,5,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:14b']",1753891653
19,9675_py_sketch_generator,96758c01,qwen2.5-coder:14b_85a9_psg_batch,failure,74.49,12812,9810,3002,0.0,N/A,5,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:14b']",1753891734
20,4b0c_py_sketch_generator,4b0c8945,qwen2.5-coder:14b_85a9_psg_batch,failure,56.64,12003,9810,2193,0.0,N/A,5,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:14b']",1753891816
21,559e_py_sketch_generator,559eefeb,qwen2.5-coder:14b_85a9_psg_batch,failure,67.87,12507,9810,2697,0.0,N/A,5,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:14b']",1753891882
22,65da_py_sketch_generator,65dac66e,qwen2.5-coder:14b_85a9_psg_batch,failure,66.75,12469,9810,2659,0.0,N/A,5,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:14b']",1753891958
23,040a_py_sketch_generator,040a68e3,qwen2.5-coder:14b_85a9_psg_batch,success,64.74,12378,9810,2568,0.0,N/A,5,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:14b']",1753892037
24,e840_py_sketch_generator,e840426a,qwen2.5-coder:14b_85a9_psg_batch,success,16.39,2281,1618,663,0.0,N/A,1,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:14b']",1753892114
25,8cbb_py_sketch_generator,8cbb6ec9,qwen2.5-coder:14b_85a9_psg_batch,failure,68.46,12534,9810,2724,0.0,N/A,5,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:14b']",1753892169
26,b229_py_sketch_generator,b229145a,qwen2.5-coder:14b_85a9_psg_batch,failure,66.6,12451,9810,2641,0.0,N/A,5,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:14b']",1753892246
27,1f72_py_sketch_generator,1f728e55,qwen2.5-coder:14b_85a9_psg_batch,failure,72.79,12725,9810,2915,0.0,N/A,5,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:14b']",1753892320
