num_run,name,trace_id,batch_id,status,latency,total_tokens,prompt_tokens,completion_tokens,total_cost,parameters,prompt_cost,completion_cost,tags,timestamp
1,c555_tpu_sketch_generator,c555c993,qwen2.5-coder:14b_85a9_tpusg_batch,failure,0.0,0,0,0,0.0,N/A,0,0,"['benchmark', 'qwen2.5-coder:14b', 'tpu_sketch_generator']",1753888391
2,975f_tpu_sketch_generator,975fa700,qwen2.5-coder:14b_85a9_tpusg_batch,failure,0.0,0,0,0,0.0,N/A,0,0,"['benchmark', 'qwen2.5-coder:14b', 'tpu_sketch_generator']",1753888415
3,f204_tpu_sketch_generator,f204a5f7,qwen2.5-coder:14b_85a9_tpusg_batch,failure,0.0,0,0,0,0.0,N/A,0,0,"['benchmark', 'qwen2.5-coder:14b', 'tpu_sketch_generator']",1753888441
4,b5c1_tpu_sketch_generator,b5c1e985,qwen2.5-coder:14b_85a9_tpusg_batch,failure,0.0,0,0,0,0.0,N/A,0,0,"['benchmark', 'qwen2.5-coder:14b', 'tpu_sketch_generator']",1753888465
5,a431_tpu_sketch_generator,a431af85,qwen2.5-coder:14b_85a9_tpusg_batch,failure,0.0,0,0,0,0.0,N/A,0,0,"['benchmark', 'qwen2.5-coder:14b', 'tpu_sketch_generator']",1753888490
6,9078_tpu_sketch_generator,9078b118,qwen2.5-coder:14b_85a9_tpusg_batch,failure,0.0,0,0,0,0.0,N/A,0,0,"['benchmark', 'qwen2.5-coder:14b', 'tpu_sketch_generator']",1753888515
7,90c3_tpu_sketch_generator,90c3e878,qwen2.5-coder:14b_85a9_tpusg_batch,failure,0.0,0,0,0,0.0,N/A,0,0,"['benchmark', 'qwen2.5-coder:14b', 'tpu_sketch_generator']",1753888540
8,36fc_tpu_sketch_generator,36fcf199,qwen2.5-coder:14b_85a9_tpusg_batch,failure,0.0,0,0,0,0.0,N/A,0,0,"['benchmark', 'qwen2.5-coder:14b', 'tpu_sketch_generator']",1753888565
9,b03f_tpu_sketch_generator,b03ff574,qwen2.5-coder:14b_85a9_tpusg_batch,failure,0.0,0,0,0,0.0,N/A,0,0,"['benchmark', 'qwen2.5-coder:14b', 'tpu_sketch_generator']",1753888591
10,05d6_tpu_sketch_generator,05d6df6e,qwen2.5-coder:14b_85a9_tpusg_batch,failure,0.0,0,0,0,0.0,N/A,0,0,"['benchmark', 'qwen2.5-coder:14b', 'tpu_sketch_generator']",1753888615
11,fb91_tpu_sketch_generator,fb91c5ed,qwen2.5-coder:14b_85a9_tpusg_batch,failure,0.0,0,0,0,0.0,N/A,0,0,"['benchmark', 'qwen2.5-coder:14b', 'tpu_sketch_generator']",1753888641
12,cef8_tpu_sketch_generator,cef87050,qwen2.5-coder:14b_85a9_tpusg_batch,failure,0.0,0,0,0,0.0,N/A,0,0,"['benchmark', 'qwen2.5-coder:14b', 'tpu_sketch_generator']",1753888665
13,44ab_tpu_sketch_generator,44abb92f,qwen2.5-coder:14b_85a9_tpusg_batch,failure,0.0,0,0,0,0.0,N/A,0,0,"['benchmark', 'qwen2.5-coder:14b', 'tpu_sketch_generator']",1753888690
14,9151_tpu_sketch_generator,91513dd5,qwen2.5-coder:14b_85a9_tpusg_batch,failure,0.0,0,0,0,0.0,N/A,0,0,"['benchmark', 'qwen2.5-coder:14b', 'tpu_sketch_generator']",1753888718
15,4ce1_tpu_sketch_generator,4ce16286,qwen2.5-coder:14b_85a9_tpusg_batch,success,92.72,8769,5929,2840,0.0,N/A,0,0,"['benchmark', 'qwen2.5-coder:14b', 'tpu_sketch_generator']",1753888750
