num_run,name,trace_id,batch_id,status,latency,total_tokens,prompt_tokens,completion_tokens,total_cost,parameters,prompt_cost,completion_cost,tags,timestamp
1,7e09_py_sketch_generator,7e09e5ca,gemma3:27b_85a9_psg_batch,success,29.43,2474,1721,753,0.0,N/A,0,0,"['benchmark', 'gemma3:27b', 'py_sketch_generator']",1753896623
2,7096_py_sketch_generator,70967abe,gemma3:27b_85a9_psg_batch,success,26.9,2402,1721,681,0.0,N/A,0,0,"['benchmark', 'gemma3:27b', 'py_sketch_generator']",1753896660
3,c7c7_py_sketch_generator,c7c7a19c,gemma3:27b_85a9_psg_batch,success,117.81,10866,7865,3001,0.0,N/A,0,0,"['benchmark', 'gemma3:27b', 'py_sketch_generator']",1753896694
4,3512_py_sketch_generator,3512ece5,gemma3:27b_85a9_psg_batch,success,58.1,5239,3769,1470,0.0,N/A,0,0,"['benchmark', 'gemma3:27b', 'py_sketch_generator']",1753896819
5,d593_py_sketch_generator,d593f7be,gemma3:27b_85a9_psg_batch,success,74.53,7663,5817,1846,0.0,N/A,0,0,"['benchmark', 'gemma3:27b', 'py_sketch_generator']",1753896884
6,6801_py_sketch_generator,680129e7,gemma3:27b_85a9_psg_batch,success,48.99,4980,3769,1211,0.0,N/A,0,0,"['benchmark', 'gemma3:27b', 'py_sketch_generator']",1753896966
7,0642_py_sketch_generator,06426652,gemma3:27b_85a9_psg_batch,success,107.26,10553,7865,2688,0.0,N/A,0,0,"['benchmark', 'gemma3:27b', 'py_sketch_generator']",1753897023
8,43f8_py_sketch_generator,43f8973c,gemma3:27b_85a9_psg_batch,success,51.91,5063,3769,1294,0.0,N/A,0,0,"['benchmark', 'gemma3:27b', 'py_sketch_generator']",1753897137
9,be09_py_sketch_generator,be0964f2,gemma3:27b_85a9_psg_batch,failure,133.95,13268,9913,3355,0.0,N/A,0,0,"['benchmark', 'gemma3:27b', 'py_sketch_generator']",1753897196
10,d64c_py_sketch_generator,d64c73a8,gemma3:27b_85a9_psg_batch,success,53.33,5108,3769,1339,0.0,N/A,0,0,"['benchmark', 'gemma3:27b', 'py_sketch_generator']",1753897338
11,601f_py_sketch_generator,601f66ef,gemma3:27b_85a9_psg_batch,failure,154.08,13823,9913,3910,0.0,N/A,0,0,"['benchmark', 'gemma3:27b', 'py_sketch_generator']",1753897398
12,b2b6_py_sketch_generator,b2b6ed9f,gemma3:27b_85a9_psg_batch,failure,138.99,13401,9913,3488,0.0,N/A,0,0,"['benchmark', 'gemma3:27b', 'py_sketch_generator']",1753897560
13,d567_py_sketch_generator,d567c385,gemma3:27b_85a9_psg_batch,failure,143.22,13522,9913,3609,0.0,N/A,0,0,"['benchmark', 'gemma3:27b', 'py_sketch_generator']",1753897706
14,6317_py_sketch_generator,63178875,gemma3:27b_85a9_psg_batch,success,30.7,2502,1721,781,0.0,N/A,0,0,"['benchmark', 'gemma3:27b', 'py_sketch_generator']",1753897857
15,c62b_py_sketch_generator,c62b818c,gemma3:27b_85a9_psg_batch,success,33.04,2567,1721,846,0.0,N/A,0,0,"['benchmark', 'gemma3:27b', 'py_sketch_generator']",1753897895
16,6b4d_py_sketch_generator,6b4d5e9d,gemma3:27b_85a9_psg_batch,success,102.87,10434,7865,2569,0.0,N/A,0,0,"['benchmark', 'gemma3:27b', 'py_sketch_generator']",1753897936
17,65e6_py_sketch_generator,65e6c10d,gemma3:27b_85a9_psg_batch,success,29.74,2473,1721,752,0.0,N/A,0,0,"['benchmark', 'gemma3:27b', 'py_sketch_generator']",1753898047
18,7402_py_sketch_generator,7402d69f,gemma3:27b_85a9_psg_batch,failure,155.17,13863,9913,3950,0.0,N/A,0,0,"['benchmark', 'gemma3:27b', 'py_sketch_generator']",1753898083
19,62e3_py_sketch_generator,62e3c7b1,gemma3:27b_85a9_psg_batch,success,74.35,7669,5817,1852,0.0,N/A,0,0,"['benchmark', 'gemma3:27b', 'py_sketch_generator']",1753898246
20,4fad_py_sketch_generator,4faddf4b,gemma3:27b_85a9_psg_batch,success,116.88,10827,7865,2962,0.0,N/A,0,0,"['benchmark', 'gemma3:27b', 'py_sketch_generator']",1753898328
21,51bc_py_sketch_generator,51bce0b7,gemma3:27b_85a9_psg_batch,success,90.73,8121,5817,2304,0.0,N/A,0,0,"['benchmark', 'gemma3:27b', 'py_sketch_generator']",1753898451
22,a5df_py_sketch_generator,a5dfc0bb,gemma3:27b_85a9_psg_batch,success,92.11,8155,5817,2338,0.0,N/A,0,0,"['benchmark', 'gemma3:27b', 'py_sketch_generator']",1753898580
23,02c6_py_sketch_generator,02c6b383,gemma3:27b_85a9_psg_batch,success,62.03,5358,3769,1589,0.0,N/A,0,0,"['benchmark', 'gemma3:27b', 'py_sketch_generator']",1753898680
24,50e5_py_sketch_generator,50e5a722,gemma3:27b_85a9_psg_batch,failure,129.44,13169,9913,3256,0.0,N/A,0,0,"['benchmark', 'gemma3:27b', 'py_sketch_generator']",1753898749
25,3ce1_py_sketch_generator,3ce1cbb5,gemma3:27b_85a9_psg_batch,success,78.83,7808,5817,1991,0.0,N/A,0,0,"['benchmark', 'gemma3:27b', 'py_sketch_generator']",1753898886
26,bb62_py_sketch_generator,bb629a0c,gemma3:27b_85a9_psg_batch,success,91.58,8163,5817,2346,0.0,N/A,0,0,"['benchmark', 'gemma3:27b', 'py_sketch_generator']",1753898973
27,45b2_py_sketch_generator,45b2415d,gemma3:27b_85a9_psg_batch,success,87.51,8026,5817,2209,0.0,N/A,0,0,"['benchmark', 'gemma3:27b', 'py_sketch_generator']",1753899072
28,6258_py_sketch_generator,625856e4,gemma3:27b_85a9_psg_batch,success,58.78,5251,3769,1482,0.0,N/A,0,0,"['benchmark', 'gemma3:27b', 'py_sketch_generator']",1753899166
29,047e_py_sketch_generator,047efb99,gemma3:27b_85a9_psg_batch,success,49.42,5001,3769,1232,0.0,N/A,0,0,"['benchmark', 'gemma3:27b', 'py_sketch_generator']",1753899232
30,e400_py_sketch_generator,e400a4dc,gemma3:27b_85a9_psg_batch,success,32.92,2565,1721,844,0.0,N/A,0,0,"['benchmark', 'gemma3:27b', 'py_sketch_generator']",1753899288
