num_run,name,trace_id,batch_id,status,latency,total_tokens,prompt_tokens,completion_tokens,total_cost,parameters,prompt_cost,completion_cost,tags,timestamp
1,8c26_tpu_sketch_generator,8c262c73,gemma3:27b_85a9_tpusg_batch,failure,0.0,0,0,0,0.0,N/A,0,0,"['benchmark', 'gemma3:27b', 'tpu_sketch_generator']",1753892636
2,1e1c_tpu_sketch_generator,1e1c0c16,gemma3:27b_85a9_tpusg_batch,failure,0.0,0,0,0,0.0,N/A,0,0,"['benchmark', 'gemma3:27b', 'tpu_sketch_generator']",1753892661
3,5c08_tpu_sketch_generator,5c08ea9c,gemma3:27b_85a9_tpusg_batch,failure,0.0,0,0,0,0.0,N/A,0,0,"['benchmark', 'gemma3:27b', 'tpu_sketch_generator']",1753892686
4,6d20_tpu_sketch_generator,6d20b6c2,gemma3:27b_85a9_tpusg_batch,failure,0.0,0,0,0,0.0,N/A,0,0,"['benchmark', 'gemma3:27b', 'tpu_sketch_generator']",1753892710
5,0fef_tpu_sketch_generator,0fefba25,gemma3:27b_85a9_tpusg_batch,failure,0.0,0,0,0,0.0,N/A,0,0,"['benchmark', 'gemma3:27b', 'tpu_sketch_generator']",1753892736
6,b3db_tpu_sketch_generator,b3dbcd53,gemma3:27b_85a9_tpusg_batch,failure,0.0,0,0,0,0.0,N/A,0,0,"['benchmark', 'gemma3:27b', 'tpu_sketch_generator']",1753892761
7,4b00_tpu_sketch_generator,4b0027db,gemma3:27b_85a9_tpusg_batch,failure,0.0,0,0,0,0.0,N/A,0,0,"['benchmark', 'gemma3:27b', 'tpu_sketch_generator']",1753892787
8,b2fe_tpu_sketch_generator,b2fe0b78,gemma3:27b_85a9_tpusg_batch,failure,0.0,0,0,0,0.0,N/A,0,0,"['benchmark', 'gemma3:27b', 'tpu_sketch_generator']",1753892812
9,3dd3_tpu_sketch_generator,3dd33b04,gemma3:27b_85a9_tpusg_batch,failure,0.0,0,0,0,0.0,N/A,0,0,"['benchmark', 'gemma3:27b', 'tpu_sketch_generator']",1753892836
10,e8af_tpu_sketch_generator,e8af9416,gemma3:27b_85a9_tpusg_batch,failure,0.0,0,0,0,0.0,N/A,0,0,"['benchmark', 'gemma3:27b', 'tpu_sketch_generator']",1753892861
11,709f_tpu_sketch_generator,709f7a09,gemma3:27b_85a9_tpusg_batch,failure,0.0,0,0,0,0.0,N/A,0,0,"['benchmark', 'gemma3:27b', 'tpu_sketch_generator']",1753892885
12,8363_tpu_sketch_generator,83639320,gemma3:27b_85a9_tpusg_batch,failure,0.0,0,0,0,0.0,N/A,0,0,"['benchmark', 'gemma3:27b', 'tpu_sketch_generator']",1753892911
13,cb65_tpu_sketch_generator,cb654918,gemma3:27b_85a9_tpusg_batch,failure,0.0,0,0,0,0.0,N/A,0,0,"['benchmark', 'gemma3:27b', 'tpu_sketch_generator']",1753892936
