num_run,name,trace_id,batch_id,status,latency,total_tokens,prompt_tokens,completion_tokens,total_cost,parameters,prompt_cost,completion_cost,tags,timestamp
1,20da_py_sketch_generator,20da49c5,qwen2.5-coder:32b_373e_psg_batch,failure,87.25,10695,7762,2933,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1754253020
2,675c_py_sketch_generator,675c8da4,qwen2.5-coder:32b_373e_psg_batch,failure,128.3,14230,9810,4420,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1754259114
3,0195_py_sketch_generator,0195c9f3,qwen2.5-coder:32b_373e_psg_batch,success,67.82,8032,5714,2318,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1754259250
4,81f7_py_sketch_generator,81f707d4,qwen2.5-coder:32b_373e_psg_batch,failure,124.4,14071,9810,4261,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1754259356
5,0eeb_py_sketch_generator,0eeb009f,qwen2.5-coder:32b_373e_psg_batch,failure,120.28,13933,9810,4123,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1754259488
6,b112_py_sketch_generator,b112eaca,qwen2.5-coder:32b_373e_psg_batch,failure,127.88,14217,9810,4407,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1754259615
7,f1f3_py_sketch_generator,f1f32326,qwen2.5-coder:32b_373e_psg_batch,failure,112.75,13653,9810,3843,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1754259752
8,1a5b_py_sketch_generator,1a5be3c4,qwen2.5-coder:32b_373e_psg_batch,success,119.33,13899,9810,4089,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1754259872
9,dc4a_py_sketch_generator,dc4aa75a,qwen2.5-coder:32b_373e_psg_batch,success,120.11,13913,9810,4103,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1754260030
10,0bdb_py_sketch_generator,0bdbe053,qwen2.5-coder:32b_373e_psg_batch,success,171.48,15826,9810,6016,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1754260188
