num_run,name,trace_id,batch_id,status,latency,total_tokens,prompt_tokens,completion_tokens,total_cost,parameters,generation_count,prompt_cost,completion_cost,tags,timestamp
1,59c6_tpu_sketch_generator,59c631ae,qwen2.5-coder:32b_373e_tpusg_batch,failure,205.07,15268,10025,5243,0.0,"{'temperature:0.1', 'top_p:0.3'}",5,0,0,"['benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1754247039
2,5692_tpu_sketch_generator,5692b90a,qwen2.5-coder:32b_373e_tpusg_batch,success,88.23,8996,5929,3067,0.0,"{'temperature:0.1', 'top_p:0.3'}",3,0,0,"['benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1754247291
3,2fb0_tpu_sketch_generator,2fb081fe,qwen2.5-coder:32b_373e_tpusg_batch,failure,154.24,15298,10025,5273,0.0,"{'temperature:0.1', 'top_p:0.3'}",5,0,0,"['benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1754247455
4,fb2a_tpu_sketch_generator,fb2aba96,qwen2.5-coder:32b_373e_tpusg_batch,failure,151.91,15297,10025,5272,0.0,"{'temperature:0.1', 'top_p:0.3'}",5,0,0,"['benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1754247657
5,aadc_tpu_sketch_generator,aadc63d1,qwen2.5-coder:32b_373e_tpusg_batch,failure,154.19,15377,10025,5352,0.0,"{'temperature:0.1', 'top_p:0.3'}",5,0,0,"['benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1754247848
6,edc2_tpu_sketch_generator,edc25797,qwen2.5-coder:32b_373e_tpusg_batch,failure,155.87,15464,10025,5439,0.0,"{'temperature:0.1', 'top_p:0.3'}",5,0,0,"['benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1754248049
7,cbf5_tpu_sketch_generator,cbf5684e,qwen2.5-coder:32b_373e_tpusg_batch,failure,152.75,15346,10025,5321,0.0,"{'temperature:0.1', 'top_p:0.3'}",5,0,0,"['benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1754248251
8,0414_tpu_sketch_generator,0414d6c1,qwen2.5-coder:32b_373e_tpusg_batch,failure,156.8,15464,10025,5439,0.0,"{'temperature:0.1', 'top_p:0.3'}",5,0,0,"['benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1754248451
9,057f_tpu_sketch_generator,057fe0b1,qwen2.5-coder:32b_373e_tpusg_batch,failure,151.6,15301,10025,5276,0.0,"{'temperature:0.1', 'top_p:0.3'}",5,0,0,"['benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1754248654
10,bc89_tpu_sketch_generator,bc8950af,qwen2.5-coder:32b_373e_tpusg_batch,failure,164.93,15787,10025,5762,0.0,"{'temperature:0.1', 'top_p:0.3'}",5,0,0,"['benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1754248852
11,deb1_tpu_sketch_generator,deb17537,qwen2.5-coder:32b_373e_tpusg_batch,success,151.76,15304,10025,5279,0.0,"{'temperature:0.1', 'top_p:0.3'}",5,0,0,"['benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1754249060
12,7f89_tpu_sketch_generator,7f895d3e,qwen2.5-coder:32b_373e_tpusg_batch,failure,150.45,15226,10025,5201,0.0,"{'temperature:0.1', 'top_p:0.3'}",5,0,0,"['benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1754249303
13,0300_tpu_sketch_generator,0300d23e,qwen2.5-coder:32b_373e_tpusg_batch,failure,152.45,15336,10025,5311,0.0,"{'temperature:0.1', 'top_p:0.3'}",5,0,0,"['benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1754249499
14,b53a_tpu_sketch_generator,b53a5967,qwen2.5-coder:32b_373e_tpusg_batch,failure,151.75,15309,10025,5284,0.0,"{'temperature:0.1', 'top_p:0.3'}",5,0,0,"['benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1754249699
15,2b2c_tpu_sketch_generator,2b2c9e0b,qwen2.5-coder:32b_373e_tpusg_batch,failure,151.08,15266,10025,5241,0.0,"{'temperature:0.1', 'top_p:0.3'}",5,0,0,"['benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1754249898
16,1957_tpu_sketch_generator,1957a8d2,qwen2.5-coder:32b_373e_tpusg_batch,success,91.17,9106,5929,3177,0.0,"{'temperature:0.1', 'top_p:0.3'}",3,0,0,"['benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1754250096
17,d427_tpu_sketch_generator,d4279457,qwen2.5-coder:32b_373e_tpusg_batch,success,87.4,8963,5929,3034,0.0,"{'temperature:0.1', 'top_p:0.3'}",3,0,0,"['benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1754250218
18,3d56_tpu_sketch_generator,3d56a955,qwen2.5-coder:32b_373e_tpusg_batch,success,90.78,9052,5929,3123,0.0,"{'temperature:0.1', 'top_p:0.3'}",3,0,0,"['benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1754250380
19,f1fd_tpu_sketch_generator,f1fd4daf,qwen2.5-coder:32b_373e_tpusg_batch,failure,148.9,15196,10025,5171,0.0,"{'temperature:0.1', 'top_p:0.3'}",5,0,0,"['benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1754250541
20,b458_tpu_sketch_generator,b458eb18,qwen2.5-coder:32b_373e_tpusg_batch,failure,150.8,15272,10025,5247,0.0,"{'temperature:0.1', 'top_p:0.3'}",5,0,0,"['benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1754250738
21,c8f4_tpu_sketch_generator,c8f4f7fe,qwen2.5-coder:32b_373e_tpusg_batch,success,152.66,15345,10025,5320,0.0,"{'temperature:0.1', 'top_p:0.3'}",5,0,0,"['benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1754250935
22,5f1f_tpu_sketch_generator,5f1f0f5a,qwen2.5-coder:32b_373e_tpusg_batch,failure,155.22,15391,10025,5366,0.0,"{'temperature:0.1', 'top_p:0.3'}",5,0,0,"['benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1754251178
23,7b37_tpu_sketch_generator,7b37072a,qwen2.5-coder:32b_373e_tpusg_batch,failure,152.96,15346,10025,5321,0.0,"{'temperature:0.1', 'top_p:0.3'}",5,0,0,"['benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1754251380
24,4a32_tpu_sketch_generator,4a32a6aa,qwen2.5-coder:32b_373e_tpusg_batch,failure,151.34,15291,10025,5266,0.0,"{'temperature:0.1', 'top_p:0.3'}",5,0,0,"['benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1754251579
25,102c_tpu_sketch_generator,102c2bea,qwen2.5-coder:32b_373e_tpusg_batch,success,152.56,15341,10025,5316,0.0,"{'temperature:0.1', 'top_p:0.3'}",5,0,0,"['benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1754251777
26,d959_tpu_sketch_generator,d959b910,qwen2.5-coder:32b_373e_tpusg_batch,failure,155.69,15441,10025,5416,0.0,"{'temperature:0.1', 'top_p:0.3'}",5,0,0,"['benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1754252020
27,0742_tpu_sketch_generator,07423739,qwen2.5-coder:32b_373e_tpusg_batch,failure,154.28,15394,10025,5369,0.0,"{'temperature:0.1', 'top_p:0.3'}",5,0,0,"['benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1754252223
28,eaad_tpu_sketch_generator,eaad5bed,qwen2.5-coder:32b_373e_tpusg_batch,failure,155.05,15426,10025,5401,0.0,"{'temperature:0.1', 'top_p:0.3'}",5,0,0,"['benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1754252423
29,31f7_tpu_sketch_generator,31f7a5fb,qwen2.5-coder:32b_373e_tpusg_batch,failure,152.89,15354,10025,5329,0.0,"{'temperature:0.1', 'top_p:0.3'}",5,0,0,"['benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1754252625
30,9187_tpu_sketch_generator,9187f281,qwen2.5-coder:32b_373e_tpusg_batch,failure,155.04,15437,10025,5412,0.0,"{'temperature:0.1', 'top_p:0.3'}",5,0,0,"['benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1754252818
