num_run,name,trace_id,batch_id,status,latency,total_tokens,prompt_tokens,completion_tokens,total_cost,parameters,generation_count,prompt_cost,completion_cost,tags,timestamp
1,1ea7_py_sketch_generator,1ea71ae8,qwen2.5-coder:32b_ee11_psg_batch,failure,119.08,13810,9810,4000,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1754310384
2,fd99_py_sketch_generator,fd99ac1b,qwen2.5-coder:32b_ee11_psg_batch,failure,119.33,13824,9810,4014,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1754310511
3,85f1_py_sketch_generator,85f194fd,qwen2.5-coder:32b_ee11_psg_batch,failure,128.59,14171,9810,4361,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1754310638
4,a70a_py_sketch_generator,a70acfeb,qwen2.5-coder:32b_ee11_psg_batch,failure,125.15,14045,9810,4235,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1754310774
5,4eba_py_sketch_generator,4eba3ff0,qwen2.5-coder:32b_ee11_psg_batch,success,123.82,13993,9810,4183,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1754310907
6,822d_py_sketch_generator,822dffbb,qwen2.5-coder:32b_ee11_psg_batch,failure,130.3,14237,9810,4427,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1754311070
7,86ea_py_sketch_generator,86ea1a2b,qwen2.5-coder:32b_ee11_psg_batch,failure,160.65,15360,9810,5550,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1754311207
8,5d9b_py_sketch_generator,5d9b61ca,qwen2.5-coder:32b_ee11_psg_batch,success,127.64,14140,9810,4330,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1754311375
9,4538_py_sketch_generator,45384769,qwen2.5-coder:32b_ee11_psg_batch,success,98.02,11069,7762,3307,0.0,"{'top_p:0.3', 'temperature:0.1'}",4,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1754311540
10,ec67_py_sketch_generator,ec67e8e6,qwen2.5-coder:32b_ee11_psg_batch,failure,123.61,13986,9810,4176,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1754311677
11,6853_py_sketch_generator,68531435,qwen2.5-coder:32b_ee11_psg_batch,failure,125.77,14071,9810,4261,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1754311807
12,aed3_py_sketch_generator,aed38a47,qwen2.5-coder:32b_ee11_psg_batch,failure,115.29,13684,9810,3874,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1754311941
13,8707_py_sketch_generator,87073508,qwen2.5-coder:32b_ee11_psg_batch,failure,124.42,14014,9810,4204,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1754312064
14,897e_py_sketch_generator,897e1530,qwen2.5-coder:32b_ee11_psg_batch,success,68.78,8031,5714,2317,0.0,"{'top_p:0.3', 'temperature:0.1'}",3,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1754312195
15,2170_py_sketch_generator,2170bd24,qwen2.5-coder:32b_ee11_psg_batch,success,180.49,16079,9810,6269,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1754312302
16,db0c_py_sketch_generator,db0c8b37,qwen2.5-coder:32b_ee11_psg_batch,failure,128.19,14143,9810,4333,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1754312490
17,4c49_py_sketch_generator,4c496775,qwen2.5-coder:32b_ee11_psg_batch,failure,121.54,13916,9810,4106,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1754312625
18,23b3_py_sketch_generator,23b3cb50,qwen2.5-coder:32b_ee11_psg_batch,failure,176.51,15928,9810,6118,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1754312754
19,e0b6_py_sketch_generator,e0b68729,qwen2.5-coder:32b_ee11_psg_batch,success,123.09,13969,9810,4159,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1754312937
20,7b12_py_sketch_generator,7b12fe77,qwen2.5-coder:32b_ee11_psg_batch,failure,119.28,13827,9810,4017,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1754313100
21,6ffa_py_sketch_generator,6ffaf0e2,qwen2.5-coder:32b_ee11_psg_batch,failure,124.07,14005,9810,4195,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1754313226
22,e29b_py_sketch_generator,e29bd43d,qwen2.5-coder:32b_ee11_psg_batch,success,120.48,13878,9810,4068,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1754313358
23,831b_py_sketch_generator,831b22a1,qwen2.5-coder:32b_ee11_psg_batch,success,121.28,13906,9810,4096,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1754313517
24,2faa_py_sketch_generator,2faa09f2,qwen2.5-coder:32b_ee11_psg_batch,failure,126.28,14086,9810,4276,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1754313676
25,bca4_py_sketch_generator,bca40e9b,qwen2.5-coder:32b_ee11_psg_batch,failure,117.44,13765,9810,3955,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1754313810
26,d38e_py_sketch_generator,d38e8a90,qwen2.5-coder:32b_ee11_psg_batch,success,125.11,14039,9810,4229,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1754313935
