num_run,name,trace_id,batch_id,status,latency,total_tokens,prompt_tokens,completion_tokens,total_cost,parameters,generation_count,prompt_cost,completion_cost,tags,timestamp
1,fcbb_tpu_sketch_generator,fcbbeeb8,qwen2.5-coder:32b_ee11_tpusg_batch,success,203.97,15240,10025,5215,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1754304280
2,69cd_tpu_sketch_generator,69cd1e77,qwen2.5-coder:32b_ee11_tpusg_batch,failure,152.35,15249,10025,5224,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1754304576
3,30f5_tpu_sketch_generator,30f5bf96,qwen2.5-coder:32b_ee11_tpusg_batch,failure,155.78,15380,10025,5355,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1754304768
4,cfc4_tpu_sketch_generator,cfc4f3bc,qwen2.5-coder:32b_ee11_tpusg_batch,success,159.5,15459,10025,5434,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1754304972
5,c090_tpu_sketch_generator,c090659e,qwen2.5-coder:32b_ee11_tpusg_batch,failure,153.42,15261,10025,5236,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1754305224
6,72dd_tpu_sketch_generator,72dd1e4e,qwen2.5-coder:32b_ee11_tpusg_batch,failure,157.67,15448,10025,5423,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1754305424
7,2cc6_tpu_sketch_generator,2cc63f75,qwen2.5-coder:32b_ee11_tpusg_batch,failure,158.23,15446,10025,5421,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1754305630
8,30f7_tpu_sketch_generator,30f74dc5,qwen2.5-coder:32b_ee11_tpusg_batch,failure,155.66,15369,10025,5344,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1754305835
9,4164_tpu_sketch_generator,4164e79a,qwen2.5-coder:32b_ee11_tpusg_batch,failure,151.88,15226,10025,5201,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1754306038
10,edb4_tpu_sketch_generator,edb48c7e,qwen2.5-coder:32b_ee11_tpusg_batch,failure,153.63,15298,10025,5273,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1754306238
11,5220_tpu_sketch_generator,52202468,qwen2.5-coder:32b_ee11_tpusg_batch,failure,154.21,15318,10025,5293,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1754306440
12,dc27_tpu_sketch_generator,dc27d14b,qwen2.5-coder:32b_ee11_tpusg_batch,success,124.21,12243,7977,4266,0.0,"{'top_p:0.3', 'temperature:0.1'}",4,0,0,"['benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1754306641
13,3e82_tpu_sketch_generator,3e82cbae,qwen2.5-coder:32b_ee11_tpusg_batch,failure,150.82,15182,10025,5157,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1754306849
14,a448_tpu_sketch_generator,a4484241,qwen2.5-coder:32b_ee11_tpusg_batch,failure,153.15,15282,10025,5257,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1754307046
15,effd_tpu_sketch_generator,effd2b5b,qwen2.5-coder:32b_ee11_tpusg_batch,success,154.0,15269,10025,5244,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1754307246
16,fdb8_tpu_sketch_generator,fdb8ed8c,qwen2.5-coder:32b_ee11_tpusg_batch,failure,154.43,15318,10025,5293,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1754307491
17,53c0_tpu_sketch_generator,53c0da84,qwen2.5-coder:32b_ee11_tpusg_batch,failure,151.38,15204,10025,5179,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1754307691
18,8d05_tpu_sketch_generator,8d05046f,qwen2.5-coder:32b_ee11_tpusg_batch,success,113.73,11812,7931,3881,0.0,"{'top_p:0.3', 'temperature:0.1'}",4,0,0,"['benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1754307889
19,cde5_tpu_sketch_generator,cde56864,qwen2.5-coder:32b_ee11_tpusg_batch,failure,154.9,15323,10025,5298,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1754308077
20,d958_tpu_sketch_generator,d958ce53,qwen2.5-coder:32b_ee11_tpusg_batch,success,92.7,9107,5929,3178,0.0,"{'top_p:0.3', 'temperature:0.1'}",3,0,0,"['benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1754308278
21,c083_tpu_sketch_generator,c0830786,qwen2.5-coder:32b_ee11_tpusg_batch,failure,153.96,15310,10025,5285,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1754308402
22,63d5_tpu_sketch_generator,63d57eef,qwen2.5-coder:32b_ee11_tpusg_batch,success,124.59,12222,7977,4245,0.0,"{'top_p:0.3', 'temperature:0.1'}",4,0,0,"['benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1754308603
