num_run,name,trace_id,batch_id,status,latency,total_tokens,prompt_tokens,completion_tokens,total_cost,parameters,prompt_cost,completion_cost,tags,timestamp
1,7a96_py_sketch_generator,7a96e43e,qwen2.5-coder:14b_3193_psg_batch,failure,40.39,12012,9810,2202,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:14b']",1754351390
2,2b4f_py_sketch_generator,2b4f135e,qwen2.5-coder:14b_3193_psg_batch,success,31.3,9471,7762,1709,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:14b']",1754351438
3,7745_py_sketch_generator,77452be8,qwen2.5-coder:14b_3193_psg_batch,failure,38.28,11891,9810,2081,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:14b']",1754351477
4,5845_py_sketch_generator,584541fa,qwen2.5-coder:14b_3193_psg_batch,failure,38.27,11890,9810,2080,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:14b']",1754351523
5,21ee_py_sketch_generator,21eec276,qwen2.5-coder:14b_3193_psg_batch,failure,43.19,12192,9810,2382,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:14b']",1754351568
6,9a3b_py_sketch_generator,9a3b1ed7,qwen2.5-coder:14b_3193_psg_batch,failure,43.58,12204,9810,2394,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:14b']",1754351619
7,eebc_py_sketch_generator,eebc8faf,qwen2.5-coder:14b_3193_psg_batch,failure,42.3,12139,9810,2329,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:14b']",1754351670
8,eb37_py_sketch_generator,eb37753f,qwen2.5-coder:14b_3193_psg_batch,failure,43.89,12236,9810,2426,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:14b']",1754351720
9,5dde_py_sketch_generator,5dded2c5,qwen2.5-coder:14b_3193_psg_batch,failure,43.7,12225,9810,2415,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:14b']",1754351771
10,e03d_py_sketch_generator,e03d5b0f,qwen2.5-coder:14b_3193_psg_batch,failure,42.01,12121,9810,2311,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:14b']",1754351823
11,96e2_py_sketch_generator,96e22fe8,qwen2.5-coder:14b_3193_psg_batch,failure,41.9,12115,9810,2305,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:14b']",1754351872
12,280b_py_sketch_generator,280b2f12,qwen2.5-coder:14b_3193_psg_batch,failure,43.65,12205,9810,2395,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:14b']",1754351922
13,453e_py_sketch_generator,453e0048,qwen2.5-coder:14b_3193_psg_batch,failure,46.72,12408,9810,2598,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:14b']",1754351973
14,7dff_py_sketch_generator,7dff43c7,qwen2.5-coder:14b_3193_psg_batch,failure,41.13,12064,9810,2254,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:14b']",1754352028
15,2057_py_sketch_generator,20577f43,qwen2.5-coder:14b_3193_psg_batch,failure,44.34,12263,9810,2453,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:14b']",1754352077
16,eaed_py_sketch_generator,eaed904f,qwen2.5-coder:14b_3193_psg_batch,failure,42.13,12126,9810,2316,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:14b']",1754352130
17,ab13_py_sketch_generator,ab133e25,qwen2.5-coder:14b_3193_psg_batch,failure,37.35,11834,9810,2024,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:14b']",1754352179
18,ed02_py_sketch_generator,ed02b0bc,qwen2.5-coder:14b_3193_psg_batch,failure,41.05,12051,9810,2241,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:14b']",1754352224
19,2e74_py_sketch_generator,2e745cf7,qwen2.5-coder:14b_3193_psg_batch,failure,38.27,11891,9810,2081,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:14b']",1754352272
20,d129_py_sketch_generator,d12962b2,qwen2.5-coder:14b_3193_psg_batch,failure,40.73,12041,9810,2231,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:14b']",1754352318
21,4504_py_sketch_generator,4504e284,qwen2.5-coder:14b_3193_psg_batch,failure,41.08,12063,9810,2253,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:14b']",1754352366
22,f6ca_py_sketch_generator,f6ca2a5c,qwen2.5-coder:14b_3193_psg_batch,failure,43.71,12226,9810,2416,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:14b']",1754352415
23,afaa_py_sketch_generator,afaa5f2e,qwen2.5-coder:14b_3193_psg_batch,failure,44.91,12300,9810,2490,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:14b']",1754352467
24,be96_py_sketch_generator,be96baeb,qwen2.5-coder:14b_3193_psg_batch,failure,41.06,12063,9810,2253,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:14b']",1754352519
25,e37c_py_sketch_generator,e37ca16c,qwen2.5-coder:14b_3193_psg_batch,failure,39.21,11949,9810,2139,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:14b']",1754352568
26,e01c_py_sketch_generator,e01c7f68,qwen2.5-coder:14b_3193_psg_batch,failure,41.31,12078,9810,2268,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:14b']",1754352615
27,4f6f_py_sketch_generator,4f6fc28d,qwen2.5-coder:14b_3193_psg_batch,failure,37.33,11834,9810,2024,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:14b']",1754352663
28,d355_py_sketch_generator,d355b5db,qwen2.5-coder:14b_3193_psg_batch,success,18.82,4720,3666,1054,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:14b']",1754352708
29,9683_py_sketch_generator,968364a1,qwen2.5-coder:14b_3193_psg_batch,failure,41.75,12104,9810,2294,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:14b']",1754352733
30,f22f_py_sketch_generator,f22f37a9,qwen2.5-coder:14b_3193_psg_batch,failure,44.2,12254,9810,2444,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:14b']",1754352783
