num_run,name,trace_id,batch_id,status,latency,total_tokens,prompt_tokens,completion_tokens,total_cost,parameters,generation_count,prompt_cost,completion_cost,tags,timestamp
1,dc4c_tpu_sketch_generator,dc4c0d50,qwen2.5-coder:14b_3193_tpusg_batch,success,28.36,2609,1833,776,0.0,"{'top_p:0.3', 'temperature:0.1'}",1,0,0,"['benchmark', 'qwen2.5-coder:14b', 'tpu_sketch_generator']",1754349313
2,490d_tpu_sketch_generator,490d1cb3,qwen2.5-coder:14b_3193_tpusg_batch,success,13.57,2609,1833,776,0.0,"{'top_p:0.3', 'temperature:0.1'}",1,0,0,"['benchmark', 'qwen2.5-coder:14b', 'tpu_sketch_generator']",1754349396
3,d28d_tpu_sketch_generator,d28df359,qwen2.5-coder:14b_3193_tpusg_batch,success,13.56,2609,1833,776,0.0,"{'top_p:0.3', 'temperature:0.1'}",1,0,0,"['benchmark', 'qwen2.5-coder:14b', 'tpu_sketch_generator']",1754349465
4,7975_tpu_sketch_generator,79752bf2,qwen2.5-coder:14b_3193_tpusg_batch,success,13.57,2609,1833,776,0.0,"{'top_p:0.3', 'temperature:0.1'}",1,0,0,"['benchmark', 'qwen2.5-coder:14b', 'tpu_sketch_generator']",1754349534
5,5567_tpu_sketch_generator,55676bc7,qwen2.5-coder:14b_3193_tpusg_batch,success,13.58,2609,1833,776,0.0,"{'top_p:0.3', 'temperature:0.1'}",1,0,0,"['benchmark', 'qwen2.5-coder:14b', 'tpu_sketch_generator']",1754349603
6,f26d_tpu_sketch_generator,f26d689b,qwen2.5-coder:14b_3193_tpusg_batch,success,13.55,2609,1833,776,0.0,"{'top_p:0.3', 'temperature:0.1'}",1,0,0,"['benchmark', 'qwen2.5-coder:14b', 'tpu_sketch_generator']",1754349672
7,be87_tpu_sketch_generator,be874760,qwen2.5-coder:14b_3193_tpusg_batch,success,13.57,2609,1833,776,0.0,"{'top_p:0.3', 'temperature:0.1'}",1,0,0,"['benchmark', 'qwen2.5-coder:14b', 'tpu_sketch_generator']",1754349740
8,4a88_tpu_sketch_generator,4a8845c8,qwen2.5-coder:14b_3193_tpusg_batch,success,13.6,2609,1833,776,0.0,"{'top_p:0.3', 'temperature:0.1'}",1,0,0,"['benchmark', 'qwen2.5-coder:14b', 'tpu_sketch_generator']",1754349809
9,8e6e_tpu_sketch_generator,8e6e2e61,qwen2.5-coder:14b_3193_tpusg_batch,success,13.56,2609,1833,776,0.0,"{'top_p:0.3', 'temperature:0.1'}",1,0,0,"['benchmark', 'qwen2.5-coder:14b', 'tpu_sketch_generator']",1754349878
10,50de_tpu_sketch_generator,50de80f5,qwen2.5-coder:14b_3193_tpusg_batch,success,13.6,2609,1833,776,0.0,"{'top_p:0.3', 'temperature:0.1'}",1,0,0,"['benchmark', 'qwen2.5-coder:14b', 'tpu_sketch_generator']",1754349947
11,8315_tpu_sketch_generator,8315f89e,qwen2.5-coder:14b_3193_tpusg_batch,success,13.55,2609,1833,776,0.0,"{'top_p:0.3', 'temperature:0.1'}",1,0,0,"['benchmark', 'qwen2.5-coder:14b', 'tpu_sketch_generator']",1754350016
12,7896_tpu_sketch_generator,7896860c,qwen2.5-coder:14b_3193_tpusg_batch,success,13.62,2609,1833,776,0.0,"{'top_p:0.3', 'temperature:0.1'}",1,0,0,"['benchmark', 'qwen2.5-coder:14b', 'tpu_sketch_generator']",1754350085
13,d121_tpu_sketch_generator,d121379b,qwen2.5-coder:14b_3193_tpusg_batch,success,13.6,2609,1833,776,0.0,"{'top_p:0.3', 'temperature:0.1'}",1,0,0,"['benchmark', 'qwen2.5-coder:14b', 'tpu_sketch_generator']",1754350153
14,63de_tpu_sketch_generator,63de08e3,qwen2.5-coder:14b_3193_tpusg_batch,success,13.6,2609,1833,776,0.0,"{'top_p:0.3', 'temperature:0.1'}",1,0,0,"['benchmark', 'qwen2.5-coder:14b', 'tpu_sketch_generator']",1754350222
15,0928_tpu_sketch_generator,0928b150,qwen2.5-coder:14b_3193_tpusg_batch,success,13.56,2609,1833,776,0.0,"{'top_p:0.3', 'temperature:0.1'}",1,0,0,"['benchmark', 'qwen2.5-coder:14b', 'tpu_sketch_generator']",1754350291
16,ae70_tpu_sketch_generator,ae70bb78,qwen2.5-coder:14b_3193_tpusg_batch,success,13.56,2609,1833,776,0.0,"{'top_p:0.3', 'temperature:0.1'}",1,0,0,"['benchmark', 'qwen2.5-coder:14b', 'tpu_sketch_generator']",1754350359
17,4e4e_tpu_sketch_generator,4e4e0238,qwen2.5-coder:14b_3193_tpusg_batch,success,13.57,2609,1833,776,0.0,"{'top_p:0.3', 'temperature:0.1'}",1,0,0,"['benchmark', 'qwen2.5-coder:14b', 'tpu_sketch_generator']",1754350428
18,7c26_tpu_sketch_generator,7c26446d,qwen2.5-coder:14b_3193_tpusg_batch,success,13.59,2609,1833,776,0.0,"{'top_p:0.3', 'temperature:0.1'}",1,0,0,"['benchmark', 'qwen2.5-coder:14b', 'tpu_sketch_generator']",1754350497
19,00a9_tpu_sketch_generator,00a9552c,qwen2.5-coder:14b_3193_tpusg_batch,success,13.55,2609,1833,776,0.0,"{'top_p:0.3', 'temperature:0.1'}",1,0,0,"['benchmark', 'qwen2.5-coder:14b', 'tpu_sketch_generator']",1754350565
