num_run,name,trace_id,batch_id,status,latency,total_tokens,prompt_tokens,completion_tokens,total_cost,parameters,prompt_cost,completion_cost,tags,timestamp
1,1d7f_py_sketch_generator,1d7ffc40,qwen2.5-coder:14b_33b8_psg_batch,failure,60.53,12193,9810,2383,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:14b']",1754389264
2,c438_py_sketch_generator,c4381719,qwen2.5-coder:14b_33b8_psg_batch,failure,59.24,12143,9810,2333,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:14b']",1754389331
3,7ef4_py_sketch_generator,7ef4b646,qwen2.5-coder:14b_33b8_psg_batch,failure,53.83,11909,9810,2099,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:14b']",1754389398
4,de34_py_sketch_generator,de343673,qwen2.5-coder:14b_33b8_psg_batch,failure,62.33,12290,9810,2480,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:14b']",1754389460
5,8753_py_sketch_generator,87537224,qwen2.5-coder:14b_33b8_psg_batch,failure,54.0,11909,9810,2099,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:14b']",1754389529
6,2b7d_py_sketch_generator,2b7d3bfb,qwen2.5-coder:14b_33b8_psg_batch,failure,64.36,12372,9810,2562,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:14b']",1754389591
7,ac08_py_sketch_generator,ac081785,qwen2.5-coder:14b_33b8_psg_batch,failure,58.72,12122,9810,2312,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:14b']",1754389663
8,1e51_py_sketch_generator,1e5197c7,qwen2.5-coder:14b_33b8_psg_batch,failure,52.29,11834,9810,2024,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:14b']",1754389729
9,de60_py_sketch_generator,de608bb4,qwen2.5-coder:14b_33b8_psg_batch,failure,57.72,12075,9810,2265,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:14b']",1754389788
10,e508_py_sketch_generator,e5084e38,qwen2.5-coder:14b_33b8_psg_batch,failure,53.93,11906,9810,2096,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:14b']",1754389854
11,b674_py_sketch_generator,b6749b5d,qwen2.5-coder:14b_33b8_psg_batch,failure,58.85,12113,9810,2303,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:14b']",1754389916
12,9eb0_py_sketch_generator,9eb04ab3,qwen2.5-coder:14b_33b8_psg_batch,failure,54.89,11948,9810,2138,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:14b']",1754389982
13,103c_py_sketch_generator,103ccf08,qwen2.5-coder:14b_33b8_psg_batch,failure,61.41,12249,9810,2439,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:14b']",1754390045
14,bb29_py_sketch_generator,bb2909d7,qwen2.5-coder:14b_33b8_psg_batch,failure,63.96,12359,9810,2549,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:14b']",1754390114
15,94d7_py_sketch_generator,94d7a9ad,qwen2.5-coder:14b_33b8_psg_batch,failure,53.15,11872,9810,2062,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:14b']",1754390185
16,b9a4_py_sketch_generator,b9a4af1e,qwen2.5-coder:14b_33b8_psg_batch,failure,53.6,11893,9810,2083,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:14b']",1754390246
17,2f08_py_sketch_generator,2f0890eb,qwen2.5-coder:14b_33b8_psg_batch,failure,61.35,12239,9810,2429,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:14b']",1754390307
18,044e_py_sketch_generator,044ed1ab,qwen2.5-coder:14b_33b8_psg_batch,failure,53.3,11879,9810,2069,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:14b']",1754390376
19,43e2_py_sketch_generator,43e29c5a,qwen2.5-coder:14b_33b8_psg_batch,failure,54.48,11931,9810,2121,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:14b']",1754390437
20,0235_py_sketch_generator,0235ef10,qwen2.5-coder:14b_33b8_psg_batch,failure,54.59,11936,9810,2126,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:14b']",1754390499
21,33c8_py_sketch_generator,33c86b2f,qwen2.5-coder:14b_33b8_psg_batch,failure,54.52,11933,9810,2123,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:14b']",1754390560
22,8188_py_sketch_generator,818813a2,qwen2.5-coder:14b_33b8_psg_batch,failure,57.52,12064,9810,2254,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:14b']",1754390622
23,bd39_py_sketch_generator,bd39e315,qwen2.5-coder:14b_33b8_psg_batch,failure,57.3,12056,9810,2246,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:14b']",1754390686
24,3d79_py_sketch_generator,3d79e085,qwen2.5-coder:14b_33b8_psg_batch,failure,65.62,12427,9810,2617,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:14b']",1754390751
25,96d7_py_sketch_generator,96d74da5,qwen2.5-coder:14b_33b8_psg_batch,failure,54.69,11933,9810,2123,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:14b']",1754390824
26,1b74_py_sketch_generator,1b74cfed,qwen2.5-coder:14b_33b8_psg_batch,failure,59.4,12145,9810,2335,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:14b']",1754390885
27,d992_py_sketch_generator,d9922ebe,qwen2.5-coder:14b_33b8_psg_batch,failure,54.09,11907,9810,2097,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:14b']",1754390952
28,9985_py_sketch_generator,9985c2e7,qwen2.5-coder:14b_33b8_psg_batch,failure,53.89,11905,9810,2095,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:14b']",1754391014
29,d3b3_py_sketch_generator,d3b35905,qwen2.5-coder:14b_33b8_psg_batch,failure,57.81,12083,9810,2273,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:14b']",1754391076
30,c560_py_sketch_generator,c560624e,qwen2.5-coder:14b_33b8_psg_batch,failure,52.23,11828,9810,2018,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:14b']",1754391141
