num_run,name,trace_id,batch_id,status,latency,total_tokens,prompt_tokens,completion_tokens,total_cost,parameters,prompt_cost,completion_cost,tags,timestamp
1,08f6_tpu_sketch_generator,08f6867d,qwen2.5-coder:14b_33b8_tpusg_batch,success,33.07,2651,1833,818,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'qwen2.5-coder:14b', 'tpu_sketch_generator']",1754386885
2,6a8f_tpu_sketch_generator,6a8ff265,qwen2.5-coder:14b_33b8_tpusg_batch,success,19.84,2655,1833,822,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'qwen2.5-coder:14b', 'tpu_sketch_generator']",1754386976
3,c670_tpu_sketch_generator,c6707148,qwen2.5-coder:14b_33b8_tpusg_batch,success,19.86,2655,1833,822,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'qwen2.5-coder:14b', 'tpu_sketch_generator']",1754387057
4,531d_tpu_sketch_generator,531d735d,qwen2.5-coder:14b_33b8_tpusg_batch,success,19.86,2655,1833,822,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'qwen2.5-coder:14b', 'tpu_sketch_generator']",1754387135
5,fcde_tpu_sketch_generator,fcde64c7,qwen2.5-coder:14b_33b8_tpusg_batch,success,19.89,2655,1833,822,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'qwen2.5-coder:14b', 'tpu_sketch_generator']",1754387214
6,ffbf_tpu_sketch_generator,ffbfd850,qwen2.5-coder:14b_33b8_tpusg_batch,success,19.82,2655,1833,822,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'qwen2.5-coder:14b', 'tpu_sketch_generator']",1754387293
7,84c5_tpu_sketch_generator,84c5afdf,qwen2.5-coder:14b_33b8_tpusg_batch,success,19.75,2655,1833,822,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'qwen2.5-coder:14b', 'tpu_sketch_generator']",1754387372
8,69a2_tpu_sketch_generator,69a2013d,qwen2.5-coder:14b_33b8_tpusg_batch,success,19.87,2655,1833,822,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'qwen2.5-coder:14b', 'tpu_sketch_generator']",1754387450
9,b281_tpu_sketch_generator,b281b1d4,qwen2.5-coder:14b_33b8_tpusg_batch,success,20.03,2655,1833,822,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'qwen2.5-coder:14b', 'tpu_sketch_generator']",1754387529
10,42e6_tpu_sketch_generator,42e6c370,qwen2.5-coder:14b_33b8_tpusg_batch,success,20.05,2655,1833,822,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'qwen2.5-coder:14b', 'tpu_sketch_generator']",1754387608
11,9b79_tpu_sketch_generator,9b79f579,qwen2.5-coder:14b_33b8_tpusg_batch,success,20.0,2655,1833,822,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'qwen2.5-coder:14b', 'tpu_sketch_generator']",1754387687
12,32cd_tpu_sketch_generator,32cdb97a,qwen2.5-coder:14b_33b8_tpusg_batch,success,19.83,2655,1833,822,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'qwen2.5-coder:14b', 'tpu_sketch_generator']",1754387765
13,da75_tpu_sketch_generator,da755f1f,qwen2.5-coder:14b_33b8_tpusg_batch,success,19.97,2655,1833,822,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'qwen2.5-coder:14b', 'tpu_sketch_generator']",1754387844
14,c08e_tpu_sketch_generator,c08e00af,qwen2.5-coder:14b_33b8_tpusg_batch,success,19.92,2655,1833,822,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'qwen2.5-coder:14b', 'tpu_sketch_generator']",1754387924
15,d6ee_tpu_sketch_generator,d6ee7370,qwen2.5-coder:14b_33b8_tpusg_batch,success,19.84,2655,1833,822,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'qwen2.5-coder:14b', 'tpu_sketch_generator']",1754388002
16,85f8_tpu_sketch_generator,85f8e925,qwen2.5-coder:14b_33b8_tpusg_batch,success,19.9,2655,1833,822,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'qwen2.5-coder:14b', 'tpu_sketch_generator']",1754388081
17,66ba_tpu_sketch_generator,66babae1,qwen2.5-coder:14b_33b8_tpusg_batch,success,19.86,2655,1833,822,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'qwen2.5-coder:14b', 'tpu_sketch_generator']",1754388160
