num_run,name,trace_id,batch_id,status,latency,total_tokens,prompt_tokens,completion_tokens,total_cost,parameters,generation_count,prompt_cost,completion_cost,tags,timestamp
1,3309_py_sketch_generator,33096ae3,qwen2.5-coder:32b_c8a6_psg_batch,failure,124.82,14094,9810,4284,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1754275660
2,a66d_py_sketch_generator,a66df864,qwen2.5-coder:32b_c8a6_psg_batch,success,93.91,10966,7762,3204,0.0,"{'top_p:0.3', 'temperature:0.1'}",4,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1754275793
3,a9a3_py_sketch_generator,a9a3054a,qwen2.5-coder:32b_c8a6_psg_batch,success,119.47,13903,9810,4093,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1754275925
4,257a_py_sketch_generator,257addd3,qwen2.5-coder:32b_c8a6_psg_batch,success,42.08,5099,3666,1433,0.0,"{'top_p:0.3', 'temperature:0.1'}",2,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1754276084
5,c828_py_sketch_generator,c828309a,qwen2.5-coder:32b_c8a6_psg_batch,failure,128.62,14243,9810,4433,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1754276163
6,6fcf_py_sketch_generator,6fcfa7c9,qwen2.5-coder:32b_c8a6_psg_batch,success,120.76,13952,9810,4142,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1754276300
7,c92d_py_sketch_generator,c92d280c,qwen2.5-coder:32b_c8a6_psg_batch,success,92.96,10924,7762,3162,0.0,"{'top_p:0.3', 'temperature:0.1'}",4,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1754276460
8,5911_py_sketch_generator,59112c33,qwen2.5-coder:32b_c8a6_psg_batch,failure,127.33,14193,9810,4383,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1754282592
9,c753_py_sketch_generator,c75311bc,qwen2.5-coder:32b_c8a6_psg_batch,failure,120.12,13926,9810,4116,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1754282728
10,d3e2_py_sketch_generator,d3e24608,qwen2.5-coder:32b_c8a6_psg_batch,success,122.94,14004,9810,4194,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1754282856
11,3edd_py_sketch_generator,3edd7b90,qwen2.5-coder:32b_c8a6_psg_batch,failure,116.56,13792,9810,3982,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1754283017
12,805a_py_sketch_generator,805a4feb,qwen2.5-coder:32b_c8a6_psg_batch,success,67.45,8018,5714,2304,0.0,"{'top_p:0.3', 'temperature:0.1'}",3,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1754283142
13,e041_py_sketch_generator,e041a468,qwen2.5-coder:32b_c8a6_psg_batch,success,115.69,13759,9810,3949,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1754283248
14,b0d1_py_sketch_generator,b0d126c8,qwen2.5-coder:32b_c8a6_psg_batch,success,96.53,11073,7762,3311,0.0,"{'top_p:0.3', 'temperature:0.1'}",4,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1754283405
15,0c33_py_sketch_generator,0c33442e,qwen2.5-coder:32b_c8a6_psg_batch,failure,119.88,13918,9810,4108,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1754283540
16,d525_py_sketch_generator,d525ad38,qwen2.5-coder:32b_c8a6_psg_batch,failure,122.44,14008,9810,4198,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:32b']",1754283668
