num_run,name,trace_id,batch_id,status,latency,total_tokens,prompt_tokens,completion_tokens,total_cost,parameters,generation_count,prompt_cost,completion_cost,tags,timestamp
1,e657_tpu_sketch_generator,e657d7a2,qwen2.5-coder:32b_c8a6_tpusg_batch,failure,151.99,15318,10025,5293,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1754269767
2,cacc_tpu_sketch_generator,cacc6bb9,qwen2.5-coder:32b_c8a6_tpusg_batch,failure,149.14,15210,10025,5185,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1754269966
3,ea34_tpu_sketch_generator,ea340b98,qwen2.5-coder:32b_c8a6_tpusg_batch,failure,154.44,15401,10025,5376,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1754270162
4,9a92_tpu_sketch_generator,9a925c55,qwen2.5-coder:32b_c8a6_tpusg_batch,failure,155.08,15429,10025,5404,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1754270363
5,540b_tpu_sketch_generator,540b7271,qwen2.5-coder:32b_c8a6_tpusg_batch,success,90.88,9094,5929,3165,0.0,"{'top_p:0.3', 'temperature:0.1'}",3,0,0,"['benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1754270564
6,3b1a_tpu_sketch_generator,3b1a466e,qwen2.5-coder:32b_c8a6_tpusg_batch,success,88.61,9002,5929,3073,0.0,"{'top_p:0.3', 'temperature:0.1'}",3,0,0,"['benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1754270725
7,fdca_tpu_sketch_generator,fdca041e,qwen2.5-coder:32b_c8a6_tpusg_batch,failure,150.93,15275,10025,5250,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1754270889
8,00b8_tpu_sketch_generator,00b800ec,qwen2.5-coder:32b_c8a6_tpusg_batch,failure,151.24,15272,10025,5247,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1754271087
9,c12f_tpu_sketch_generator,c12fbe3a,qwen2.5-coder:32b_c8a6_tpusg_batch,failure,153.1,15350,10025,5325,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1754271286
10,718e_tpu_sketch_generator,718ed850,qwen2.5-coder:32b_c8a6_tpusg_batch,failure,152.1,15319,10025,5294,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'qwen2.5-coder:32b', 'tpu_sketch_generator']",1754271486
