num_run,name,trace_id,batch_id,status,latency,total_tokens,prompt_tokens,completion_tokens,total_cost,parameters,prompt_cost,completion_cost,tags,timestamp
1,24c0_py_sketch_generator,24c0909f,codestral_3adb_psg_batch,failure,79.15,12729,10052,2677,0.0,"{'top_p:0.3', 'temperature:0.1'}",0,0,"['benchmark', 'codestral:latest', 'py_sketch_generator']",1754402461
2,7881_py_sketch_generator,78815f66,codestral_3adb_psg_batch,failure,98.48,13489,10052,3437,0.0,"{'top_p:0.3', 'temperature:0.1'}",0,0,"['benchmark', 'codestral:latest', 'py_sketch_generator']",1754402548
3,fafb_py_sketch_generator,fafb1926,codestral_3adb_psg_batch,success,104.55,13731,10052,3679,0.0,"{'top_p:0.3', 'temperature:0.1'}",0,0,"['benchmark', 'codestral:latest', 'py_sketch_generator']",1754402654
4,e270_py_sketch_generator,e270f48c,codestral_3adb_psg_batch,failure,94.43,13304,10052,3252,0.0,"{'top_p:0.3', 'temperature:0.1'}",0,0,"['benchmark', 'codestral:latest', 'py_sketch_generator']",1754402766
5,6ef4_py_sketch_generator,6ef4f8a9,codestral_3adb_psg_batch,failure,102.78,13653,10052,3601,0.0,"{'top_p:0.3', 'temperature:0.1'}",0,0,"['benchmark', 'codestral:latest', 'py_sketch_generator']",1754402868
6,c48a_py_sketch_generator,c48a3a5f,codestral_3adb_psg_batch,failure,100.27,13555,10052,3503,0.0,"{'top_p:0.3', 'temperature:0.1'}",0,0,"['benchmark', 'codestral:latest', 'py_sketch_generator']",1754402979
7,8e48_py_sketch_generator,8e48a243,codestral_3adb_psg_batch,failure,80.97,12796,10052,2744,0.0,"{'top_p:0.3', 'temperature:0.1'}",0,0,"['benchmark', 'codestral:latest', 'py_sketch_generator']",1754403087
8,c150_py_sketch_generator,c1500322,codestral_3adb_psg_batch,failure,92.56,13252,10052,3200,0.0,"{'top_p:0.3', 'temperature:0.1'}",0,0,"['benchmark', 'codestral:latest', 'py_sketch_generator']",1754403175
9,75c9_py_sketch_generator,75c9b49e,codestral_3adb_psg_batch,failure,89.36,13124,10052,3072,0.0,"{'top_p:0.3', 'temperature:0.1'}",0,0,"['benchmark', 'codestral:latest', 'py_sketch_generator']",1754403275
10,2aa0_py_sketch_generator,2aa042e7,codestral_3adb_psg_batch,failure,105.09,13744,10052,3692,0.0,"{'top_p:0.3', 'temperature:0.1'}",0,0,"['benchmark', 'codestral:latest', 'py_sketch_generator']",1754403371
11,54ae_py_sketch_generator,54aef750,codestral_3adb_psg_batch,failure,74.73,12551,10052,2499,0.0,"{'top_p:0.3', 'temperature:0.1'}",0,0,"['benchmark', 'codestral:latest', 'py_sketch_generator']",1754403485
12,745c_py_sketch_generator,745c1cbe,codestral_3adb_psg_batch,failure,84.73,12948,10052,2896,0.0,"{'top_p:0.3', 'temperature:0.1'}",0,0,"['benchmark', 'codestral:latest', 'py_sketch_generator']",1754403567
13,88f6_py_sketch_generator,88f65d47,codestral_3adb_psg_batch,failure,79.55,12716,10052,2664,0.0,"{'top_p:0.3', 'temperature:0.1'}",0,0,"['benchmark', 'codestral:latest', 'py_sketch_generator']",1754403659
14,2cfa_py_sketch_generator,2cfad9fe,codestral_3adb_psg_batch,success,112.33,14032,10052,3980,0.0,"{'top_p:0.3', 'temperature:0.1'}",0,0,"['benchmark', 'codestral:latest', 'py_sketch_generator']",1754403746
15,9d3e_py_sketch_generator,9d3ee362,codestral_3adb_psg_batch,failure,104.69,13736,10052,3684,0.0,"{'top_p:0.3', 'temperature:0.1'}",0,0,"['benchmark', 'codestral:latest', 'py_sketch_generator']",1754403866
16,1c6b_py_sketch_generator,1c6b33ab,codestral_3adb_psg_batch,failure,91.06,13196,10052,3144,0.0,"{'top_p:0.3', 'temperature:0.1'}",0,0,"['benchmark', 'codestral:latest', 'py_sketch_generator']",1754403978
17,4080_py_sketch_generator,408021b7,codestral_3adb_psg_batch,failure,77.92,12655,10052,2603,0.0,"{'top_p:0.3', 'temperature:0.1'}",0,0,"['benchmark', 'codestral:latest', 'py_sketch_generator']",1754404076
18,9b2c_py_sketch_generator,9b2ca121,codestral_3adb_psg_batch,failure,99.09,13512,10052,3460,0.0,"{'top_p:0.3', 'temperature:0.1'}",0,0,"['benchmark', 'codestral:latest', 'py_sketch_generator']",1754404162
19,fca9_py_sketch_generator,fca915f4,codestral_3adb_psg_batch,failure,113.13,14062,10052,4010,0.0,"{'top_p:0.3', 'temperature:0.1'}",0,0,"['benchmark', 'codestral:latest', 'py_sketch_generator']",1754404269
20,25e7_py_sketch_generator,25e7838f,codestral_3adb_psg_batch,failure,77.6,12666,10052,2614,0.0,"{'top_p:0.3', 'temperature:0.1'}",0,0,"['benchmark', 'codestral:latest', 'py_sketch_generator']",1754404390
21,9923_py_sketch_generator,992303eb,codestral_3adb_psg_batch,failure,111.23,13992,10052,3940,0.0,"{'top_p:0.3', 'temperature:0.1'}",0,0,"['benchmark', 'codestral:latest', 'py_sketch_generator']",1754404475
