num_run,name,trace_id,batch_id,status,latency,total_tokens,prompt_tokens,completion_tokens,total_cost,parameters,prompt_cost,completion_cost,tags,timestamp
1,6080_py_sketch_generator,608099c6,codestral_62f3_psg_batch,failure,126.36,13002,10052,2950,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'codestral:latest', 'py_sketch_generator']",1754728182
2,daaa_py_sketch_generator,daaaae66,codestral_62f3_psg_batch,failure,69.46,13591,10052,3539,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'codestral:latest', 'py_sketch_generator']",1754728316
3,36bd_py_sketch_generator,36bd2b1f,codestral_62f3_psg_batch,failure,74.76,13891,10052,3839,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'codestral:latest', 'py_sketch_generator']",1754728393
4,cf10_py_sketch_generator,cf1016a1,codestral_62f3_psg_batch,failure,81.1,14249,10052,4197,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'codestral:latest', 'py_sketch_generator']",1754728476
5,0980_py_sketch_generator,09809c7c,codestral_62f3_psg_batch,failure,61.45,13142,10052,3090,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'codestral:latest', 'py_sketch_generator']",1754728564
6,55cc_py_sketch_generator,55ccfa54,codestral_62f3_psg_batch,success,39.02,7931,5956,1975,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'codestral:latest', 'py_sketch_generator']",1754728633
7,176c_py_sketch_generator,176cdc3c,codestral_62f3_psg_batch,failure,54.33,12740,10052,2688,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'codestral:latest', 'py_sketch_generator']",1754728680
8,6ce8_py_sketch_generator,6ce83831,codestral_62f3_psg_batch,failure,68.87,13559,10052,3507,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'codestral:latest', 'py_sketch_generator']",1754728742
9,600c_py_sketch_generator,600c5d47,codestral_62f3_psg_batch,failure,68.02,13511,10052,3459,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'codestral:latest', 'py_sketch_generator']",1754728819
10,df0a_py_sketch_generator,df0accf9,codestral_62f3_psg_batch,failure,74.96,13902,10052,3850,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'codestral:latest', 'py_sketch_generator']",1754728895
11,50fa_py_sketch_generator,50faa206,codestral_62f3_psg_batch,failure,65.75,13366,10052,3314,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'codestral:latest', 'py_sketch_generator']",1754728977
12,f160_py_sketch_generator,f1604a1f,codestral_62f3_psg_batch,failure,64.93,13332,10052,3280,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'codestral:latest', 'py_sketch_generator']",1754729050
13,50a2_py_sketch_generator,50a2243b,codestral_62f3_psg_batch,failure,68.02,13511,10052,3459,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'codestral:latest', 'py_sketch_generator']",1754729123
14,4c11_py_sketch_generator,4c117854,codestral_62f3_psg_batch,failure,77.19,14028,10052,3976,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'codestral:latest', 'py_sketch_generator']",1754729199
15,5887_py_sketch_generator,5887484f,codestral_62f3_psg_batch,failure,75.67,13942,10052,3890,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'codestral:latest', 'py_sketch_generator']",1754729284
16,c6c9_py_sketch_generator,c6c9a572,codestral_62f3_psg_batch,failure,81.17,14253,10052,4201,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'codestral:latest', 'py_sketch_generator']",1754729368
17,debe_py_sketch_generator,debede1b,codestral_62f3_psg_batch,failure,69.55,13600,10052,3548,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'codestral:latest', 'py_sketch_generator']",1754729456
18,b161_py_sketch_generator,b16106a4,codestral_62f3_psg_batch,failure,65.55,13374,10052,3322,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'codestral:latest', 'py_sketch_generator']",1754729533
19,ebf0_py_sketch_generator,ebf0336c,codestral_62f3_psg_batch,failure,66.55,13429,10052,3377,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'codestral:latest', 'py_sketch_generator']",1754729606
20,bcce_py_sketch_generator,bcceb55e,codestral_62f3_psg_batch,failure,72.08,13740,10052,3688,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'codestral:latest', 'py_sketch_generator']",1754729680
21,8b9c_py_sketch_generator,8b9c5c96,codestral_62f3_psg_batch,failure,65.73,13384,10052,3332,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'codestral:latest', 'py_sketch_generator']",1754729759
22,9293_py_sketch_generator,9293c23e,codestral_62f3_psg_batch,failure,75.21,13913,10052,3861,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'codestral:latest', 'py_sketch_generator']",1754729833
23,bbf9_py_sketch_generator,bbf9362d,codestral_62f3_psg_batch,failure,63.34,13234,10052,3182,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'codestral:latest', 'py_sketch_generator']",1754729916
24,74b1_py_sketch_generator,74b12c88,codestral_62f3_psg_batch,failure,64.17,13287,10052,3235,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'codestral:latest', 'py_sketch_generator']",1754729987
