num_run,name,trace_id,batch_id,status,latency,total_tokens,prompt_tokens,completion_tokens,total_cost,parameters,prompt_cost,completion_cost,tags,timestamp
1,b050_tpu_sketch_generator,b0500f27,phi4_c26f_tpusg_batch,success,42.92,2754,1806,948,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'phi4:latest', 'tpu_sketch_generator']",1754823682
2,914a_tpu_sketch_generator,914a2719,phi4_c26f_tpusg_batch,success,14.25,2750,1806,944,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'phi4:latest', 'tpu_sketch_generator']",1754823784
3,89cf_tpu_sketch_generator,89cf62a6,phi4_c26f_tpusg_batch,success,14.0,2732,1806,926,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'phi4:latest', 'tpu_sketch_generator']",1754823858
4,4f5a_tpu_sketch_generator,4f5a4f4f,phi4_c26f_tpusg_batch,success,14.24,2750,1806,944,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'phi4:latest', 'tpu_sketch_generator']",1754823931
5,55bb_tpu_sketch_generator,55bbb60a,phi4_c26f_tpusg_batch,success,14.24,2750,1806,944,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'phi4:latest', 'tpu_sketch_generator']",1754824005
6,42a1_tpu_sketch_generator,42a17d06,phi4_c26f_tpusg_batch,success,14.23,2750,1806,944,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'phi4:latest', 'tpu_sketch_generator']",1754824078
7,4a91_tpu_sketch_generator,4a914b33,phi4_c26f_tpusg_batch,success,14.24,2749,1806,943,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'phi4:latest', 'tpu_sketch_generator']",1754824150
8,f9f5_tpu_sketch_generator,f9f5160d,phi4_c26f_tpusg_batch,success,14.33,2756,1806,950,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'phi4:latest', 'tpu_sketch_generator']",1754824224
9,b995_tpu_sketch_generator,b995e50a,phi4_c26f_tpusg_batch,success,14.31,2756,1806,950,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'phi4:latest', 'tpu_sketch_generator']",1754824298
10,1dcd_tpu_sketch_generator,1dcd201c,phi4_c26f_tpusg_batch,success,14.25,2750,1806,944,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'phi4:latest', 'tpu_sketch_generator']",1754824371
11,79f0_tpu_sketch_generator,79f0c82e,phi4_c26f_tpusg_batch,success,14.3,2754,1806,948,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'phi4:latest', 'tpu_sketch_generator']",1754824443
12,0681_tpu_sketch_generator,06810b68,phi4_c26f_tpusg_batch,success,13.99,2732,1806,926,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'phi4:latest', 'tpu_sketch_generator']",1754824517
13,df93_tpu_sketch_generator,df93345b,phi4_c26f_tpusg_batch,success,14.54,2750,1806,944,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'phi4:latest', 'tpu_sketch_generator']",1754824590
14,e63a_tpu_sketch_generator,e63ab647,phi4_c26f_tpusg_batch,success,14.39,2756,1806,950,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'phi4:latest', 'tpu_sketch_generator']",1754824664
15,0d3c_tpu_sketch_generator,0d3c4dbc,phi4_c26f_tpusg_batch,success,14.22,2750,1806,944,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'phi4:latest', 'tpu_sketch_generator']",1754824737
16,3aef_tpu_sketch_generator,3aef7466,phi4_c26f_tpusg_batch,success,14.3,2754,1806,948,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'phi4:latest', 'tpu_sketch_generator']",1754824809
17,def6_tpu_sketch_generator,def6b8e6,phi4_c26f_tpusg_batch,success,14.23,2750,1806,944,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'phi4:latest', 'tpu_sketch_generator']",1754824882
18,5237_tpu_sketch_generator,5237fc06,phi4_c26f_tpusg_batch,success,14.26,2750,1806,944,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'phi4:latest', 'tpu_sketch_generator']",1754824955
19,cdfd_tpu_sketch_generator,cdfd524e,phi4_c26f_tpusg_batch,success,14.33,2756,1806,950,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'phi4:latest', 'tpu_sketch_generator']",1754825028
20,d5c4_tpu_sketch_generator,d5c407fa,phi4_c26f_tpusg_batch,success,14.23,2750,1806,944,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'phi4:latest', 'tpu_sketch_generator']",1754825102
21,a472_tpu_sketch_generator,a472014d,phi4_c26f_tpusg_batch,success,14.33,2756,1806,950,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'phi4:latest', 'tpu_sketch_generator']",1754825176
22,0818_tpu_sketch_generator,08184e66,phi4_c26f_tpusg_batch,success,14.31,2756,1806,950,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'phi4:latest', 'tpu_sketch_generator']",1754825250
23,e1eb_tpu_sketch_generator,e1ebb966,phi4_c26f_tpusg_batch,success,14.3,2754,1806,948,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'phi4:latest', 'tpu_sketch_generator']",1754825322
24,d6b8_tpu_sketch_generator,d6b8dbd1,phi4_c26f_tpusg_batch,success,14.31,2754,1806,948,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'phi4:latest', 'tpu_sketch_generator']",1754825395
25,1216_tpu_sketch_generator,1216c207,phi4_c26f_tpusg_batch,success,13.99,2732,1806,926,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'phi4:latest', 'tpu_sketch_generator']",1754825468
26,7c98_tpu_sketch_generator,7c98874d,phi4_c26f_tpusg_batch,success,14.58,2754,1806,948,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'phi4:latest', 'tpu_sketch_generator']",1754825541
27,e33f_tpu_sketch_generator,e33f16c1,phi4_c26f_tpusg_batch,success,14.23,2750,1806,944,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'phi4:latest', 'tpu_sketch_generator']",1754825614
28,c50e_tpu_sketch_generator,c50e13ef,phi4_c26f_tpusg_batch,success,13.99,2732,1806,926,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'phi4:latest', 'tpu_sketch_generator']",1754825687
29,c390_tpu_sketch_generator,c390bcf0,phi4_c26f_tpusg_batch,success,14.25,2750,1806,944,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'phi4:latest', 'tpu_sketch_generator']",1754825760
30,0a9f_tpu_sketch_generator,0a9fc2a6,phi4_c26f_tpusg_batch,success,14.29,2749,1806,943,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'phi4:latest', 'tpu_sketch_generator']",1754825834
