num_run,name,trace_id,batch_id,status,latency,total_tokens,prompt_tokens,completion_tokens,total_cost,parameters,prompt_cost,completion_cost,tags,timestamp
4,80ed_py_sketch_generator,80ed9570,qwen2.5-coder:14b_d266_psg_batch,success,70.54,12073,9810,2263,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:14b']",1754322291
5,e4d4_py_sketch_generator,e4d47bdb,qwen2.5-coder:14b_d266_psg_batch,failure,45.24,12313,9810,2503,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:14b']",1754322373
6,7e5c_py_sketch_generator,7e5cd8c5,qwen2.5-coder:14b_d266_psg_batch,failure,44.75,12283,9810,2473,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:14b']",1754322426
7,9a12_py_sketch_generator,9a120098,qwen2.5-coder:14b_d266_psg_batch,failure,46.33,12373,9810,2563,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:14b']",1754322479
8,ed2f_py_sketch_generator,ed2fc376,qwen2.5-coder:14b_d266_psg_batch,failure,47.17,12427,9810,2617,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:14b']",1754322532
9,3af1_py_sketch_generator,3af15876,qwen2.5-coder:14b_d266_psg_batch,failure,45.91,12354,9810,2544,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:14b']",1754322587
10,8440_py_sketch_generator,8440e656,qwen2.5-coder:14b_d266_psg_batch,failure,38.54,11903,9810,2093,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:14b']",1754322641
11,0338_py_sketch_generator,03381ef5,qwen2.5-coder:14b_d266_psg_batch,failure,38.47,11898,9810,2088,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:14b']",1754322686
12,c2a7_py_sketch_generator,c2a79f5d,qwen2.5-coder:14b_d266_psg_batch,failure,40.45,12019,9810,2209,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:14b']",1754322732
13,b136_py_sketch_generator,b13678ad,qwen2.5-coder:14b_d266_psg_batch,failure,39.03,11927,9810,2117,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:14b']",1754322780
14,4f28_py_sketch_generator,4f285920,qwen2.5-coder:14b_d266_psg_batch,failure,41.82,12100,9810,2290,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:14b']",1754322826
15,c078_py_sketch_generator,c078b108,qwen2.5-coder:14b_d266_psg_batch,failure,44.59,12272,9810,2462,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:14b']",1754322876
16,8738_py_sketch_generator,87380cfc,qwen2.5-coder:14b_d266_psg_batch,failure,44.66,12278,9810,2468,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:14b']",1754322928
17,5c89_py_sketch_generator,5c89c448,qwen2.5-coder:14b_d266_psg_batch,failure,42.99,12174,9810,2364,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:14b']",1754322980
18,4f78_py_sketch_generator,4f78accf,qwen2.5-coder:14b_d266_psg_batch,failure,46.65,12401,9810,2591,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:14b']",1754323030
19,4a10_py_sketch_generator,4a1078b4,qwen2.5-coder:14b_d266_psg_batch,failure,38.81,11919,9810,2109,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:14b']",1754323085
20,1d43_py_sketch_generator,1d436cb6,qwen2.5-coder:14b_d266_psg_batch,failure,43.95,12236,9810,2426,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:14b']",1754323132
21,f735_py_sketch_generator,f7352520,qwen2.5-coder:14b_d266_psg_batch,failure,46.56,12385,9810,2575,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:14b']",1754323183
22,7b1a_py_sketch_generator,7b1aa92f,qwen2.5-coder:14b_d266_psg_batch,failure,43.14,12186,9810,2376,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:14b']",1754323237
23,1d11_py_sketch_generator,1d116b1b,qwen2.5-coder:14b_d266_psg_batch,failure,46.76,12408,9810,2598,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:14b']",1754323287
24,0965_py_sketch_generator,096552da,qwen2.5-coder:14b_d266_psg_batch,failure,44.42,12265,9810,2455,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:14b']",1754323342
25,dfd5_py_sketch_generator,dfd52866,qwen2.5-coder:14b_d266_psg_batch,failure,41.81,12061,9810,2251,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:14b']",1754323394
26,6209_py_sketch_generator,6209d1e6,qwen2.5-coder:14b_d266_psg_batch,failure,39.62,11930,9810,2120,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:14b']",1754323443
27,22d6_py_sketch_generator,22d63db7,qwen2.5-coder:14b_d266_psg_batch,failure,44.5,12266,9810,2456,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:14b']",1754323490
28,59dd_py_sketch_generator,59dd3d66,qwen2.5-coder:14b_d266_psg_batch,success,32.67,9549,7762,1787,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:14b']",1754323542
29,c810_py_sketch_generator,c810cf6b,qwen2.5-coder:14b_d266_psg_batch,failure,37.42,11834,9810,2024,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:14b']",1754323582
30,8caf_py_sketch_generator,8caf982c,qwen2.5-coder:14b_d266_psg_batch,failure,38.53,11902,9810,2092,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'py_sketch_generator', 'qwen2.5-coder:14b']",1754323626
