num_run,name,trace_id,batch_id,status,latency,total_tokens,prompt_tokens,completion_tokens,total_cost,parameters,prompt_cost,completion_cost,tags,timestamp
9,698b_py_sketch_generator,698b4384,gemma3:27b_d558_psg_batch,success,109.54,10740,7865,2875,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'gemma3:27b', 'py_sketch_generator']",1754353815
10,16ff_py_sketch_generator,16ffea2f,gemma3:27b_d558_psg_batch,failure,103.04,13468,9913,3555,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'gemma3:27b', 'py_sketch_generator']",1754353932
11,3708_py_sketch_generator,37087067,gemma3:27b_d558_psg_batch,success,82.9,10739,7865,2874,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'gemma3:27b', 'py_sketch_generator']",1754354043
12,5cfe_py_sketch_generator,5cfedae5,gemma3:27b_d558_psg_batch,success,86.65,10880,7865,3015,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'gemma3:27b', 'py_sketch_generator']",1754354133
13,a580_py_sketch_generator,a58034f9,gemma3:27b_d558_psg_batch,success,101.03,13408,9913,3495,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'gemma3:27b', 'py_sketch_generator']",1754354227
14,9ade_py_sketch_generator,9ade8ab6,gemma3:27b_d558_psg_batch,success,103.62,13507,9913,3594,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'gemma3:27b', 'py_sketch_generator']",1754354335
15,2893_py_sketch_generator,2893b8f0,gemma3:27b_d558_psg_batch,success,104.43,13536,9913,3623,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'gemma3:27b', 'py_sketch_generator']",1754354446
16,2f51_py_sketch_generator,2f51bbe5,gemma3:27b_d558_psg_batch,success,82.74,10736,7865,2871,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'gemma3:27b', 'py_sketch_generator']",1754354558
17,3848_py_sketch_generator,38486a9d,gemma3:27b_d558_psg_batch,success,102.77,13467,9913,3554,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'gemma3:27b', 'py_sketch_generator']",1754354647
18,34e9_py_sketch_generator,34e97ab4,gemma3:27b_d558_psg_batch,success,84.67,10802,7865,2937,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'gemma3:27b', 'py_sketch_generator']",1754354757
19,8315_py_sketch_generator,8315d125,gemma3:27b_d558_psg_batch,success,85.32,10829,7865,2964,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'gemma3:27b', 'py_sketch_generator']",1754354849
20,3081_py_sketch_generator,30812e48,gemma3:27b_d558_psg_batch,success,101.2,13410,9913,3497,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'gemma3:27b', 'py_sketch_generator']",1754354942
21,c398_py_sketch_generator,c398991d,gemma3:27b_d558_psg_batch,success,100.35,13381,9913,3468,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'gemma3:27b', 'py_sketch_generator']",1754355051
22,b897_py_sketch_generator,b897f12b,gemma3:27b_d558_psg_batch,failure,103.97,13516,9913,3603,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'gemma3:27b', 'py_sketch_generator']",1754355158
23,4aed_py_sketch_generator,4aed5512,gemma3:27b_d558_psg_batch,success,86.16,10861,7865,2996,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'gemma3:27b', 'py_sketch_generator']",1754355270
24,fbc6_py_sketch_generator,fbc61fce,gemma3:27b_d558_psg_batch,success,102.05,13447,9913,3534,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'gemma3:27b', 'py_sketch_generator']",1754355363
25,af6b_py_sketch_generator,af6b5f7b,gemma3:27b_d558_psg_batch,success,100.94,13402,9913,3489,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'gemma3:27b', 'py_sketch_generator']",1754355473
26,3929_py_sketch_generator,39292e1d,gemma3:27b_d558_psg_batch,success,80.39,10643,7865,2778,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'gemma3:27b', 'py_sketch_generator']",1754355581
27,078a_py_sketch_generator,078aaa22,gemma3:27b_d558_psg_batch,success,98.3,13304,9913,3391,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'gemma3:27b', 'py_sketch_generator']",1754355669
28,bad9_py_sketch_generator,bad938f6,gemma3:27b_d558_psg_batch,success,105.92,13589,9913,3676,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'gemma3:27b', 'py_sketch_generator']",1754355775
29,7086_py_sketch_generator,70861c04,gemma3:27b_d558_psg_batch,success,104.91,13553,9913,3640,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'gemma3:27b', 'py_sketch_generator']",1754355889
30,e700_py_sketch_generator,e700644d,gemma3:27b_d558_psg_batch,success,98.25,13304,9913,3391,0.0,"{'temperature:0.1', 'top_p:0.3'}",0,0,"['benchmark', 'gemma3:27b', 'py_sketch_generator']",1754356001
