num_run,name,trace_id,batch_id,status,latency,total_tokens,prompt_tokens,completion_tokens,total_cost,parameters,generation_count,prompt_cost,completion_cost,tags,timestamp
18,aea7_tpu_sketch_generator,aea75d1a,gemma3:27b_b603_tpusg_batch,failure,210.98,15275,10158,5117,0.0,"{'temperature:0.1', 'top_p:0.3'}",5,0,0,"['benchmark', 'gemma3:27b', 'tpu_sketch_generator']",1754391640
19,94b0_tpu_sketch_generator,94b009f1,gemma3:27b_b603_tpusg_batch,failure,193.15,15235,10158,5077,0.0,"{'temperature:0.1', 'top_p:0.3'}",5,0,0,"['benchmark', 'gemma3:27b', 'tpu_sketch_generator']",1754391899
20,2a6c_tpu_sketch_generator,2a6ca472,gemma3:27b_b603_tpusg_batch,failure,192.35,15208,10158,5050,0.0,"{'temperature:0.1', 'top_p:0.3'}",5,0,0,"['benchmark', 'gemma3:27b', 'tpu_sketch_generator']",1754392138
21,f92f_tpu_sketch_generator,f92f1c2d,gemma3:27b_b603_tpusg_batch,failure,191.05,15167,10158,5009,0.0,"{'temperature:0.1', 'top_p:0.3'}",5,0,0,"['benchmark', 'gemma3:27b', 'tpu_sketch_generator']",1754392378
22,b185_tpu_sketch_generator,b1850f14,gemma3:27b_b603_tpusg_batch,failure,192.17,15203,10158,5045,0.0,"{'temperature:0.1', 'top_p:0.3'}",5,0,0,"['benchmark', 'gemma3:27b', 'tpu_sketch_generator']",1754392616
23,879c_tpu_sketch_generator,879c874d,gemma3:27b_b603_tpusg_batch,failure,193.4,15221,10158,5063,0.0,"{'temperature:0.1', 'top_p:0.3'}",5,0,0,"['benchmark', 'gemma3:27b', 'tpu_sketch_generator']",1754392855
24,7387_tpu_sketch_generator,738798e7,gemma3:27b_b603_tpusg_batch,failure,193.22,15200,10158,5042,0.0,"{'temperature:0.1', 'top_p:0.3'}",5,0,0,"['benchmark', 'gemma3:27b', 'tpu_sketch_generator']",1754393096
25,3b0b_tpu_sketch_generator,3b0b1b3f,gemma3:27b_b603_tpusg_batch,failure,193.12,15200,10158,5042,0.0,"{'temperature:0.1', 'top_p:0.3'}",5,0,0,"['benchmark', 'gemma3:27b', 'tpu_sketch_generator']",1754393336
26,36f5_tpu_sketch_generator,36f58050,gemma3:27b_b603_tpusg_batch,failure,193.49,15247,10158,5089,0.0,"{'temperature:0.1', 'top_p:0.3'}",5,0,0,"['benchmark', 'gemma3:27b', 'tpu_sketch_generator']",1754393576
27,225a_tpu_sketch_generator,225a4d17,gemma3:27b_b603_tpusg_batch,failure,194.47,15266,10158,5108,0.0,"{'temperature:0.1', 'top_p:0.3'}",5,0,0,"['benchmark', 'gemma3:27b', 'tpu_sketch_generator']",1754393815
28,56cd_tpu_sketch_generator,56cdf55b,gemma3:27b_b603_tpusg_batch,failure,192.57,15220,10158,5062,0.0,"{'temperature:0.1', 'top_p:0.3'}",5,0,0,"['benchmark', 'gemma3:27b', 'tpu_sketch_generator']",1754394056
29,f329_tpu_sketch_generator,f329b585,gemma3:27b_b603_tpusg_batch,failure,195.28,15268,10158,5110,0.0,"{'temperature:0.1', 'top_p:0.3'}",5,0,0,"['benchmark', 'gemma3:27b', 'tpu_sketch_generator']",1754394296
30,a838_tpu_sketch_generator,a8387e12,gemma3:27b_b603_tpusg_batch,failure,190.5,15148,10158,4990,0.0,"{'temperature:0.1', 'top_p:0.3'}",5,0,0,"['benchmark', 'gemma3:27b', 'tpu_sketch_generator']",1754394539
