num_run,name,trace_id,batch_id,status,latency,total_tokens,prompt_tokens,completion_tokens,total_cost,parameters,generation_count,prompt_cost,completion_cost,tags,timestamp
1,8eab_py_sketch_generator,8eabe42b,gemma3:27b_3888_psg_batch,failure,98.97,13378,9913,3465,0.0,"{'temperature:0.1', 'top_p:0.3'}",5,0,0,"['benchmark', 'gemma3:27b', 'py_sketch_generator']",1755021191
2,e38a_py_sketch_generator,e38afa2a,gemma3:27b_3888_psg_batch,failure,102.43,13512,9913,3599,0.0,"{'temperature:0.1', 'top_p:0.3'}",5,0,0,"['benchmark', 'gemma3:27b', 'py_sketch_generator']",1755021302
3,3f62_py_sketch_generator,3f6211d5,gemma3:27b_3888_psg_batch,failure,103.39,13545,9913,3632,0.0,"{'temperature:0.1', 'top_p:0.3'}",5,0,0,"['benchmark', 'gemma3:27b', 'py_sketch_generator']",1755021414
4,a9c1_py_sketch_generator,a9c11dd3,gemma3:27b_3888_psg_batch,failure,102.34,13507,9913,3594,0.0,"{'temperature:0.1', 'top_p:0.3'}",5,0,0,"['benchmark', 'gemma3:27b', 'py_sketch_generator']",1755021526
5,f22b_py_sketch_generator,f22bb624,gemma3:27b_3888_psg_batch,failure,100.72,13442,9913,3529,0.0,"{'temperature:0.1', 'top_p:0.3'}",5,0,0,"['benchmark', 'gemma3:27b', 'py_sketch_generator']",1755021636
6,631a_py_sketch_generator,631a5bb1,gemma3:27b_3888_psg_batch,failure,106.52,13665,9913,3752,0.0,"{'temperature:0.1', 'top_p:0.3'}",5,0,0,"['benchmark', 'gemma3:27b', 'py_sketch_generator']",1755021744
7,9b8b_py_sketch_generator,9b8b1833,gemma3:27b_3888_psg_batch,success,79.28,10643,7865,2778,0.0,"{'temperature:0.1', 'top_p:0.3'}",4,0,0,"['benchmark', 'gemma3:27b', 'py_sketch_generator']",1755021858
8,9980_py_sketch_generator,9980b05a,gemma3:27b_3888_psg_batch,success,75.63,10499,7865,2634,0.0,"{'temperature:0.1', 'top_p:0.3'}",4,0,0,"['benchmark', 'gemma3:27b', 'py_sketch_generator']",1755021944
9,a65e_py_sketch_generator,a65e088f,gemma3:27b_3888_psg_batch,success,96.08,13268,9913,3355,0.0,"{'temperature:0.1', 'top_p:0.3'}",5,0,0,"['benchmark', 'gemma3:27b', 'py_sketch_generator']",1755022027
10,12b9_py_sketch_generator,12b9d812,gemma3:27b_3888_psg_batch,failure,99.03,13380,9913,3467,0.0,"{'temperature:0.1', 'top_p:0.3'}",5,0,0,"['benchmark', 'gemma3:27b', 'py_sketch_generator']",1755022131
11,ccf1_py_sketch_generator,ccf17d0e,gemma3:27b_3888_psg_batch,success,83.57,10807,7865,2942,0.0,"{'temperature:0.1', 'top_p:0.3'}",4,0,0,"['benchmark', 'gemma3:27b', 'py_sketch_generator']",1755022237
12,77ee_py_sketch_generator,77eee57e,gemma3:27b_3888_psg_batch,failure,102.84,13523,9913,3610,0.0,"{'temperature:0.1', 'top_p:0.3'}",5,0,0,"['benchmark', 'gemma3:27b', 'py_sketch_generator']",1755022328
13,1557_py_sketch_generator,15572afc,gemma3:27b_3888_psg_batch,success,83.88,10817,7865,2952,0.0,"{'temperature:0.1', 'top_p:0.3'}",4,0,0,"['benchmark', 'gemma3:27b', 'py_sketch_generator']",1755022439
14,275c_py_sketch_generator,275c50d4,gemma3:27b_3888_psg_batch,success,95.29,13240,9913,3327,0.0,"{'temperature:0.1', 'top_p:0.3'}",5,0,0,"['benchmark', 'gemma3:27b', 'py_sketch_generator']",1755022530
15,0dd2_py_sketch_generator,0dd22e36,gemma3:27b_3888_psg_batch,success,100.87,13449,9913,3536,0.0,"{'temperature:0.1', 'top_p:0.3'}",5,0,0,"['benchmark', 'gemma3:27b', 'py_sketch_generator']",1755022633
16,bb7f_py_sketch_generator,bb7fa659,gemma3:27b_3888_psg_batch,success,94.92,13223,9913,3310,0.0,"{'temperature:0.1', 'top_p:0.3'}",5,0,0,"['benchmark', 'gemma3:27b', 'py_sketch_generator']",1755022742
17,4266_py_sketch_generator,4266afe5,gemma3:27b_3888_psg_batch,success,102.11,13499,9913,3586,0.0,"{'temperature:0.1', 'top_p:0.3'}",5,0,0,"['benchmark', 'gemma3:27b', 'py_sketch_generator']",1755022844
