num_run,name,trace_id,batch_id,status,latency,total_tokens,prompt_tokens,completion_tokens,total_cost,parameters,generation_count,prompt_cost,completion_cost,tags,timestamp
1,b59f_tpu_sketch_generator,b59f160c,gemma3:27b_3888_tpusg_batch,failure,176.06,15250,10158,5092,0.0,"{'temperature:0.1', 'top_p:0.3'}",5,0,0,"['benchmark', 'gemma3:27b', 'tpu_sketch_generator']",1755015464
2,d91d_tpu_sketch_generator,d91d90b9,gemma3:27b_3888_tpusg_batch,failure,142.31,15254,10158,5096,0.0,"{'temperature:0.1', 'top_p:0.3'}",5,0,0,"['benchmark', 'gemma3:27b', 'tpu_sketch_generator']",1755015690
3,60b3_tpu_sketch_generator,60b3fe9f,gemma3:27b_3888_tpusg_batch,failure,139.99,15160,10158,5002,0.0,"{'temperature:0.1', 'top_p:0.3'}",5,0,0,"['benchmark', 'gemma3:27b', 'tpu_sketch_generator']",1755015880
4,f202_tpu_sketch_generator,f2027da6,gemma3:27b_3888_tpusg_batch,failure,144.05,15323,10158,5165,0.0,"{'temperature:0.1', 'top_p:0.3'}",5,0,0,"['benchmark', 'gemma3:27b', 'tpu_sketch_generator']",1755016068
5,6a6b_tpu_sketch_generator,6a6b1767,gemma3:27b_3888_tpusg_batch,failure,145.28,15361,10158,5203,0.0,"{'temperature:0.1', 'top_p:0.3'}",5,0,0,"['benchmark', 'gemma3:27b', 'tpu_sketch_generator']",1755016260
6,217c_tpu_sketch_generator,217c4039,gemma3:27b_3888_tpusg_batch,failure,142.34,15257,10158,5099,0.0,"{'temperature:0.1', 'top_p:0.3'}",5,0,0,"['benchmark', 'gemma3:27b', 'tpu_sketch_generator']",1755016453
7,e4a4_tpu_sketch_generator,e4a4cf2e,gemma3:27b_3888_tpusg_batch,failure,142.35,15258,10158,5100,0.0,"{'temperature:0.1', 'top_p:0.3'}",5,0,0,"['benchmark', 'gemma3:27b', 'tpu_sketch_generator']",1755016645
8,6037_tpu_sketch_generator,6037f408,gemma3:27b_3888_tpusg_batch,failure,142.76,15276,10158,5118,0.0,"{'temperature:0.1', 'top_p:0.3'}",5,0,0,"['benchmark', 'gemma3:27b', 'tpu_sketch_generator']",1755016834
9,eea8_tpu_sketch_generator,eea879b0,gemma3:27b_3888_tpusg_batch,failure,142.32,15254,10158,5096,0.0,"{'temperature:0.1', 'top_p:0.3'}",5,0,0,"['benchmark', 'gemma3:27b', 'tpu_sketch_generator']",1755017024
10,32a4_tpu_sketch_generator,32a440fa,gemma3:27b_3888_tpusg_batch,failure,141.13,15204,10158,5046,0.0,"{'temperature:0.1', 'top_p:0.3'}",5,0,0,"['benchmark', 'gemma3:27b', 'tpu_sketch_generator']",1755017212
11,84d9_tpu_sketch_generator,84d979ad,gemma3:27b_3888_tpusg_batch,failure,142.36,15260,10158,5102,0.0,"{'temperature:0.1', 'top_p:0.3'}",5,0,0,"['benchmark', 'gemma3:27b', 'tpu_sketch_generator']",1755017401
12,29d4_tpu_sketch_generator,29d45d32,gemma3:27b_3888_tpusg_batch,failure,142.43,15260,10158,5102,0.0,"{'temperature:0.1', 'top_p:0.3'}",5,0,0,"['benchmark', 'gemma3:27b', 'tpu_sketch_generator']",1755017591
13,97bf_tpu_sketch_generator,97bf0407,gemma3:27b_3888_tpusg_batch,failure,141.85,15245,10158,5087,0.0,"{'temperature:0.1', 'top_p:0.3'}",5,0,0,"['benchmark', 'gemma3:27b', 'tpu_sketch_generator']",1755017784
