num_run,name,trace_id,batch_id,status,latency,total_tokens,prompt_tokens,completion_tokens,total_cost,parameters,generation_count,prompt_cost,completion_cost,tags,timestamp
1,c3f0_py_sketch_generator,c3f0ca35,codestral_9eb0_psg_batch,failure,83.67,14354,10052,4302,0.0,N/A,5,0,0,"['benchmark', 'codestral:latest', 'py_sketch_generator']",1755032777
2,2e1b_py_sketch_generator,2e1b6dc7,codestral_9eb0_psg_batch,success,18.22,2804,1860,944,0.0,N/A,1,0,0,"['benchmark', 'codestral:latest', 'py_sketch_generator']",1755032869
3,04f1_py_sketch_generator,04f13a31,codestral_9eb0_psg_batch,failure,45.19,12203,10052,2151,0.0,N/A,5,0,0,"['benchmark', 'codestral:latest', 'py_sketch_generator']",1755032901
4,ef2f_py_sketch_generator,ef2f63ba,codestral_9eb0_psg_batch,success,51.4,8602,5956,2646,0.0,N/A,3,0,0,"['benchmark', 'codestral:latest', 'py_sketch_generator']",1755032954
5,5052_py_sketch_generator,50529bc5,codestral_9eb0_psg_batch,failure,63.69,13238,10052,3186,0.0,N/A,5,0,0,"['benchmark', 'codestral:latest', 'py_sketch_generator']",1755033013
6,459c_py_sketch_generator,459ca5b9,codestral_9eb0_psg_batch,failure,53.66,12676,10052,2624,0.0,N/A,5,0,0,"['benchmark', 'codestral:latest', 'py_sketch_generator']",1755033084
7,1c24_py_sketch_generator,1c24afd9,codestral_9eb0_psg_batch,failure,73.07,13761,10052,3709,0.0,N/A,5,0,0,"['benchmark', 'codestral:latest', 'py_sketch_generator']",1755033145
8,21e6_py_sketch_generator,21e6eeda,codestral_9eb0_psg_batch,failure,53.08,12644,10052,2592,0.0,N/A,5,0,0,"['benchmark', 'codestral:latest', 'py_sketch_generator']",1755033225
9,e56d_py_sketch_generator,e56d5692,codestral_9eb0_psg_batch,failure,75.53,13896,10052,3844,0.0,N/A,5,0,0,"['benchmark', 'codestral:latest', 'py_sketch_generator']",1755033314
10,e079_py_sketch_generator,e07955a4,codestral_9eb0_psg_batch,failure,83.0,14317,10052,4265,0.0,N/A,5,0,0,"['benchmark', 'codestral:latest', 'py_sketch_generator']",1755033397
11,9efc_py_sketch_generator,9efc3663,codestral_9eb0_psg_batch,failure,69.65,13572,10052,3520,0.0,N/A,5,0,0,"['benchmark', 'codestral:latest', 'py_sketch_generator']",1755033487
12,ad50_py_sketch_generator,ad50fd29,codestral_9eb0_psg_batch,success,37.56,7832,5956,1876,0.0,N/A,3,0,0,"['benchmark', 'codestral:latest', 'py_sketch_generator']",1755033564
13,7a6e_py_sketch_generator,7a6e6c4c,codestral_9eb0_psg_batch,failure,68.76,13514,10052,3462,0.0,N/A,5,0,0,"['benchmark', 'codestral:latest', 'py_sketch_generator']",1755033608
14,cb93_py_sketch_generator,cb93fee2,codestral_9eb0_psg_batch,success,58.63,10984,8004,2980,0.0,N/A,4,0,0,"['benchmark', 'codestral:latest', 'py_sketch_generator']",1755033685
15,eec4_py_sketch_generator,eec4f5fa,codestral_9eb0_psg_batch,failure,69.06,13538,10052,3486,0.0,N/A,5,0,0,"['benchmark', 'codestral:latest', 'py_sketch_generator']",1755033756
16,33ea_py_sketch_generator,33ea5ba9,codestral_9eb0_psg_batch,failure,55.38,12771,10052,2719,0.0,N/A,5,0,0,"['benchmark', 'codestral:latest', 'py_sketch_generator']",1755033832
17,75f9_py_sketch_generator,75f9cd3b,codestral_9eb0_psg_batch,failure,54.64,12732,10052,2680,0.0,N/A,5,0,0,"['benchmark', 'codestral:latest', 'py_sketch_generator']",1755033895
18,598d_py_sketch_generator,598d0f9e,codestral_9eb0_psg_batch,failure,76.5,13952,10052,3900,0.0,N/A,5,0,0,"['benchmark', 'codestral:latest', 'py_sketch_generator']",1755033956
19,bc33_py_sketch_generator,bc3371fc,codestral_9eb0_psg_batch,failure,78.29,14053,10052,4001,0.0,N/A,5,0,0,"['benchmark', 'codestral:latest', 'py_sketch_generator']",1755034040
20,6c45_py_sketch_generator,6c45a44d,codestral_9eb0_psg_batch,failure,53.01,12643,10052,2591,0.0,N/A,5,0,0,"['benchmark', 'codestral:latest', 'py_sketch_generator']",1755034134
21,8d09_py_sketch_generator,8d09642f,codestral_9eb0_psg_batch,success,75.8,11940,8004,3936,0.0,N/A,4,0,0,"['benchmark', 'codestral:latest', 'py_sketch_generator']",1755034195
22,5b10_py_sketch_generator,5b1048a5,codestral_9eb0_psg_batch,failure,80.59,14176,10052,4124,0.0,N/A,5,0,0,"['benchmark', 'codestral:latest', 'py_sketch_generator']",1755034283
23,6fc4_py_sketch_generator,6fc427e4,codestral_9eb0_psg_batch,failure,68.65,13516,10052,3464,0.0,N/A,5,0,0,"['benchmark', 'codestral:latest', 'py_sketch_generator']",1755034371
24,df00_py_sketch_generator,df00fd9e,codestral_9eb0_psg_batch,failure,61.78,13134,10052,3082,0.0,N/A,5,0,0,"['benchmark', 'codestral:latest', 'py_sketch_generator']",1755034446
25,e382_py_sketch_generator,e382acfd,codestral_9eb0_psg_batch,failure,78.12,14044,10052,3992,0.0,N/A,5,0,0,"['benchmark', 'codestral:latest', 'py_sketch_generator']",1755034515
26,6bb4_py_sketch_generator,6bb447bb,codestral_9eb0_psg_batch,failure,67.82,13467,10052,3415,0.0,N/A,5,0,0,"['benchmark', 'codestral:latest', 'py_sketch_generator']",1755034601
27,00cb_py_sketch_generator,00cba1df,codestral_9eb0_psg_batch,failure,80.71,14190,10052,4138,0.0,N/A,5,0,0,"['benchmark', 'codestral:latest', 'py_sketch_generator']",1755034677
28,304c_py_sketch_generator,304c0ebe,codestral_9eb0_psg_batch,failure,66.12,13373,10052,3321,0.0,N/A,5,0,0,"['benchmark', 'codestral:latest', 'py_sketch_generator']",1755034765
29,63b8_py_sketch_generator,63b89a71,codestral_9eb0_psg_batch,failure,69.67,13562,10052,3510,0.0,N/A,5,0,0,"['benchmark', 'codestral:latest', 'py_sketch_generator']",1755034839
30,4076_py_sketch_generator,4076f460,codestral_9eb0_psg_batch,failure,71.52,13677,10052,3625,0.0,N/A,5,0,0,"['benchmark', 'codestral:latest', 'py_sketch_generator']",1755034915
