num_run,name,trace_id,batch_id,status,latency,total_tokens,prompt_tokens,completion_tokens,total_cost,parameters,generation_count,prompt_cost,completion_cost,tags,timestamp
1,8caa_tpu_sketch_generator,8caa211a,codestral_9eb0_tpusg_batch,failure,176.51,15386,10240,5146,0.0,N/A,5,0,0,"['benchmark', 'codestral:latest', 'tpu_sketch_generator']",1755029242
2,6916_tpu_sketch_generator,6916c8e7,codestral_9eb0_tpusg_batch,failure,76.6,14137,10240,3897,0.0,N/A,5,0,0,"['benchmark', 'codestral:latest', 'tpu_sketch_generator']",1755029464
3,cd35_tpu_sketch_generator,cd35e47a,codestral_9eb0_tpusg_batch,success,79.28,12312,8192,4120,0.0,N/A,4,0,0,"['benchmark', 'codestral:latest', 'tpu_sketch_generator']",1755029586
4,3b1d_tpu_sketch_generator,3b1d8b42,codestral_9eb0_tpusg_batch,failure,74.2,14000,10240,3760,0.0,N/A,5,0,0,"['benchmark', 'codestral:latest', 'tpu_sketch_generator']",1755029745
5,af79_tpu_sketch_generator,af798558,codestral_9eb0_tpusg_batch,failure,61.3,13287,10240,3047,0.0,N/A,5,0,0,"['benchmark', 'codestral:latest', 'tpu_sketch_generator']",1755029850
6,c827_tpu_sketch_generator,c827ef44,codestral_9eb0_tpusg_batch,failure,50.62,12690,10240,2450,0.0,N/A,5,0,0,"['benchmark', 'codestral:latest', 'tpu_sketch_generator']",1755029934
7,cab5_tpu_sketch_generator,cab505b0,codestral_9eb0_tpusg_batch,failure,92.77,15041,10240,4801,0.0,N/A,5,0,0,"['benchmark', 'codestral:latest', 'tpu_sketch_generator']",1755029992
8,af94_tpu_sketch_generator,af94b221,codestral_9eb0_tpusg_batch,failure,55.55,12964,10240,2724,0.0,N/A,5,0,0,"['benchmark', 'codestral:latest', 'tpu_sketch_generator']",1755030115
9,4ab2_tpu_sketch_generator,4ab2ef40,codestral_9eb0_tpusg_batch,failure,104.21,15672,10240,5432,0.0,N/A,5,0,0,"['benchmark', 'codestral:latest', 'tpu_sketch_generator']",1755030204
10,c3e0_tpu_sketch_generator,c3e0c3c5,codestral_9eb0_tpusg_batch,success,34.11,5846,4096,1750,0.0,N/A,2,0,0,"['benchmark', 'codestral:latest', 'tpu_sketch_generator']",1755030354
11,f20d_tpu_sketch_generator,f20dcc9d,codestral_9eb0_tpusg_batch,failure,105.65,15758,10240,5518,0.0,N/A,5,0,0,"['benchmark', 'codestral:latest', 'tpu_sketch_generator']",1755030448
12,b2d0_tpu_sketch_generator,b2d0150b,codestral_9eb0_tpusg_batch,failure,123.79,16582,10240,6342,0.0,N/A,5,0,0,"['benchmark', 'codestral:latest', 'tpu_sketch_generator']",1755030591
13,4f4f_tpu_sketch_generator,4f4fad09,codestral_9eb0_tpusg_batch,failure,91.47,12995,8192,4803,0.0,N/A,4,0,0,"['benchmark', 'codestral:latest', 'tpu_sketch_generator']",1755030760
14,37f5_tpu_sketch_generator,37f5961c,codestral_9eb0_tpusg_batch,success,37.75,6050,4096,1954,0.0,N/A,2,0,0,"['benchmark', 'codestral:latest', 'tpu_sketch_generator']",1755030887
15,f510_tpu_sketch_generator,f5103c81,codestral_9eb0_tpusg_batch,success,17.02,2920,2048,872,0.0,N/A,1,0,0,"['benchmark', 'codestral:latest', 'tpu_sketch_generator']",1755030987
16,fd41_tpu_sketch_generator,fd4116c6,codestral_9eb0_tpusg_batch,success,41.12,6236,4096,2140,0.0,N/A,2,0,0,"['benchmark', 'codestral:latest', 'tpu_sketch_generator']",1755031014
17,8619_tpu_sketch_generator,86192a50,codestral_9eb0_tpusg_batch,success,64.21,9493,6144,3349,0.0,N/A,3,0,0,"['benchmark', 'codestral:latest', 'tpu_sketch_generator']",1755031117
18,507c_tpu_sketch_generator,507cb38e,codestral_9eb0_tpusg_batch,success,66.92,13594,10240,3354,0.0,N/A,5,0,0,"['benchmark', 'codestral:latest', 'tpu_sketch_generator']",1755031254
19,62c5_tpu_sketch_generator,62c59829,codestral_9eb0_tpusg_batch,failure,89.84,14872,10240,4632,0.0,N/A,5,0,0,"['benchmark', 'codestral:latest', 'tpu_sketch_generator']",1755031405
20,4b0f_tpu_sketch_generator,4b0f310b,codestral_9eb0_tpusg_batch,failure,82.76,14479,10240,4239,0.0,N/A,5,0,0,"['benchmark', 'codestral:latest', 'tpu_sketch_generator']",1755031532
21,5dc4_tpu_sketch_generator,5dc4f5c5,codestral_9eb0_tpusg_batch,failure,101.35,15520,10240,5280,0.0,N/A,5,0,0,"['benchmark', 'codestral:latest', 'tpu_sketch_generator']",1755031653
22,8c99_tpu_sketch_generator,8c9902f1,codestral_9eb0_tpusg_batch,success,58.12,9160,6144,3016,0.0,N/A,3,0,0,"['benchmark', 'codestral:latest', 'tpu_sketch_generator']",1755031791
23,0fcb_tpu_sketch_generator,0fcb79ae,codestral_9eb0_tpusg_batch,success,69.96,13769,10240,3529,0.0,N/A,5,0,0,"['benchmark', 'codestral:latest', 'tpu_sketch_generator']",1755031924
24,66f3_tpu_sketch_generator,66f3efbf,codestral_9eb0_tpusg_batch,failure,48.98,12593,10240,2353,0.0,N/A,5,0,0,"['benchmark', 'codestral:latest', 'tpu_sketch_generator']",1755032068
25,a737_tpu_sketch_generator,a7374a06,codestral_9eb0_tpusg_batch,failure,54.54,12909,10240,2669,0.0,N/A,5,0,0,"['benchmark', 'codestral:latest', 'tpu_sketch_generator']",1755032157
26,e710_tpu_sketch_generator,e710c410,codestral_9eb0_tpusg_batch,success,41.58,6261,4096,2165,0.0,N/A,2,0,0,"['benchmark', 'codestral:latest', 'tpu_sketch_generator']",1755032237
27,f382_tpu_sketch_generator,f38221c0,codestral_9eb0_tpusg_batch,failure,83.95,14547,10240,4307,0.0,N/A,5,0,0,"['benchmark', 'codestral:latest', 'tpu_sketch_generator']",1755032341
28,43db_tpu_sketch_generator,43dbbeff,codestral_9eb0_tpusg_batch,failure,60.67,13237,10240,2997,0.0,N/A,5,0,0,"['benchmark', 'codestral:latest', 'tpu_sketch_generator']",1755032459
29,d82a_tpu_sketch_generator,d82a606f,codestral_9eb0_tpusg_batch,failure,68.7,13702,10240,3462,0.0,N/A,5,0,0,"['benchmark', 'codestral:latest', 'tpu_sketch_generator']",1755032548
30,598c_tpu_sketch_generator,598c6ad2,codestral_9eb0_tpusg_batch,failure,98.98,15385,10240,5145,0.0,N/A,5,0,0,"['benchmark', 'codestral:latest', 'tpu_sketch_generator']",1755032637
