num_run,name,trace_id,batch_id,status,latency,total_tokens,prompt_tokens,completion_tokens,total_cost,parameters,generation_count,prompt_cost,completion_cost,tags,timestamp
1,eb4e_py_sketch_generator,eb4e4bf0,codestral_e6d3_psg_batch,failure,64.85,13333,10052,3281,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'codestral:latest', 'py_sketch_generator']",1755043809
2,519e_py_sketch_generator,519e5188,codestral_e6d3_psg_batch,failure,68.24,13525,10052,3473,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'codestral:latest', 'py_sketch_generator']",1755043881
3,c4b1_py_sketch_generator,c4b19797,codestral_e6d3_psg_batch,failure,72.73,13780,10052,3728,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'codestral:latest', 'py_sketch_generator']",1755043957
4,115e_py_sketch_generator,115ed904,codestral_e6d3_psg_batch,failure,73.71,13837,10052,3785,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'codestral:latest', 'py_sketch_generator']",1755044036
5,203f_py_sketch_generator,203f2b06,codestral_e6d3_psg_batch,failure,73.08,13801,10052,3749,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'codestral:latest', 'py_sketch_generator']",1755044118
6,92ff_py_sketch_generator,92ff50c7,codestral_e6d3_psg_batch,failure,71.72,13725,10052,3673,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'codestral:latest', 'py_sketch_generator']",1755044198
7,1727_py_sketch_generator,17279833,codestral_e6d3_psg_batch,success,46.14,8335,5956,2379,0.0,"{'top_p:0.3', 'temperature:0.1'}",3,0,0,"['benchmark', 'codestral:latest', 'py_sketch_generator']",1755044277
8,5927_py_sketch_generator,5927d636,codestral_e6d3_psg_batch,success,47.68,10394,8004,2390,0.0,"{'top_p:0.3', 'temperature:0.1'}",4,0,0,"['benchmark', 'codestral:latest', 'py_sketch_generator']",1755044339
9,240a_py_sketch_generator,240ab1ad,codestral_e6d3_psg_batch,failure,54.68,12763,10052,2711,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'codestral:latest', 'py_sketch_generator']",1755044396
10,370d_py_sketch_generator,370d2bfe,codestral_e6d3_psg_batch,failure,71.08,13689,10052,3637,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'codestral:latest', 'py_sketch_generator']",1755044458
11,ebb7_py_sketch_generator,ebb754c4,codestral_e6d3_psg_batch,failure,67.99,13515,10052,3463,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'codestral:latest', 'py_sketch_generator']",1755044537
12,3d83_py_sketch_generator,3d8397ea,codestral_e6d3_psg_batch,failure,72.98,13795,10052,3743,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'codestral:latest', 'py_sketch_generator']",1755044612
13,11ae_py_sketch_generator,11ae19b2,codestral_e6d3_psg_batch,success,56.52,10893,8004,2889,0.0,"{'top_p:0.3', 'temperature:0.1'}",4,0,0,"['benchmark', 'codestral:latest', 'py_sketch_generator']",1755044693
14,65da_py_sketch_generator,65da013d,codestral_e6d3_psg_batch,failure,74.68,13887,10052,3835,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'codestral:latest', 'py_sketch_generator']",1755044757
15,4979_py_sketch_generator,4979da7f,codestral_e6d3_psg_batch,failure,68.84,13563,10052,3511,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'codestral:latest', 'py_sketch_generator']",1755044839
16,6932_py_sketch_generator,69324ec6,codestral_e6d3_psg_batch,failure,60.16,13072,10052,3020,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'codestral:latest', 'py_sketch_generator']",1755044916
17,df5f_py_sketch_generator,df5fce15,codestral_e6d3_psg_batch,failure,75.02,13909,10052,3857,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'codestral:latest', 'py_sketch_generator']",1755044983
18,4642_py_sketch_generator,464235cb,codestral_e6d3_psg_batch,failure,62.31,13194,10052,3142,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'codestral:latest', 'py_sketch_generator']",1755045066
19,7e57_py_sketch_generator,7e57cab8,codestral_e6d3_psg_batch,failure,49.69,12482,10052,2430,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'codestral:latest', 'py_sketch_generator']",1755045136
20,1166_py_sketch_generator,11669ba2,codestral_e6d3_psg_batch,failure,77.57,14055,10052,4003,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'codestral:latest', 'py_sketch_generator']",1755045193
21,164d_py_sketch_generator,164ddce7,codestral_e6d3_psg_batch,success,60.52,11120,8004,3116,0.0,"{'top_p:0.3', 'temperature:0.1'}",4,0,0,"['benchmark', 'codestral:latest', 'py_sketch_generator']",1755045278
22,718a_py_sketch_generator,718a72dc,codestral_e6d3_psg_batch,failure,67.56,13490,10052,3438,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'codestral:latest', 'py_sketch_generator']",1755045354
23,1d57_py_sketch_generator,1d57c28c,codestral_e6d3_psg_batch,failure,83.2,14372,10052,4320,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'codestral:latest', 'py_sketch_generator']",1755045428
24,54db_py_sketch_generator,54db8ae6,codestral_e6d3_psg_batch,failure,61.89,13169,10052,3117,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'codestral:latest', 'py_sketch_generator']",1755045519
25,f892_py_sketch_generator,f892d9f6,codestral_e6d3_psg_batch,success,45.73,8312,5956,2356,0.0,"{'top_p:0.3', 'temperature:0.1'}",3,0,0,"['benchmark', 'codestral:latest', 'py_sketch_generator']",1755045588
26,fe64_py_sketch_generator,fe64f183,codestral_e6d3_psg_batch,failure,66.84,13444,10052,3392,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'codestral:latest', 'py_sketch_generator']",1755045641
27,5340_py_sketch_generator,53401aca,codestral_e6d3_psg_batch,failure,68.96,13568,10052,3516,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'codestral:latest', 'py_sketch_generator']",1755045716
28,ca1f_py_sketch_generator,ca1fe74e,codestral_e6d3_psg_batch,failure,76.69,14003,10052,3951,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'codestral:latest', 'py_sketch_generator']",1755045793
29,c006_py_sketch_generator,c006051c,codestral_e6d3_psg_batch,success,58.2,10987,8004,2983,0.0,"{'top_p:0.3', 'temperature:0.1'}",4,0,0,"['benchmark', 'codestral:latest', 'py_sketch_generator']",1755045878
30,3e7d_py_sketch_generator,3e7dfb5b,codestral_e6d3_psg_batch,failure,66.82,13446,10052,3394,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'codestral:latest', 'py_sketch_generator']",1755045945
