num_run,name,trace_id,batch_id,status,latency,total_tokens,prompt_tokens,completion_tokens,total_cost,parameters,generation_count,prompt_cost,completion_cost,tags,timestamp
1,f470_tpu_sketch_generator,f4700758,codestral_e6d3_tpusg_batch,failure,88.27,13726,10240,3486,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'codestral:latest', 'tpu_sketch_generator']",1755040474
2,eaa9_tpu_sketch_generator,eaa9e0cf,codestral_e6d3_tpusg_batch,failure,45.2,12407,10240,2167,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'codestral:latest', 'tpu_sketch_generator']",1755040598
3,f0d2_tpu_sketch_generator,f0d2e6e2,codestral_e6d3_tpusg_batch,failure,78.5,14286,10240,4046,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'codestral:latest', 'tpu_sketch_generator']",1755040657
4,2fb2_tpu_sketch_generator,2fb220ad,codestral_e6d3_tpusg_batch,failure,45.16,12408,10240,2168,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'codestral:latest', 'tpu_sketch_generator']",1755040772
5,2c16_tpu_sketch_generator,2c16c0ce,codestral_e6d3_tpusg_batch,failure,71.47,13888,10240,3648,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'codestral:latest', 'tpu_sketch_generator']",1755040832
6,44ce_tpu_sketch_generator,44cec04d,codestral_e6d3_tpusg_batch,failure,82.43,14506,10240,4266,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'codestral:latest', 'tpu_sketch_generator']",1755040942
7,9939_tpu_sketch_generator,9939e16f,codestral_e6d3_tpusg_batch,failure,89.7,14916,10240,4676,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'codestral:latest', 'tpu_sketch_generator']",1755041072
8,4ef9_tpu_sketch_generator,4ef98a63,codestral_e6d3_tpusg_batch,failure,81.5,14452,10240,4212,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'codestral:latest', 'tpu_sketch_generator']",1755041197
9,1dca_tpu_sketch_generator,1dca5d6e,codestral_e6d3_tpusg_batch,failure,71.88,13886,10240,3646,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'codestral:latest', 'tpu_sketch_generator']",1755041320
10,a6f0_tpu_sketch_generator,a6f0f20c,codestral_e6d3_tpusg_batch,failure,81.75,14463,10240,4223,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'codestral:latest', 'tpu_sketch_generator']",1755041422
11,9586_tpu_sketch_generator,958622f5,codestral_e6d3_tpusg_batch,success,62.76,13391,10240,3151,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'codestral:latest', 'tpu_sketch_generator']",1755041542
12,eff1_tpu_sketch_generator,eff1795e,codestral_e6d3_tpusg_batch,success,60.52,9326,6144,3182,0.0,"{'top_p:0.3', 'temperature:0.1'}",3,0,0,"['benchmark', 'codestral:latest', 'tpu_sketch_generator']",1755041643
13,4865_tpu_sketch_generator,48658181,codestral_e6d3_tpusg_batch,failure,38.17,12012,10240,1772,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'codestral:latest', 'tpu_sketch_generator']",1755041780
14,ea5f_tpu_sketch_generator,ea5fee76,codestral_e6d3_tpusg_batch,success,85.36,12697,8192,4505,0.0,"{'top_p:0.3', 'temperature:0.1'}",4,0,0,"['benchmark', 'codestral:latest', 'tpu_sketch_generator']",1755041833
15,7b24_tpu_sketch_generator,7b24ee84,codestral_e6d3_tpusg_batch,failure,63.28,13425,10240,3185,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'codestral:latest', 'tpu_sketch_generator']",1755041993
16,dc7b_tpu_sketch_generator,dc7bfa4b,codestral_e6d3_tpusg_batch,failure,74.92,14082,10240,3842,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'codestral:latest', 'tpu_sketch_generator']",1755042087
17,ac20_tpu_sketch_generator,ac201e38,codestral_e6d3_tpusg_batch,failure,64.62,13497,10240,3257,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'codestral:latest', 'tpu_sketch_generator']",1755042192
18,1fde_tpu_sketch_generator,1fdec86e,codestral_e6d3_tpusg_batch,failure,75.94,14134,10240,3894,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'codestral:latest', 'tpu_sketch_generator']",1755042295
19,1c1f_tpu_sketch_generator,1c1ff4ce,codestral_e6d3_tpusg_batch,success,69.52,11805,8192,3613,0.0,"{'top_p:0.3', 'temperature:0.1'}",4,0,0,"['benchmark', 'codestral:latest', 'tpu_sketch_generator']",1755042409
20,a7d8_tpu_sketch_generator,a7d8c023,codestral_e6d3_tpusg_batch,failure,79.36,14329,10240,4089,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'codestral:latest', 'tpu_sketch_generator']",1755042554
21,d1b7_tpu_sketch_generator,d1b7c1a1,codestral_e6d3_tpusg_batch,success,52.51,8875,6144,2731,0.0,"{'top_p:0.3', 'temperature:0.1'}",3,0,0,"['benchmark', 'codestral:latest', 'tpu_sketch_generator']",1755042673
22,6cc9_tpu_sketch_generator,6cc9d4aa,codestral_e6d3_tpusg_batch,failure,105.66,15814,10240,5574,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'codestral:latest', 'tpu_sketch_generator']",1755042797
23,7aa0_tpu_sketch_generator,7aa02ae1,codestral_e6d3_tpusg_batch,failure,71.01,13858,10240,3618,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'codestral:latest', 'tpu_sketch_generator']",1755042941
24,6dc1_tpu_sketch_generator,6dc18df5,codestral_e6d3_tpusg_batch,failure,44.36,12364,10240,2124,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'codestral:latest', 'tpu_sketch_generator']",1755043052
25,77f0_tpu_sketch_generator,77f078d2,codestral_e6d3_tpusg_batch,failure,70.5,13824,10240,3584,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'codestral:latest', 'tpu_sketch_generator']",1755043111
26,b42f_tpu_sketch_generator,b42f9c07,codestral_e6d3_tpusg_batch,failure,73.56,14000,10240,3760,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'codestral:latest', 'tpu_sketch_generator']",1755043222
27,1979_tpu_sketch_generator,19790f0a,codestral_e6d3_tpusg_batch,failure,45.44,12421,10240,2181,0.0,"{'top_p:0.3', 'temperature:0.1'}",5,0,0,"['benchmark', 'codestral:latest', 'tpu_sketch_generator']",1755043338
