num_run,name,trace_id,batch_id,status,latency,total_tokens,prompt_tokens,completion_tokens,total_cost,parameters,generation_count,prompt_cost,completion_cost,tags,timestamp
1,8f75_py_sketch_generator,8f7568e2,gemma3:27b_04fd_psg_batch,success,69.57,8287,5817,2470,0.0,N/A,3,0,0,"['benchmark', 'gemma3:27b', 'py_sketch_generator']",1755058223
2,9791_py_sketch_generator,9791ed81,gemma3:27b_04fd_psg_batch,failure,142.05,15020,9913,5107,0.0,N/A,5,0,0,"['benchmark', 'gemma3:27b', 'py_sketch_generator']",1755058300
3,1155_py_sketch_generator,11559cb9,gemma3:27b_04fd_psg_batch,failure,130.01,14558,9913,4645,0.0,N/A,5,0,0,"['benchmark', 'gemma3:27b', 'py_sketch_generator']",1755058450
4,e19c_py_sketch_generator,e19c61ff,gemma3:27b_04fd_psg_batch,success,19.91,2424,1721,703,0.0,N/A,1,0,0,"['benchmark', 'gemma3:27b', 'py_sketch_generator']",1755058587
5,7d4e_py_sketch_generator,7d4e6562,gemma3:27b_04fd_psg_batch,failure,124.52,14346,9913,4433,0.0,N/A,5,0,0,"['benchmark', 'gemma3:27b', 'py_sketch_generator']",1755058614
6,eddd_py_sketch_generator,eddd20c8,gemma3:27b_04fd_psg_batch,success,22.85,2529,1721,808,0.0,N/A,1,0,0,"['benchmark', 'gemma3:27b', 'py_sketch_generator']",1755058746
7,fc20_py_sketch_generator,fc20fbc6,gemma3:27b_04fd_psg_batch,failure,137.86,11611,7865,3746,0.0,N/A,4,0,0,"['benchmark', 'gemma3:27b', 'py_sketch_generator']",1755058775
8,445e_py_sketch_generator,445ead77,gemma3:27b_04fd_psg_batch,failure,129.84,14544,9913,4631,0.0,N/A,5,0,0,"['benchmark', 'gemma3:27b', 'py_sketch_generator']",1755058947
9,8c2a_py_sketch_generator,8c2ab8e3,gemma3:27b_04fd_psg_batch,failure,127.61,14461,9913,4548,0.0,N/A,5,0,0,"['benchmark', 'gemma3:27b', 'py_sketch_generator']",1755059084
10,0c44_py_sketch_generator,0c44923f,gemma3:27b_04fd_psg_batch,success,115.5,12018,7865,4153,0.0,N/A,4,0,0,"['benchmark', 'gemma3:27b', 'py_sketch_generator']",1755059219
11,dd6b_py_sketch_generator,dd6bdbee,gemma3:27b_04fd_psg_batch,failure,136.03,14778,9913,4865,0.0,N/A,5,0,0,"['benchmark', 'gemma3:27b', 'py_sketch_generator']",1755059343
12,d5a9_py_sketch_generator,d5a9aaa6,gemma3:27b_04fd_psg_batch,success,25.39,2629,1721,908,0.0,N/A,1,0,0,"['benchmark', 'gemma3:27b', 'py_sketch_generator']",1755059487
13,3339_py_sketch_generator,33398182,gemma3:27b_04fd_psg_batch,failure,135.97,14778,9913,4865,0.0,N/A,5,0,0,"['benchmark', 'gemma3:27b', 'py_sketch_generator']",1755059519
14,db17_py_sketch_generator,db174c23,gemma3:27b_04fd_psg_batch,failure,126.16,14400,9913,4487,0.0,N/A,5,0,0,"['benchmark', 'gemma3:27b', 'py_sketch_generator']",1755059663
15,4680_py_sketch_generator,46805ec7,gemma3:27b_04fd_psg_batch,failure,132.85,14657,9913,4744,0.0,N/A,5,0,0,"['benchmark', 'gemma3:27b', 'py_sketch_generator']",1755059797
16,713d_py_sketch_generator,713d774b,gemma3:27b_04fd_psg_batch,failure,128.6,14496,9913,4583,0.0,N/A,5,0,0,"['benchmark', 'gemma3:27b', 'py_sketch_generator']",1755059939
17,078c_py_sketch_generator,078c1dd7,gemma3:27b_04fd_psg_batch,failure,123.96,14321,9913,4408,0.0,N/A,5,0,0,"['benchmark', 'gemma3:27b', 'py_sketch_generator']",1755060074
18,3643_py_sketch_generator,364343d7,gemma3:27b_04fd_psg_batch,failure,133.62,14689,9913,4776,0.0,N/A,5,0,0,"['benchmark', 'gemma3:27b', 'py_sketch_generator']",1755060206
19,154f_py_sketch_generator,154f1013,gemma3:27b_04fd_psg_batch,failure,147.06,15208,9913,5295,0.0,N/A,5,0,0,"['benchmark', 'gemma3:27b', 'py_sketch_generator']",1755060347
20,555e_py_sketch_generator,555e41d1,gemma3:27b_04fd_psg_batch,success,21.45,2482,1721,761,0.0,N/A,1,0,0,"['benchmark', 'gemma3:27b', 'py_sketch_generator']",1755060502
21,68bc_py_sketch_generator,68bc4934,gemma3:27b_04fd_psg_batch,failure,138.45,14873,9913,4960,0.0,N/A,5,0,0,"['benchmark', 'gemma3:27b', 'py_sketch_generator']",1755060530
22,1744_py_sketch_generator,174421eb,gemma3:27b_04fd_psg_batch,failure,148.95,15282,9913,5369,0.0,N/A,5,0,0,"['benchmark', 'gemma3:27b', 'py_sketch_generator']",1755060689
23,438c_py_sketch_generator,438c9ff5,gemma3:27b_04fd_psg_batch,success,54.88,5743,3769,1974,0.0,N/A,2,0,0,"['benchmark', 'gemma3:27b', 'py_sketch_generator']",1755060846
