num_run,name,trace_id,batch_id,status,latency,total_tokens,prompt_tokens,completion_tokens,total_cost,parameters,generation_count,prompt_cost,completion_cost,tags,timestamp
1,0cb0_tpu_sketch_generator,0cb09b9c,gemma3:27b_04fd_tpusg_batch,failure,183.62,15480,10158,5322,0.0,N/A,5,0,0,"['benchmark', 'gemma3:27b', 'tpu_sketch_generator']",1755046472
2,4931_tpu_sketch_generator,493141d8,gemma3:27b_04fd_tpusg_batch,failure,152.46,15648,10158,5490,0.0,N/A,5,0,0,"['benchmark', 'gemma3:27b', 'tpu_sketch_generator']",1755046705
3,9455_tpu_sketch_generator,94553bd3,gemma3:27b_04fd_tpusg_batch,failure,154.36,15723,10158,5565,0.0,N/A,5,0,0,"['benchmark', 'gemma3:27b', 'tpu_sketch_generator']",1755046905
4,2b83_tpu_sketch_generator,2b830517,gemma3:27b_04fd_tpusg_batch,failure,146.38,15422,10158,5264,0.0,N/A,5,0,0,"['benchmark', 'gemma3:27b', 'tpu_sketch_generator']",1755047094
5,d0b5_tpu_sketch_generator,d0b56e1d,gemma3:27b_04fd_tpusg_batch,failure,148.85,15514,10158,5356,0.0,N/A,5,0,0,"['benchmark', 'gemma3:27b', 'tpu_sketch_generator']",1755047273
6,c956_tpu_sketch_generator,c956f84e,gemma3:27b_04fd_tpusg_batch,failure,145.48,15379,10158,5221,0.0,N/A,5,0,0,"['benchmark', 'gemma3:27b', 'tpu_sketch_generator']",1755047470
7,e845_tpu_sketch_generator,e8454610,gemma3:27b_04fd_tpusg_batch,failure,156.94,15824,10158,5666,0.0,N/A,5,0,0,"['benchmark', 'gemma3:27b', 'tpu_sketch_generator']",1755047664
8,fd40_tpu_sketch_generator,fd403fc0,gemma3:27b_04fd_tpusg_batch,failure,148.18,15484,10158,5326,0.0,N/A,5,0,0,"['benchmark', 'gemma3:27b', 'tpu_sketch_generator']",1755047852
9,9068_tpu_sketch_generator,90680e9a,gemma3:27b_04fd_tpusg_batch,failure,155.97,15793,10158,5635,0.0,N/A,5,0,0,"['benchmark', 'gemma3:27b', 'tpu_sketch_generator']",1755048043
10,38b6_tpu_sketch_generator,38b6e653,gemma3:27b_04fd_tpusg_batch,failure,116.28,12287,8110,4177,0.0,N/A,4,0,0,"['benchmark', 'gemma3:27b', 'tpu_sketch_generator']",1755048246
