num_run,name,trace_id,batch_id,status,latency,total_tokens,prompt_tokens,completion_tokens,total_cost,parameters,generation_count,prompt_cost,completion_cost,tags,timestamp
1,67a5_py_sketch_generator,67a5a2af,phi4_b16d_psg_batch,success,13.53,2242,1598,644,0.0,"{'temperature:0.1', 'top_p:0.3'}",1,0,0,"['benchmark', 'phi4:latest', 'py_sketch_generator']",1755532726
2,8d92_py_sketch_generator,8d925156,phi4_b16d_psg_batch,success,13.5,2242,1598,644,0.0,"{'temperature:0.1', 'top_p:0.3'}",1,0,0,"['benchmark', 'phi4:latest', 'py_sketch_generator']",1755532780
3,e3dd_py_sketch_generator,e3dd830d,phi4_b16d_psg_batch,success,13.76,2245,1598,647,0.0,"{'temperature:0.1', 'top_p:0.3'}",1,0,0,"['benchmark', 'phi4:latest', 'py_sketch_generator']",1755532835
4,c221_py_sketch_generator,c2219308,phi4_b16d_psg_batch,success,13.81,2245,1598,647,0.0,"{'temperature:0.1', 'top_p:0.3'}",1,0,0,"['benchmark', 'phi4:latest', 'py_sketch_generator']",1755532888
5,51d3_py_sketch_generator,51d343e7,phi4_b16d_psg_batch,success,13.51,2242,1598,644,0.0,"{'temperature:0.1', 'top_p:0.3'}",1,0,0,"['benchmark', 'phi4:latest', 'py_sketch_generator']",1755532939
6,be4b_py_sketch_generator,be4b4ae1,phi4_b16d_psg_batch,success,13.5,2242,1598,644,0.0,"{'temperature:0.1', 'top_p:0.3'}",1,0,0,"['benchmark', 'phi4:latest', 'py_sketch_generator']",1755532991
7,47c8_py_sketch_generator,47c8f2b8,phi4_b16d_psg_batch,success,13.51,2242,1598,644,0.0,"{'temperature:0.1', 'top_p:0.3'}",1,0,0,"['benchmark', 'phi4:latest', 'py_sketch_generator']",1755533045
8,d05b_py_sketch_generator,d05ba8dc,phi4_b16d_psg_batch,success,13.55,2245,1598,647,0.0,"{'temperature:0.1', 'top_p:0.3'}",1,0,0,"['benchmark', 'phi4:latest', 'py_sketch_generator']",1755533096
9,063a_py_sketch_generator,063a1fa1,phi4_b16d_psg_batch,success,13.5,2242,1598,644,0.0,"{'temperature:0.1', 'top_p:0.3'}",1,0,0,"['benchmark', 'phi4:latest', 'py_sketch_generator']",1755533150
10,22f8_py_sketch_generator,22f82e85,phi4_b16d_psg_batch,success,13.51,2242,1598,644,0.0,"{'temperature:0.1', 'top_p:0.3'}",1,0,0,"['benchmark', 'phi4:latest', 'py_sketch_generator']",1755533203
11,a601_py_sketch_generator,a601fd71,phi4_b16d_psg_batch,success,13.49,2242,1598,644,0.0,"{'temperature:0.1', 'top_p:0.3'}",1,0,0,"['benchmark', 'phi4:latest', 'py_sketch_generator']",1755533254
12,ee15_py_sketch_generator,ee155283,phi4_b16d_psg_batch,success,13.5,2242,1598,644,0.0,"{'temperature:0.1', 'top_p:0.3'}",1,0,0,"['benchmark', 'phi4:latest', 'py_sketch_generator']",1755533308
13,c1a2_py_sketch_generator,c1a25589,phi4_b16d_psg_batch,success,13.56,2245,1598,647,0.0,"{'temperature:0.1', 'top_p:0.3'}",1,0,0,"['benchmark', 'phi4:latest', 'py_sketch_generator']",1755533361
14,b4c5_py_sketch_generator,b4c57100,phi4_b16d_psg_batch,success,13.56,2245,1598,647,0.0,"{'temperature:0.1', 'top_p:0.3'}",1,0,0,"['benchmark', 'phi4:latest', 'py_sketch_generator']",1755533415
15,f29f_py_sketch_generator,f29f7068,phi4_b16d_psg_batch,success,13.55,2245,1598,647,0.0,"{'temperature:0.1', 'top_p:0.3'}",1,0,0,"['benchmark', 'phi4:latest', 'py_sketch_generator']",1755533469
16,26f1_py_sketch_generator,26f12e72,phi4_b16d_psg_batch,success,13.51,2242,1598,644,0.0,"{'temperature:0.1', 'top_p:0.3'}",1,0,0,"['benchmark', 'phi4:latest', 'py_sketch_generator']",1755533523
17,f96e_py_sketch_generator,f96ed91f,phi4_b16d_psg_batch,success,13.51,2242,1598,644,0.0,"{'temperature:0.1', 'top_p:0.3'}",1,0,0,"['benchmark', 'phi4:latest', 'py_sketch_generator']",1755533577
18,65f8_py_sketch_generator,65f852e8,phi4_b16d_psg_batch,success,13.49,2242,1598,644,0.0,"{'temperature:0.1', 'top_p:0.3'}",1,0,0,"['benchmark', 'phi4:latest', 'py_sketch_generator']",1755533630
19,0d7d_py_sketch_generator,0d7d5df8,phi4_b16d_psg_batch,success,13.51,2242,1598,644,0.0,"{'temperature:0.1', 'top_p:0.3'}",1,0,0,"['benchmark', 'phi4:latest', 'py_sketch_generator']",1755533684
