num_run,name,trace_id,batch_id,status,latency,total_tokens,prompt_tokens,completion_tokens,total_cost,parameters,generation_count,prompt_cost,completion_cost,tags,timestamp
1,a6b3_tpu_sketch_generator,a6b3d80c,phi4_7854_tpusg_batch,success,38.43,5711,3854,1857,0.0,N/A,2,0,0,"['benchmark', 'phi4:latest', 'tpu_sketch_generator']",1755534322
2,b5e3_tpu_sketch_generator,b5e3e32f,phi4_7854_tpusg_batch,success,16.72,2605,1806,799,0.0,N/A,1,0,0,"['benchmark', 'phi4:latest', 'tpu_sketch_generator']",1755534428
3,b860_tpu_sketch_generator,b860ea2b,phi4_7854_tpusg_batch,success,41.01,5850,3854,1996,0.0,N/A,2,0,0,"['benchmark', 'phi4:latest', 'tpu_sketch_generator']",1755534503
4,cfa4_tpu_sketch_generator,cfa493f2,phi4_7854_tpusg_batch,success,37.54,5658,3854,1804,0.0,N/A,2,0,0,"['benchmark', 'phi4:latest', 'tpu_sketch_generator']",1755534607
5,4321_tpu_sketch_generator,4321629e,phi4_7854_tpusg_batch,success,40.61,5818,3854,1964,0.0,N/A,2,0,0,"['benchmark', 'phi4:latest', 'tpu_sketch_generator']",1755534711
6,83db_tpu_sketch_generator,83db3009,phi4_7854_tpusg_batch,success,19.84,2767,1806,961,0.0,N/A,1,0,0,"['benchmark', 'phi4:latest', 'tpu_sketch_generator']",1755534820
7,e3df_tpu_sketch_generator,e3dfb98e,phi4_7854_tpusg_batch,success,101.09,14826,9909,4917,0.0,N/A,5,0,0,"['benchmark', 'phi4:latest', 'tpu_sketch_generator']",1755534899
8,81b4_tpu_sketch_generator,81b4f741,phi4_7854_tpusg_batch,success,16.88,2612,1806,806,0.0,N/A,1,0,0,"['benchmark', 'phi4:latest', 'tpu_sketch_generator']",1755535081
9,ee82_tpu_sketch_generator,ee8202a6,phi4_7854_tpusg_batch,success,18.28,2686,1806,880,0.0,N/A,1,0,0,"['benchmark', 'phi4:latest', 'tpu_sketch_generator']",1755535157
10,121f_tpu_sketch_generator,121f20a3,phi4_7854_tpusg_batch,success,38.69,5728,3854,1874,0.0,N/A,2,0,0,"['benchmark', 'phi4:latest', 'tpu_sketch_generator']",1755535235
11,dd8e_tpu_sketch_generator,dd8e89bc,phi4_7854_tpusg_batch,success,20.54,2807,1806,1001,0.0,N/A,1,0,0,"['benchmark', 'phi4:latest', 'tpu_sketch_generator']",1755535342
12,1d5c_tpu_sketch_generator,1d5cf198,phi4_7854_tpusg_batch,success,20.64,2813,1806,1007,0.0,N/A,1,0,0,"['benchmark', 'phi4:latest', 'tpu_sketch_generator']",1755535421
13,2167_tpu_sketch_generator,21676f84,phi4_7854_tpusg_batch,failure,131.27,16519,9998,6521,0.0,N/A,5,0,0,"['benchmark', 'phi4:latest', 'tpu_sketch_generator']",1755535501
14,02dd_tpu_sketch_generator,02ddc4db,phi4_7854_tpusg_batch,success,46.59,6148,3854,2294,0.0,N/A,2,0,0,"['benchmark', 'phi4:latest', 'tpu_sketch_generator']",1755535678
15,2947_tpu_sketch_generator,29474ff9,phi4_7854_tpusg_batch,success,39.81,5782,3854,1928,0.0,N/A,2,0,0,"['benchmark', 'phi4:latest', 'tpu_sketch_generator']",1755535792
16,35ae_tpu_sketch_generator,35ae5126,phi4_7854_tpusg_batch,success,107.2,15157,9908,5249,0.0,N/A,5,0,0,"['benchmark', 'phi4:latest', 'tpu_sketch_generator']",1755535899
17,36b6_tpu_sketch_generator,36b6d2df,phi4_7854_tpusg_batch,success,17.52,2646,1806,840,0.0,N/A,1,0,0,"['benchmark', 'phi4:latest', 'tpu_sketch_generator']",1755536084
18,f7ee_tpu_sketch_generator,f7ee6d7c,phi4_7854_tpusg_batch,success,18.64,2706,1806,900,0.0,N/A,1,0,0,"['benchmark', 'phi4:latest', 'tpu_sketch_generator']",1755536160
19,2d66_tpu_sketch_generator,2d663362,phi4_7854_tpusg_batch,success,14.7,2499,1806,693,0.0,N/A,1,0,0,"['benchmark', 'phi4:latest', 'tpu_sketch_generator']",1755536237
20,3cc6_tpu_sketch_generator,3cc6623d,phi4_7854_tpusg_batch,success,15.72,2552,1806,746,0.0,N/A,1,0,0,"['benchmark', 'phi4:latest', 'tpu_sketch_generator']",1755536310
21,5562_tpu_sketch_generator,55620860,phi4_7854_tpusg_batch,success,43.76,5994,3854,2140,0.0,N/A,2,0,0,"['benchmark', 'phi4:latest', 'tpu_sketch_generator']",1755536385
22,8d31_tpu_sketch_generator,8d315ff9,phi4_7854_tpusg_batch,success,17.53,2634,1806,828,0.0,N/A,1,0,0,"['benchmark', 'phi4:latest', 'tpu_sketch_generator']",1755536495
23,fdf6_tpu_sketch_generator,fdf6ab4e,phi4_7854_tpusg_batch,success,108.95,15330,9998,5332,0.0,N/A,5,0,0,"['benchmark', 'phi4:latest', 'tpu_sketch_generator']",1755536572
24,beb3_tpu_sketch_generator,beb3229a,phi4_7854_tpusg_batch,success,18.84,2710,1806,904,0.0,N/A,1,0,0,"['benchmark', 'phi4:latest', 'tpu_sketch_generator']",1755536772
25,73cf_tpu_sketch_generator,73cf8b27,phi4_7854_tpusg_batch,success,18.08,2675,1806,869,0.0,N/A,1,0,0,"['benchmark', 'phi4:latest', 'tpu_sketch_generator']",1755536850
26,9f9b_tpu_sketch_generator,9f9be779,phi4_7854_tpusg_batch,success,17.14,2622,1806,816,0.0,N/A,1,0,0,"['benchmark', 'phi4:latest', 'tpu_sketch_generator']",1755536923
27,006d_tpu_sketch_generator,006d4f73,phi4_7854_tpusg_batch,failure,105.14,15123,9998,5125,0.0,N/A,5,0,0,"['benchmark', 'phi4:latest', 'tpu_sketch_generator']",1755536998
28,0cc8_tpu_sketch_generator,0cc89be8,phi4_7854_tpusg_batch,success,15.57,2545,1806,739,0.0,N/A,1,0,0,"['benchmark', 'phi4:latest', 'tpu_sketch_generator']",1755537151
29,3b28_tpu_sketch_generator,3b284102,phi4_7854_tpusg_batch,success,16.95,2618,1806,812,0.0,N/A,1,0,0,"['benchmark', 'phi4:latest', 'tpu_sketch_generator']",1755537225
30,8729_tpu_sketch_generator,872906c0,phi4_7854_tpusg_batch,success,19.74,2764,1806,958,0.0,N/A,1,0,0,"['benchmark', 'phi4:latest', 'tpu_sketch_generator']",1755537301
