num_run,name,trace_id,batch_id,status,latency,total_tokens,prompt_tokens,completion_tokens,total_cost,parameters,generation_count,prompt_cost,completion_cost,tags,timestamp
1,be06_tpu_sketch_generator,be0603a0,phi4_b16d_tpusg_batch,success,28.11,2756,1806,950,0.0,"{'top_p:0.3', 'temperature:0.1'}",1,0,0,"['benchmark', 'phi4:latest', 'tpu_sketch_generator']",1755530360
2,6661_tpu_sketch_generator,6661f06a,phi4_b16d_tpusg_batch,success,19.65,2757,1806,951,0.0,"{'top_p:0.3', 'temperature:0.1'}",1,0,0,"['benchmark', 'phi4:latest', 'tpu_sketch_generator']",1755530447
3,892b_tpu_sketch_generator,892bcdad,phi4_b16d_tpusg_batch,success,19.13,2732,1806,926,0.0,"{'top_p:0.3', 'temperature:0.1'}",1,0,0,"['benchmark', 'phi4:latest', 'tpu_sketch_generator']",1755530525
4,c7ab_tpu_sketch_generator,c7ab1703,phi4_b16d_tpusg_batch,success,19.17,2732,1806,926,0.0,"{'top_p:0.3', 'temperature:0.1'}",1,0,0,"['benchmark', 'phi4:latest', 'tpu_sketch_generator']",1755530605
5,338e_tpu_sketch_generator,338e9382,phi4_b16d_tpusg_batch,success,19.45,2750,1806,944,0.0,"{'top_p:0.3', 'temperature:0.1'}",1,0,0,"['benchmark', 'phi4:latest', 'tpu_sketch_generator']",1755530684
6,273b_tpu_sketch_generator,273bf776,phi4_b16d_tpusg_batch,success,19.46,2750,1806,944,0.0,"{'top_p:0.3', 'temperature:0.1'}",1,0,0,"['benchmark', 'phi4:latest', 'tpu_sketch_generator']",1755530762
7,a282_tpu_sketch_generator,a2825f71,phi4_b16d_tpusg_batch,success,19.6,2756,1806,950,0.0,"{'top_p:0.3', 'temperature:0.1'}",1,0,0,"['benchmark', 'phi4:latest', 'tpu_sketch_generator']",1755530841
8,c06a_tpu_sketch_generator,c06af380,phi4_b16d_tpusg_batch,success,19.57,2756,1806,950,0.0,"{'top_p:0.3', 'temperature:0.1'}",1,0,0,"['benchmark', 'phi4:latest', 'tpu_sketch_generator']",1755530920
9,3517_tpu_sketch_generator,35173ca2,phi4_b16d_tpusg_batch,success,19.64,2756,1806,950,0.0,"{'top_p:0.3', 'temperature:0.1'}",1,0,0,"['benchmark', 'phi4:latest', 'tpu_sketch_generator']",1755530998
10,07de_tpu_sketch_generator,07deb9f7,phi4_b16d_tpusg_batch,success,19.49,2750,1806,944,0.0,"{'top_p:0.3', 'temperature:0.1'}",1,0,0,"['benchmark', 'phi4:latest', 'tpu_sketch_generator']",1755531077
11,2a50_tpu_sketch_generator,2a504aa5,phi4_b16d_tpusg_batch,success,19.74,2750,1806,944,0.0,"{'top_p:0.3', 'temperature:0.1'}",1,0,0,"['benchmark', 'phi4:latest', 'tpu_sketch_generator']",1755531156
12,beee_tpu_sketch_generator,beee1e41,phi4_b16d_tpusg_batch,success,19.61,2757,1806,951,0.0,"{'top_p:0.3', 'temperature:0.1'}",1,0,0,"['benchmark', 'phi4:latest', 'tpu_sketch_generator']",1755531234
13,27ee_tpu_sketch_generator,27ee80d5,phi4_b16d_tpusg_batch,success,19.7,2750,1806,944,0.0,"{'top_p:0.3', 'temperature:0.1'}",1,0,0,"['benchmark', 'phi4:latest', 'tpu_sketch_generator']",1755531313
14,8469_tpu_sketch_generator,8469bfdd,phi4_b16d_tpusg_batch,success,19.47,2750,1806,944,0.0,"{'top_p:0.3', 'temperature:0.1'}",1,0,0,"['benchmark', 'phi4:latest', 'tpu_sketch_generator']",1755531391
15,ec21_tpu_sketch_generator,ec219e7c,phi4_b16d_tpusg_batch,success,19.48,2750,1806,944,0.0,"{'top_p:0.3', 'temperature:0.1'}",1,0,0,"['benchmark', 'phi4:latest', 'tpu_sketch_generator']",1755531469
16,ec31_tpu_sketch_generator,ec31ab00,phi4_b16d_tpusg_batch,success,19.56,2756,1806,950,0.0,"{'top_p:0.3', 'temperature:0.1'}",1,0,0,"['benchmark', 'phi4:latest', 'tpu_sketch_generator']",1755531548
17,83ca_tpu_sketch_generator,83ca8eba,phi4_b16d_tpusg_batch,success,19.5,2750,1806,944,0.0,"{'top_p:0.3', 'temperature:0.1'}",1,0,0,"['benchmark', 'phi4:latest', 'tpu_sketch_generator']",1755531627
18,43cb_tpu_sketch_generator,43cb2b23,phi4_b16d_tpusg_batch,success,19.47,2750,1806,944,0.0,"{'top_p:0.3', 'temperature:0.1'}",1,0,0,"['benchmark', 'phi4:latest', 'tpu_sketch_generator']",1755531706
19,deaa_tpu_sketch_generator,deaa1ec6,phi4_b16d_tpusg_batch,success,19.58,2757,1806,951,0.0,"{'top_p:0.3', 'temperature:0.1'}",1,0,0,"['benchmark', 'phi4:latest', 'tpu_sketch_generator']",1755531784
20,c4cd_tpu_sketch_generator,c4cdcf88,phi4_b16d_tpusg_batch,success,19.1,2732,1806,926,0.0,"{'top_p:0.3', 'temperature:0.1'}",1,0,0,"['benchmark', 'phi4:latest', 'tpu_sketch_generator']",1755531863
21,d318_tpu_sketch_generator,d318e17d,phi4_b16d_tpusg_batch,success,19.65,2750,1806,944,0.0,"{'top_p:0.3', 'temperature:0.1'}",1,0,0,"['benchmark', 'phi4:latest', 'tpu_sketch_generator']",1755531940
22,d808_tpu_sketch_generator,d8083a80,phi4_b16d_tpusg_batch,success,19.57,2750,1806,944,0.0,"{'top_p:0.3', 'temperature:0.1'}",1,0,0,"['benchmark', 'phi4:latest', 'tpu_sketch_generator']",1755532019
23,5aea_tpu_sketch_generator,5aeab35f,phi4_b16d_tpusg_batch,success,19.58,2756,1806,950,0.0,"{'top_p:0.3', 'temperature:0.1'}",1,0,0,"['benchmark', 'phi4:latest', 'tpu_sketch_generator']",1755532098
24,f983_tpu_sketch_generator,f983f417,phi4_b16d_tpusg_batch,success,19.12,2732,1806,926,0.0,"{'top_p:0.3', 'temperature:0.1'}",1,0,0,"['benchmark', 'phi4:latest', 'tpu_sketch_generator']",1755532176
25,cc26_tpu_sketch_generator,cc264bd0,phi4_b16d_tpusg_batch,success,19.5,2750,1806,944,0.0,"{'top_p:0.3', 'temperature:0.1'}",1,0,0,"['benchmark', 'phi4:latest', 'tpu_sketch_generator']",1755532255
26,5dbb_tpu_sketch_generator,5dbb99ce,phi4_b16d_tpusg_batch,success,19.47,2750,1806,944,0.0,"{'top_p:0.3', 'temperature:0.1'}",1,0,0,"['benchmark', 'phi4:latest', 'tpu_sketch_generator']",1755532333
27,7c23_tpu_sketch_generator,7c232810,phi4_b16d_tpusg_batch,success,19.58,2756,1806,950,0.0,"{'top_p:0.3', 'temperature:0.1'}",1,0,0,"['benchmark', 'phi4:latest', 'tpu_sketch_generator']",1755532412
28,9ce5_tpu_sketch_generator,9ce589f7,phi4_b16d_tpusg_batch,success,19.12,2732,1806,926,0.0,"{'top_p:0.3', 'temperature:0.1'}",1,0,0,"['benchmark', 'phi4:latest', 'tpu_sketch_generator']",1755532490
29,e5d9_tpu_sketch_generator,e5d98b13,phi4_b16d_tpusg_batch,success,19.46,2750,1806,944,0.0,"{'top_p:0.3', 'temperature:0.1'}",1,0,0,"['benchmark', 'phi4:latest', 'tpu_sketch_generator']",1755532569
30,40d1_tpu_sketch_generator,40d16255,phi4_b16d_tpusg_batch,success,19.58,2757,1806,951,0.0,"{'top_p:0.3', 'temperature:0.1'}",1,0,0,"['benchmark', 'phi4:latest', 'tpu_sketch_generator']",1755532647
